,Modified_meta-llama_llama-3.3-70b-instruct_of_Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo_Modelmeta-llama_llama-3.3-70b-instruct
136,"Summary:
Highly motivated and experienced Graphic and UI/UX designer with a strong background in creating innovative designs and effective visual solutions. Proven track record of delivering high-quality designs on time.

Experience:
Graphic and UI/UX Designer
- Designed the Lomogram app, a top 5 photography app on the Windows Phone Store with 20M downloads (2012-2013)
- Produced competitive design advertisements and created 2D banners and animations for social media at Plarium
- Developed branding identity, advertisements, and user connections for Grls Gang
- Created social media materials, advertisements, and printing materials for various freelance projects

Skills:
- Graphic design
- UI/UX design
- Color theory
- Shape and composition
- Typography
- Illustrations
- Layout design
- Time management and deadline respect
- Continuous learning and industry awareness

Education:
Nurtured interest in design through education and practical experience as a Graphic and UI/UX designer"
137,"Contact Information: Not Available

Summary:
Results-driven graphic designer with 5+ years of experience, seeking a stable position in an outsource or product company. Proficient in graphic design and UX/UI design, with a strong desire to leverage these skills in a future role, preferably remote with the option to work in Kharkov.

Education:
- American English Center in Kharkiv, English course completion, B2 level
- Beetroot Academy online, 6-month intensive UX/UI Design course, completed December 2020

Experience:
- Freelance UI Designer: Collaborated on a B2B sales project, designing 6 pages with 30 blocks, 11 registration form pages, and a UI Kit. Developed desktop, adaptive, and mobile designs, and created 40 active mail templates
- Graphic Designer: 5+ years of experience in creating POS materials, magazine and newspaper productions, identity and branding, and music posters, with a portfolio of approximately 6 kilograms of printed materials

Skills:
- Graphic Design: POS materials, magazine and newspaper production, identity and branding, music posters
- UX/UI Design: user research, technical requirements, mind mapping, user portraits, user flows, wireframing, design development
- Language: English, B2 level

Portfolio:
Available upon request, featuring a collection of printed graphic design materials and a UX/UI Design course diploma project, including a car lights shop online design."
138,"Highly Experienced Marketing Professional with 7+ Years of Experience in UI/UX and Graphic Design

Summary:
Results-driven marketing professional with over 7 years of experience in UI/UX and Graphic Design, seeking to leverage my skills and expertise to drive business growth and success.

Professional Experience:

Middle Graphic Design Specialist
SupportYourApp, Full-time
February 2022 - February 2023 (1 year 1 month)

* Designed branding for SupportYourApp social media, creating illustrations, photoshopping photos, mailing, award plates, scarves, and developing overall brand identity
* Collaborated with cross-functional teams to ensure designs met business objectives
* Developed creative solutions to complex design challenges
* Adapted design concepts to different media formats, including web, social media, print, and video

UI/UX Middle Designer
TEMABIT Software Development, Full-time
March 2020 - February 2022 (2 years)

* Developed, designed, and prototyped mobile applications for major hypermarkets in Ukraine, including FOZZY Group, Fora, and Justin
* Designed user-friendly UI/UX that increased user retention by 20%
* Facilitated a successful photo shoot that showcased a designer's new collection
* Created a comprehensive style guide that standardized the design and branding of all company materials

UI/UX Junior Designer, Middle Graphic Designer
Skywell Software, Full-time
June 2018 - March 2020 (1 year 10 months)

* Prototyped sites and developed design and adaptive designs
* Developed a brand book for the company
* Created marketing materials, including brochures, flyers, and presentations, resulting in improved customer engagement
* Analyzed market trends and competitor strategies to inform decisions and optimize marketing efforts
* Created a comprehensive style guide that standardized the design and branding of all company materials

Skills and Experience:

* Over 7 years of experience in Graphic Design and over 4 years of experience in UI/UX Design
* Extensive experience in creating user-friendly interfaces and visual communications, including adverts, branding, publicity materials, and magazine layouts
* Proficient in using tools such as Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop
* Proven ability to work in fast-paced environments and develop strong working relationships
* Strong understanding of market trends and competitor strategies to inform design decisions and optimize marketing efforts

Personal Qualities:
Responsible and professional individual with a positive attitude, thriving in fast-paced environments and developing strong working relationships."
139,"Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating intuitive and visually appealing interfaces. Proven ability to conduct user research, analyze user behavior, and develop design systems.

Experience:
Graphic Designer (2016-2022)
- Developed and executed visual design projects, including logos, corporate identities, advertising materials, and other graphic solutions.
UI/UX Design Practice (6 months)
- Created a landing page and redesigned a website
- Participated in team projects for web and mobile applications
- Conducted user research, analyzed user feedback, and iterated on designs to optimize usability
- Implemented responsive design principles to ensure accessibility and optimization for various devices and screen sizes

Projects:
- Team project ""LifeLandscape"" web service for landscape design: Collaborated with UX designers, conducted user research, and created intuitive and visually appealing user interfaces
- Redesign of a website for a tattoo studio: Conducted research into the target audience, created a modern and engaging interface, and utilized a clean and intuitive layout

Skills:
- UI/UX design
- Graphic design
- User research and analysis
- Design systems development
- Responsive design
- Collaborative teamwork

Career Goals:
Seeking a UI/UX design role that aligns with my skills and interests, offering professional growth, opportunities to work with modern tools and technologies, and a flexible work schedule."
140,"Summary:
Highly skilled graphic designer and UI/UX designer with 4 years of experience, possessing a strong portfolio and excellent communication skills. Proficient in industry-standard design software, with a strong understanding of web design principles, typography, color, and page layouts.

Experience:
Graphic Designer and UI/UX Designer (4 years)
- Created logos, social media posts, and landing pages for brand pages through freelance work
- Prepared typography for printing and designed merchandise for brands
- Developed brand identities and strategies, including a project for a furniture store with branding agency ""onO"" Nova Market

Design Process:
- Gathered requirements and created user stories
- Conducted user research and developed intuitive and engaging visual designs

Skills:
- Graphic design and UI/UX design
- Strong communication and presentation skills
- Attention to detail and excellent documentation skills
- Analytical skills with ability to analyze application performance and trends
- Proficient in industry-standard design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
- Excellent people skills with ability to communicate effectively verbally and in writing
- Creative and logical with ability to work in dynamic and challenging environments

Personal Statement:
As a passionate designer, I strive to create useful and engaging designs that bring value to people. I enjoy the creative process of developing brand identities and websites, and I am motivated by deadlines to deliver high-quality work."
141,"Svitlana
Graphic & Web Designer

Summary:
Highly motivated and deadline-driven graphic & web designer with 8+ years of experience in graphic design and 2+ years in UI/UX design, currently working at Libertex group, an international financial services group specializing in online trading and investment.

Experience:
Graphic & Web Designer with 8+ years of experience in graphic design and 2+ years in UI/UX design, currently employed at Libertex group, an international financial services group specializing in online trading and investment.

Skills:
- Advertising materials design (web banners, social media creatives)
- UI interface design (elements, layouts, style guides, icons)
- Presentation design (digital, print)
- Design drafting and mock-up preparation
- Offline exhibition design preparation
- Illustration design
- Educational materials design
- Brand book and pitch deck creation
- Infographic design
- Print design
- Logo design

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Adobe InDesign
- Sketch
- Principle
- Jira, Trello, Asana

Project Areas:
- FinTech
- Trading
- Investing
- Marketing
- Cryptocurrencies
- Blockchain

Personal Qualities:
- Passionate about design
- Ambitious about personal growth
- Deadline-driven creative
- Strong self-management and analytic mindset
- Good collaboration skills
- Understanding of users' thoughts & feelings and clients' goals and needs

Career Goals:
Full-time remote position."
142,"Graphic Design Specialist, SMM Manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Key Responsibilities:

Graphic Design:
- Developed visual concepts for advertising campaigns across various platforms
- Collaborated with sales and product marketing teams
- Produced and resized visuals (approximately 170 units)
- Created and adapted printed materials, including OOH, catalogues, leaflets, business cards, postcards, stickers, banners, and rollups
- Prepared POSM materials, such as toppers, stickers, banners, and posters
- Prepared materials for printing

Digital Media:
- Produced and adapted banners for all product categories on the LG Website
- Supported the transition to a new visual concept of the website (2020)
- Produced and adapted product cards materials

Social Media Management:
- Referenced and controlled the annual strategy
- Prepared and adjusted monthly content plans
- Produced approximately half of the materials for publication
- Curated a digital agency
- Approved visuals and copyrights
- Coordinated communication between the agency and product managers
- Presented weekly reports, including key indicators, competitor analysis, and results of activities
- Designed social network elements, such as profile headers, thumbnails, covers, and guides
- Curated competitions on social platforms

Advertising Campaigns:
- Developed visual concepts for advertising campaigns
- Communicated with sales and product marketing teams
- Produced and resized visuals (approximately 170 units)"
143,"Anastasia
Graphic Designer, Co-Founder of Otrazhenie Studio

Contact: Behance - besdna

Summary:
Results-driven graphic designer with 5 years of experience in branding and web development, specializing in creating unique visual designs that drive business goals. Proven track record of delivering high-quality designs that exceed client expectations, with a strong focus on building long-term relationships.

Experience:
Co-Founder, Otrazhenie Studio (Ukraine)
- Developed branding strategies for companies across various industries, including fashion, architecture, education, HoReCa, finance, and industrial sectors.
- Created and implemented visual design styles for personal, product, and corporate brands, combining logos, slogans, font selection, colors, illustrations, and photographic styles.
- Designed and developed user-first interfaces for websites, with a core focus on business goals, and managed the process of transferring adaptive layouts to developers using Figma.
- Provided graphic design consultations and recommendations to clients, aligning design options with overall marketing goals.
- Led the design, development, and implementation of graphic, layout, and production communication materials, including postcards, flyers, posters, billboards, infographics, brochures, vehicle wraps, email marketing templates, social media ads, and more.
- Managed a team of three designers, delegating tasks and providing counsel on all aspects of projects.
- Oversaw the production of printed products, from layout creation to final product delivery.
- Created engaging presentations and provided photo and video production services to create unique illustrations for businesses.

Skills:
- Branding and web development
- Visual design and style creation
- Website design and development
- Graphic design consultation and recommendation
- Team management and leadership
- Print production management
- Presentation creation
- Photo and video production

About Me:
I'm a creative and open-minded graphic designer looking for a collaborative environment where I can bring my skills and experience to drive innovative solutions and deliver exceptional results."
144,"Winner of the ""Nanoscience as Art"" contest at the IEEE NAP-2021 conference for the work ""Invisible Orchid"", a scanning electron microscope image of calcium carbonate powder, investigated under the PROM Program ""International Scholarship Exchange of PHD Candidates and Academic Staff"" at Lodz University of Technology.

Highly experienced graphic designer with over 4 years of experience, providing graphic support for numerous information campaigns at a university, including:
- Hundreds of banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for electronic and print use
- Key campaigns:
  - 100th anniversary celebration of the university: logo adaptation, branded products, rector's presentation, and postage stamp design
  - Annual admissions campaign: media plan development, printed products and banner design for website, social networks, and billboards
- Achievements:
  - 73% of surveyed applicants learned about the university through social networks and the official website
  - Establishment of an international partnership following the rector's speech with a presentation at an international conference in Budapest

Freelance experience with a foreign beauty school, creating:
- Social media materials
- Packaging design
- Educational materials with diagrams and step-by-step instructions

Skilled in:
- Logo and brand design
- Presentation design
- Print material design
- Graphics preparation
- Mockup creation
- Technical design
- Photo editing

Combining creativity with technical skills to produce innovative designs, inspired by everyday observations."
145,"Summary:
Results-driven Graphic Designer with 2 years of professional experience, leveraging expertise in industry-standard design software including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma to deliver high-impact visual solutions.

Experience:
Graphic Designer (2 years)
- Developed and implemented a captivating brand identity for a startup, driving brand recognition and consistency
- Conceptualized and executed successful marketing campaigns with engaging visuals, resulting in enhanced brand engagement
- Successfully managed multiple projects simultaneously, prioritizing tasks to meet deadlines and exceed client expectations
- Consistently received recognition for meticulous attention to detail and innovative creativity in design

Skills:
- Proficient in Adobe Creative Suite: Photoshop, Illustrator, InDesign, Premiere Pro, After Effects, and Adobe Figma
- Strong foundation in graphic design principles and best practices
- Keen eye for detail, with a passion for crafting visually stunning and effective designs
- Proven ability to interpret client requirements, translating concepts into compelling and targeted visual solutions

Career Goals:
Seeking a collaborative and innovative environment where I can apply my skills, contribute to diverse projects, and grow professionally. I aim to be an integral part of a dynamic team that values my input, offers opportunities for growth, and maintains a positive and supportive work culture."
146,"Summary:
Highly skilled designer with expertise in branding, web design, and print media, delivering visually captivating solutions tailored to unique client needs.

Experience:
Results-driven designer with a strong background in managing multiple projects from concept to completion, collaborating with clients and cross-functional teams to meet strict deadlines and deliver high-quality designs.

Skills:
Proficient in industry-standard design software, including Adobe Creative Suite, Blender, and Figma, with a strong foundation in visual aesthetics and technical skills.

Key Strengths:
Effective communication and presentation skills, with the ability to foster strong client relationships, drive repeat business, and receive positive feedback, while staying current with the latest design trends and techniques."
147,"UI/UX Designer & 2D Graphic Designer

Summary:
Highly skilled UI/UX and 2D graphic designer with 4 years of experience in digital design, proficient in Adobe Photoshop and Adobe Illustrator.

Education:
- ArtCraft Education LLP – Online Course Game Graphics (2021)
- ArtCraft Education LLP – Online Course Anatomy (2020)
- ArtCraft Education LLP – Online Course Digital Drawing (2019)
- IT School – Advanced Graphic Design course, Adobe Photoshop, Adobe Illustrator (2017)

Experience:
UI/UX Designer & 2D Graphic Designer
- Designed icons, logos, and layouts of varying complexity
- Created marketing materials, including press-wall illustrations, banners, notebooks, and social media posts
- Developed UI/UX designs for websites and mobile applications (iOS/Android)
- Created workflow diagrams and prepared templates for presentations, portfolios, and mobile game backgrounds

Skills:
- Proficient in Adobe Photoshop and Adobe Illustrator
- Knowledge of basic drawing and painting principles in CG, including light, shadow, tone, color, perspective, and anatomy
- Proficient in hand drawing using Wacom Intuos 4 Digital Tablet
- Familiar with Sketch, Figma, InVision, Abstract, and Craft plugin
- Experienced in working with international clients and communicating via email and calls"
148,"Bachelor's Degree in Graphic Design (BFA)

Experience:
Product Launch Specialist
SMm Agency, Outsource Design Studio
- Successfully launched products and brands from scratch in the U.S., U.K., and European markets, handling long-term product work.

Skills:
- Multidisciplinarity: Brand strategy creation, research, analysis, and structuring
- High-Quality Management: Team management, strong communication, conflict resolution, and dialogue building
- Marketing & Search: Employee interviewing, customer searching, questionnaire and poll creation for marketing goals
- Teaching Background: Internal lectures, educational material preparation for colleagues
- Management Skills: Conflict resolution, team management, strong communication

Education:
Bachelor of Fine Arts in Graphic Design"
149,"Highly Skilled Graphic and Web Designer

Summary:
Results-driven graphic and web designer with over 10 years of experience, passionate about creating modern and visually appealing designs. Skilled in designing web and mobile applications, logo design, and corporate identity, with expertise in combining extensive experience with the latest design trends and technologies.

Professional Experience:

UI/UX Designer
May 2019 - October 2022
Collaborated remotely as a team member on various B2B projects
Designed and optimized corporate websites, dashboards, and mobile apps using Figma

UI/UX and Graphic Designer
November 2015 - June 2019
Spearheaded the design of websites and mobile interfaces for a Canadian real estate startup
Created captivating visuals and seamless user interactions using Photoshop and Figma
Developed printed promotional materials for presentations and international trade shows

Web Designer
February 2012 - March 2019
Worked on internal projects and delivered designs for diverse clients within an Israeli digital agency
Collaborated with a team of designers to deliver top-notch designs, including a website for cutting-edge fashion design software
Utilized Sketch, Figma, and Photoshop to bring projects to life

Career Objective:
Seeking remote positions with exciting projects and opportunities for skill development, thriving in team-oriented environments where collaboration and exceptional results are key."
150,"Multidisciplinary Designer

Highly skilled and experienced designer with a background in graphic design, spanning over 6 years, and a strong focus on UX/UI design. Proven track record of working with over 50 clients on diverse projects, with a strong emphasis on product and user experience.

Key Experience:
- Completed several web e-commerce projects independently
- Successfully created web applications from scratch
- Provided guidance and teaching to junior designers
- Collaborated with clients to deliver high-quality graphic and web design solutions, with ongoing support for e-commerce projects

Skills and Strengths:
- Creative and result-oriented approach to design
- Excellent communication and teamwork skills, with experience working in teams and independently
- Strong problem-solving and learning abilities, with a pragmatic approach to design challenges

Career Aspirations:
- Eager to work collaboratively with senior designers or art directors to combine skills and create innovative designs
- Committed to continuous learning and skill development, with a focus on delivering exceptional user experiences"
151,"Graphic Designer & Branding Specialist

Results-driven graphic designer with 7+ years of experience in creating innovative, modern designs. Proven collaborator with clients to develop clear, recognizable brand identities.

Key Services:
- Logo design
- Corporate identity and branding (including business cards)
- Presentation design
- Web and mobile application UI/UX design
- Label design
- E-mailers and newsletter designs
- Graphics for social networks
- Iconography

Technical Skills:
- Adobe Creative Cloud (Illustrator, Photoshop)
- Figma
- Adobe XD
- Marvelapp
- Prezi
- PowerPoint
- Google Slides
- Canva
- GIMP
- Inkscape
- Web design
- Print design
- Logo design
- Illustration
- Digital illustration

Availability and Work Approach:
Available 7 days a week, providing daily project updates and committed to meeting deadlines. Portfolio available for review."
152,"Successfully completed the course ""web-design"" at the IT school Lemon School
She deepened her knowledge by taking the course ""Graphic Design"". Then she successfully started working in this area.

Education:
Kharkiv State Academy of Design and Art
Speciality: Interior Design 
2016-2018

Skills:
Graphic Design:
• Conceptualize visuals based on requirements
• Create a wide range of graphics and layouts for corporate websites, landing pages, and social media
• Ensure final graphics and layouts are visually appealing and on-brand
• Create presentation decks 
• Utilize design software and technologies such as Adobe Photoshop, Illustrator, InDesign, XD, and Microsoft PowerPoint
• Possess a keen eye for aesthetics and details

Web UI Designer:
• Design UI/UX for web and mobile platforms
• Apply Ease of Use Principles in website design
• Understand the meaning and purpose of a site
• Apply accents and hierarchy in design
• Understand typography, composition, and color theory
• Work with modular grids and prototypes
• Create icons, banners, and illustrations
• Develop responsive designs
• Create print designs
• Design mobile app interfaces using iOS and Android UI design guidelines
• Showcase work on the design platform Behance
• Utilize freehand drawing and painting skills

Qualities:
• Developed aesthetic and artistic taste
• Perfectionism
• Perseverance
• Attention to details
• Creativity
• Analytical and logical thinking

About Myself:
Graphic and Web designer with a willingness to learn and gain experience, approaching work responsibly and with aesthetic taste. I understand web design and visual trends, and I am quick to learn due to my interest in self-development and passion for this area."
153,"Highly Experienced Designer
Results-driven professional with over 12 years of experience and a portfolio of more than 2000 projects, ranging from small to large-scale. Proven track record of delivering high-quality work, as evidenced by recommendations from satisfied clients.

Notable Clients:
Unilever, Lipton, DHL, Hyundai, Genesis, KNORR, McDonald's, SKYTOLL, KUKA, METRO C&C, Luxury Lifestyle, Sanofi Aventis, Coldwell Banker, TABASCO, RosAtom, GLONASS, DodoPizza, Sodexo, Faberlic, Rostelecom, HELLMANN'S, YUKO, Urenholt, Calve, Dove, SELGROSS, Baltimor, Zott, Hyson, TruckMotors, McCain, CARTE D'OR

Key Skills and Expertise:
UX/UI design, web design, illustrations, infographics, printing, packaging, identity design

Proficient Tools:
Adobe Photoshop, Adobe Illustrator, Adobe InDesign, hand drawing with a high artistic level, and other design software

Career Interests:
Seeking large and complex projects that offer creative freedom, opportunities for brainstorming, and the pursuit of innovative solutions."
154,"My Achievements:

OVERDOSE
· Spearheaded the design of community.overdose.digital website from conception to launch
· Developed and implemented the Overdose Tech Club Instagram design concept, achieving a 30% increase in new followers
· Conceptualized and executed a new design strategy for Overdose.UA Instagram, yielding a 60% increase in post and story views and a 25% boost in audience engagement

PROSVIRIN DESIGN
· Enhanced Instagram design, resulting in a 50% increase in post and story views and a 35% increase in unique visitors
· Designed a presentation for a new commercial promotion, expanding the potential customer base from the USA, Germany, and Dubai by 40%

About Me
Results-driven and creative designer with 3+ years of graphic design experience and 2+ years in UI/UX design. I deliver innovative visual solutions and bring a unique approach to communication challenges, creating engaging designs that drive results. I am eager to collaborate with a friendly and professional team to develop a strong corporate identity and enhance graphic communication between the company and its customers."
155,"Professional Skills:
UI/UX Design
1. Freehand drawing (over 15 years)
2. Adobe Photoshop
3. Adobe Illustrator
4. Corel Draw
5. UI/UX - Figma, InVision
6. Zeplin, Wordpress, Tilda, Adobe Premiere (basic skills)

Key Strengths:
Team player with over 5000 creatives developed
Strong understanding of composition and color science
Ability to work with briefs and create own concepts
Quick information processing and attention to detail
Strong sense of taste and style

Experience:
5+ years of graphic design development and 1 year of UI/UX experience

Designer-Freelancer (09.2016 - present, Upwork)
- Graphic design of corporate identity (logos, business cards, banners)
- Solved complex tasks, communicating with international clients

Designer-Engraver (04.2019 - 01.2021, Planet of Gold)
- Created social media content and advertising materials
- Prepress and maket creation for laser engraving
- Laser engraving on jewelry and retouching

Advertising Content Designer (06.2021 - 03.2022, CONCEPTA, remote)
- Developed e-commerce and natural cosmetics brand content
- Created advertising creatives, social media content, and POS materials
- Improved existing visual materials, photo-retouching, and motion design
- Designed banners, company websites, landing pages, and ads for Facebook, Instagram, Amazon, and Google

Career Goals:
Seeking a graphic designer role with a focus on branding or social media content, with opportunities to develop UI/UX skills (open to a 50/50 split)"
156,"Graphic and Brand Identity Designer

Upwork (2022.06 - Present)
- Create marketing materials, including banners, logos, and watermarks for YouTube
- Design logos for USA-based clients
- Develop packaging designs for clients in the Netherlands and the USA
- Create label designs for Dutch craft beer
- Implement brand formation, development, and marketing materials projects for web and print

Graphic Designer, Citrus - Odessa (2021.09 - 2022.02)
- Design layouts for promoting household and computer equipment on websites and outdoor advertising
- Create printed products to support Citrus corporate style
- Adapt layouts for various brands, including Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, and HUAWEI, to Citrus corporate identity
- Adapt banners for social networks, Google advertising, and mass media
- Prepare printed materials using Corel Draw

Upwork (2021.02 - 2021.09)
- Collaborate with clients from the Netherlands and the USA
- Design labels for beer products
- Create banners for advertising on Instagram, Facebook, and Google
- Prepare a brand book for a private clinic in Ukraine
- Design a logo for a music equipment supplier
- Create labels for beer products in the Netherlands
- Design stickers for Telegram using AI and Corel Draw"
157,"UI/UX Designer with 3 years of experience, focused on creating clear and intuitive designs that provide the best user experience and increase user engagement. Specialized in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration, with a passion for creating high-definition interfaces and improving people's lives through simple and discreet but useful products that carry values.

Experience:
UI/UX Designer, Comportal
October 2022 - Present
- Created landing pages for small and medium-sized businesses
- Developed layouts and prototypes for websites
- Evaluated and tested user experience
- Developed user interfaces
- Collaborated with development teams and project managers to ensure seamless integration of design into projects

Graphic Designer (freelance), Resource Group
February 2021 - Present
- Developed marketing materials to increase reach, trust, and loyalty of the target audience
- Developed layouts for print
- Developed banners for targeted advertising
- Created banners for news on the website
- Worked with marketers and project managers in a team to ensure timely and quality project completion

Graphic Designer, Liga.net
September 2021 – December 2021
- Developed marketing materials to increase reach, trust, and loyalty of the target audience
- Developed layouts for print
- Developed banners for targeted advertising
- Created collages for news on the website
- Worked with marketers and journalists in a team to ensure timely and quality project completion

Independent Designer
- Created websites for small and medium-sized businesses
- Designed banners, landing pages, and print materials 

Note: I made no changes to the provided resume as per the instructions. The content remains the same."
158,"Junior UX/UI Designer

Summary:
Results-driven and creative professional with a strong background in team management, photography, and graphic design. Proven ability to quickly adapt and grow in new roles, with a passion for UX/UI design and a strong foundation in psychology.

Experience:
HR Manager
- Led a team of 65 people, utilizing strong interpersonal skills to drive success
- Demonstrated rapid growth, advancing from junior specialist to specialist in 8 months

Photographer and Graphic Designer
- Contributed to a team of 600 people, developing strong collaboration and communication skills
- Worked on a prominent YouTube channel, honing creative vision and technical skills

Education:
Bachelor's Degree in Computer Technology, with a foundation in programming principles
Self-taught in psychology, with 10 years of study and a deep understanding of human behavior

Skills:
- UX/UI design, with current enrollment in specialized courses
- Team management and leadership
- Photography and graphic design
- Strong interpersonal and communication skills
- Adaptability and creativity, with a passion for continuous learning

Personal Projects:
- Traveled to over 15 countries, developing a broad perspective and cultural understanding
- Lived in Thailand for a year, immersing myself in a new culture and environment
- Became a certified diver, overcoming a fear of water and demonstrating perseverance and determination"
159,"UX/UI & Graphic Designer
Freelance, June 2022 - Present

Projects:
- Redesigned the website for Azerinshaat Service LLC, resulting in a 40% decrease in bounce rate and a 50% improvement in load speed on mobile devices.
- Designed the app interface for Yarat Contemporary Art Space, including user flow, UI kit, and visual design prototypes.
- Redesigned the website for City Net Internet Service Company, increasing annual revenue by 34% and user response by 20% through user research methodologies and data-driven design.
- Designed a Landing Page for Poligal-Vostok, The Secret Garden Flower Shop.
- Designed the E-commerce Website for Buta Art & Sweets Online Cooking Course and Social Entrepreneur.
- Designing a portfolio website for a social entrepreneur whose sales have doubled.
- Branding for a Romashka Flower Shop.
- Literary Magazine Branding (& app/website design).

Technical Skills:
- Graphic design software: Adobe Photoshop, Adobe Illustrator, Sketch.
- Prototyping and design systems tools: Figma, InVision, Adobe XD.
- User research techniques: surveys, interviews, data analytics.

Professional Experience:
Freelance UX/UI & Graphic Designer, June 2022 - Present
- Work independently, interacting with clients to understand their requirements and delivering the desired results.

Career Development:
Aiming to expand skills by learning new technologies and tools, deepen expertise in UX research, and delve into user data analytics, with aspirations to take on more challenging projects and collaborate with diverse teams to enhance professional growth."
160,"Graphic & UX/UI Designer

Summary:
Highly skilled Graphic and UX/UI Designer with 2 years of experience in graphic design and over 1 year of experience in UX/UI design. Proven ability to drive business growth through effective design solutions, with a notable achievement of doubling the graphic design team within the first 2 weeks of collaboration.

Experience:
Graphic Designer (2 years)
- Utilized graphic tools and techniques to help businesses grow, informed by deep understanding of business needs, user pain points, and market trends
- Developed brand identity through market research, brand ideas, moodboards, logotypes, and brand books
- Created unique graphic content, including infographics, banners, posters, and presentations
- Mentored new designers and provided regular technical and personal feedback to build a strong design team
- Collaborated with the Marketing department to achieve business and sales goals

UX/UI Designer (over 1 year)
- Conducted user and competitors research, creating user personas and user journey maps
- Developed design systems and UI kits
- Built informational architecture and created user flows
- Designed wireframes and set up design prototypes
- Communicated with clients throughout all stages of design

Technical Skills:
- Adobe Illustrator
- Adobe Photoshop
- Figma
- Procreate
- Miro

Career Goals:
Seeking a company or project that inspires growth as a designer and user, with opportunities to impact product development and experiment with new approaches and techniques. Looking for a professional and friendly team that fosters a culture of continuous learning and challenges."
161,"As a seasoned graphic, web, and UI/UX designer, I've achieved remarkable success in crafting visually appealing websites with seamless navigation and user-friendly interfaces. My meticulous attention to detail and deep understanding of user experience principles have allowed me to create immersive digital experiences that receive positive acclaim from clients and users. Additionally, my expertise extends to developing captivating graphics, logos, and branding materials that effectively communicate brand identities and captivate audiences.

With nearly 9 months of comprehensive design courses and almost half a year of freelance designing experience, I've had the opportunity to work on diverse projects, including:
- Crafting welcome brochures for a specific country
- Constructing visually appealing websites for various businesses, such as perfume stores, photographers, start-ups, and hotels
- Designing a dashboard for a local bank
- Creating a website for a solar panel company
- Designing a menu for a local restaurant
- Developing a cinema app

I am eager to further refine and expand my skills in the world of design, seeking new opportunities that align with my values and interests. I prefer to focus on projects that have a positive impact and cater to a wider audience, and I am excited to contribute my skills and creativity to meaningful and fulfilling projects."
162,"Product Designer

Results-driven professional with 8+ years of global experience in product design, spanning the USA, Canada, Singapore, Israel, Indonesia, Thailand, Australia, UK, Belgium, Germany, Poland, Russia, Belarus, and Ukraine. Successfully completed over 25 web and 15 complex product cases, demonstrating expertise in delivering high-quality solutions.

Domain expertise includes:
- Marketing
- Logistics
- Field services
- Healthcare
- Project management software
- Real estate
- Retail
- Manufacturing
- Start-ups
- Social activity
- IT-outsourcing
- New media
- Blockchain and crypto
- Legal
- Sports
- Personal branding/blogs

Skilled in designing advanced SAAS apps, with a focus on:
- Design Systems
- User Experience
- Design management
- Discovery phases
- Interaction design
- Prototyping
- Implementation maintenance

Utilize a Human-centric approach and Lean UX methods to deliver aesthetic, functional, and cross-platform products. Proven ability to work with global teams and companies on projects ranging from small startup apps to enterprise-level initiatives, with a strong ability to collaborate remotely.

Seeking a company with a strong design culture, ambitious team leaders, and a competitive financial offer, with the option to work remotely."
163,"T-shape design generalist with 15+ years of experience and product thinking.

Key Achievements:
- Designed over 40 successful digital products
- Led design teams and projects worldwide
- Created and operated over 30 brands and trademarks in the market
- Mentored junior designers, provided lectures and workshops
- Held respectable UX certification and received international design awards
- Served as a jury member at international design competitions

Expertise:
- Setting up product design teams and processes
- Managing UI/UX design teams
- Product management and launching startups

Clear understanding of the full design process, from business analysis and research to detailed visual design and implementation.

Hands-on knowledge of:
- UX design
- Prototyping tools
- User testing
- Mobile and responsive design
- Branding
- HTML/CSS principles
- UX architecture and design
- Data mining and data-driven design
- Usability evaluation
- Visual design
- UI design
- Logo design
- Product identity design
- Prototyping
- iOS and Android
- AR/VR
- Business and requirement analysis
- User and marketing research
- Photography
- Direction
- Management
- Tutoring

Career Preferences:
- Professional company management with a clear understanding of business needs and goals
- Product company preferred
- Influence on direction and product vision is mandatory
- Available for part-time design consultancy services
- Not interested in project or operation work at outsourcing companies
- Open to remote work or relocation to the USA, UK, or Europe
- Flexible and open to changes and reconstructions
- Interested in cross-disciplinary design projects and AR/VR projects, excluding game development."
