,Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo
121,"Objective: Game UI/UX Designer with experience in UI Artist and animation since 2019, previously working as a web designer since 2015. Skilled in Figma, Adobe Photoshop, Unreal Engine 4, and Unity, with knowledge of html, css, and js. Proven ability to develop intuitive UX flows, create UI screens and elements, and collaborate effectively with team members to achieve design goals. Dedicated to continuous learning and physical fitness, with a passion for teaching design at IT Academy (Lviv)."
122,"I am a game UI/UX designer/artist at a Ukrainian game company, responsible for creating UI visuals for casual games from concept to final rendering in Unity. I collaborate with designers, managers, 2D and 3D artists, and programmers to research game interfaces, develop visually appealing and unique interfaces, and create additional game interface materials. I also stay updated on the latest UI/UX design trends and techniques.

Education: Bachelor's degree in ""Artist-performer"" from Kyiv National University of Construction and Architecture. 

Objective: Seeking a position with interesting and varied tasks where I can utilize my knowledge and skills in a strong team environment for professional growth and experience exchange."
123,"- Graduated with honors from Web Design courses and supervised the final group project
- Successfully organized the printing of materials for two exhibitions in different cities simultaneously
- Developed a welcome-box for new employees of the company
- Completed 248+ projects with a focus on UI/UX game design
- 3+ years of experience in design and 2 years in GameDev
- Completed English courses with honors in 2022
- Continues to actively work through challenging times
- Led full UI development for an educational mobile game for kids with over 100,000 downloads
- Participated in the development of a AAA PC MOBA
- Successfully updated and transferred a PC simulator for cybersportsmen to the mobile platform on time
- Experienced in creating game graphics using a graphics tablet
- Skilled in Figma, Photoshop, Unity3d, Jira, Confluence, and Plastic SCM
- Enthusiastic about participating in innovative projects and working in a friendly team that values high-quality projects and employee well-being."
124,"UX/UI Designer & Visual Graphic Designer (2019-2022)

UX/UI Designer (2020-2022)
2nd Half of the Year:
- Developed indie game interfaces based on UX research conducted independently.
- Created Low- and High-Fidelity wireframes.
- Collaborated with developers and game designers.
- Conducted surveys and exercises for user testing.

1st Half of the Year:
- Developed UX/UI solutions using a user-centered design approach.
- Conceptualized ideas from low fidelity wireframes to interactive visual designs.
- Designed site maps and information architecture.
- Demonstrated how design adds value from core user needs.
- Illustrated design ideas using storyboards, process flows, and sitemaps.
- Developed adaptive and responsive UX/UI wireframes for web-based applications.
- Considered negative paths and ensuring design covered full customer loops.
- Created CJM and guides to support product vision.

Visual and Graphic Designer (2019-2022)
Key responsibilities:
- Created logos, conceptual identity, banners, posters, and ads.
- Generated ideas and monitored design trends.
- Structured work results with attention to detail.
- Presented and defended ideas to clients.
- Collaborated with team to implement design knowledge efficiently."
125,"- Experienced in copyright law to ensure company compliance in legal matters.
- Engages in social projects to enhance urban spaces.
- Speaker at IT events and organizer of Mykolayiv Design Community.
- Designs user interfaces for mobile, desktop applications, and gaming projects.
- Proficient in UX methodologies for wireframes, user flows, journey mapping, persona creation, and interactive prototypes.
- Creates and maintains design identity for products and brands, including logos, corporate styles, guidelines, and brand books.
- Develops atomic design systems for websites, applications, and gaming projects.
- Provides design estimation for projects of any complexity.
- Conducts design reviews and incorporates feedback effectively.
- Strong team player with excellent communication skills.
- Resides in a self-sustaining house outside the city and holds exemption from military service for family reasons.
- Seeking full-time employment with minimal bench periods.
- Prefers a friendly and sociable work environment with minimal reporting and tracking requirements."
126,"Lead Game UI/UX Designer at Obrio (Genesis)
January 2021 to August 2022 (1 year, 8 months)

- Created more than 15 features from scratch
- Developed basic style and color system for UI
- Generated detailed game design documentation
- Conducted market and competitor research
- Created video prototypes for features
- Designed features from scratch
- Developed and updated the UI kit
- Mentored junior designers and managed the team
- Tracked product metrics using devtodev.com
- Presented results for the team

Achievements as a Mentor:
- Judge and Mentor at the Genesis GameJam 2021
- Recorded lecture about Game UX for Projector Institute (Course Game Design Beginning)


UI/UX Designer at Evoplay
February 2020 to January 2021 (11 months)

- Supported mobile and web products
- Created and supported UI-Kit
- Worked with breakpoints
- Designed mini-features
- Created illustrations for features


Product Designer at Aimbulance
September 2019 to February 2020


UI Designer at a Company Under NDA
September 2017 to September 2019"
127,"Hello! I am a designer from Kharkiv with over 10 years of experience in graphic and UI/UX design. I have worked in advertising and marketing agencies, as well as printing houses, with experience working with European clients.I have created logos and styles for various companies in Kyiv, Kharkiv, and other cities in Ukraine and Europe. I also have experience in website development using the Tilda constructor.

I offer a full range of graphic and UI/UX design services including creating landing pages, websites, conducting UX research, designing logos, social networks, printed materials, presentations, outdoor advertising, transport branding, and more.

Personal qualities include excellent organizational and planning skills, being a strong team player, and a preference for user-friendly design. I am eager to work with you and help your business grow, with a strong desire to further develop as a UX/UI designer."
128,"UX/UI Designer - Stress Point Health Ltd [Apr2018 - Jun2020]
Key Responsibilities:
- Leading a UX/UI design project for a mobile app aimed at providing treatment for stress, anxiety, and trauma.
- Designing from idea through problem-solving to full UI implementation.
- Visualizing metrics in a user-friendly way.
- Creating wireframes, user journey flows, and prototypes for testing.
- Conducting usability testing sessions with volunteers to ensure optimal user experience.

UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- Sole designer responsible for all design decisions.
- Designing websites, print materials, and infographics.
- Analyzing briefs and defining user experience approaches.
- Creating wireframes, designs, and mockups for different markets.
- Redesigning presentations, logos, brand identities, and websites.
- Implementing user-centered design and design thinking approaches."
129,"I have experience as a Creative Intern at Phiture, where I created illustrations and design assets for the marketing team, adjusted designs to brand guidelines, worked on print design, photo retouching, and created marketing assets for various clients. I also participated in A/B testing for Adobe and assisted in Quality Assurance processes. Prior to this, I completed a Master's degree in design and journalism while working on non-profit projects for a charitable organization to further develop my graphic and UI/UX design skills. I am proficient in vector graphics, icons, logos, application prototyping, branding, video editing, and motion graphics. Additionally, I have experience working with large amounts of information and text from my background in multimedia journalism."
130,"Zeybullah
Graphic and UX/UI Designer

3+ years of experience in Graphic and UX/UI design principles, knowledge, and discipline. Worked with Eleven Kings Football Manager Game, Soccer City, and Mediamark Digital Agency designing SMM posters, magazines, advertising materials, and UI designs. Experienced in UX/UI design, mobile app design, website design, digital design, logo and branding, and more. Proficient in Adobe Illustrator, Photoshop, InDesign, XD, Figma, and more. Highly recommended by clients for creativity and attention to detail. "
131,"I have a great passion for learning foreign languages, film photography, and painting.

After graduating from NTUU ""KPI"", I worked as a graphic designer for more than four years. Starting in 2017, I transitioned to freelancing, focusing mainly on the design of print advertising materials.

From June 2018 to February 2020, I worked as a full-time graphic designer in the marketing department of ""Pyramida Technik"", a large Ukrainian company-manufacturer and distributor. My responsibilities included assisting the marketing team in creating visual materials for social media campaigns, designing presentations, and print materials, as well as later redesigning websites.

From September 2019 to March 2020, I collaborated with Camping Trade as a freelance designer, working on the website for the GioStyle brand and creating visual materials for social media.

From February 2021 to April 2022, I worked as a UX/UI designer at AltRecipe. My responsibilities included website development for desktop and mobile platforms, analyzing and improving existing interfaces, collaborating closely with the product team, and creating animations for interfaces.

From April 2022 to May 2023, I worked as a graphic designer for various French and Ukrainian companies, such as Gr8Tech, Bourgogne en Douce, and O4Dance."
132,"- Three years of experience in Graphic design and Web design, specializing in the development of design templates for websites with a focus on user experience and user interface.

- Skilled in creating Landing Pages and multi-page sites optimized for different devices, with a strong understanding of graphic design principles, typography, and color.

- Experience in participating in the development of internet stores and book publishing projects.

- Project Manager at a Ukrainian book publishing house in 2022, responsible for market research, template and prototype creation, website development, hosting management, and recruitment of programmers for projects.

- 3D Designer at 3D company ""Hover"" from September 2020 to July 2022, specializing in reproducing and modeling architectural structures using visualization from photographs into 3D objects.

- Proficient in 3D design software including SketchUp, Blender, and Zbrush, with experience in high polygonal 3D modeling and character design.

- Proficient in design software such as Figma, Photoshop, Illustrator, Adobe XD, Adobe After Effects, and Premier Pro.

- Aspiring to expand skills in graphic design beyond web design to include book covers, advertising banners, posters, and invitations. Seeking opportunities to improve skills and gain new knowledge in design development."
133,"Graphic designer with over 5 years of experience in leading design roles for various industries, including jewelry stores, household chemicals stores, restaurants, children's stores, and IT corporations. Skilled in advising clients on advertising strategies, considering user needs and factors. Proficient in UI/UX design, prototype development, graphic design, vector and 2D illustration, 2D animation, and deep understanding of mobile guidelines and user psychology. Experienced in creating flat illustrations and animations, with a strong background in advertising. Familiar with Figma, Adobe Photoshop, Illustrator, After Effects, Lightroom, Corel Painter, Krita, Zeplin, Blender, and Unity. Fluent in English, native Ukrainian speaker, with beginner proficiency in Czech and Mandarin. Passionate about mobile app development and eager to continue learning and growing in a new environment. Willing to relocate internationally."
134,"Name: Daria

Summary: Experienced Chief Business Officer with a background in communications, marketing, management, and design. Skilled in managing teams, developing client relationships, and overseeing projects in innovative visual technologies such as 3D, 360photo, 360 video, aerial shooting, virtual reality (VR), and augmented reality (AR). Passionate about art, design, and digital tools, with a focus on combining function and aesthetics to inspire and engage audiences.

Experience:
- Chief Business Officer, 3DTOUR AGENCY
- Led website development projects, including user behavior analysis, process logic, functions, and design
- Created brand identity for various events, both educational and sport, private and public
- Developed marketing materials such as logos, brochures, newsletters, infographics, presentations, and advertisements to improve client transactions
- Managed up to 5 projects simultaneously, meeting strict weekly deadlines with strong time management skills

Skills:
- Proficient in Adobe Creative tools
- Strong project management skills
- Excellent communication and relationship-building abilities
- Creative problem-solving and innovative thinking
- Continuous self-education and development in design field

Motivation: Seeking professional self-actualization, financial self-sufficiency, and ongoing learning and growth in the design industry."
135,"Hello, I'm Ann. I have over 4 years of professional experience as a graphic designer, specializing in brand communication. I have worked with a variety of clients, from bloggers to singers to creative agencies, creating press media kits, logos, websites, presentations, stickers, and postcards. My skills include brand identity, logo design, presentations, infographics, layouts, print materials, and web marketing. I also have experience in UI/UX design, including landing pages, multi-page websites, and email newsletters. I am known for my attention to detail, empathy towards clients' needs, and ability to generate innovative ideas efficiently. I am excited about the opportunity to bring my creativity and teamwork to your company. Thank you for your consideration."
136,"Experience:

- Graphic and UI/UX designer at Plarium, responsible for producing competitive design advertisements and creating 2D banners and animations for social media resources of company products

- Graphic designer at Grls Gang, responsible for creating branding identity, advertisements, and connections between the company and users

Skills:

- Proficient in designing social media materials, advertisements, and printing materials

- Strong understanding of color, shape, and composition

- Experienced in working with layouts, typography, and illustrations

- Ability to research and implement the best design solutions while respecting deadlines

- Continuously learning and staying updated on industry-related trends"
137,"While studying at Beetrot Academy, I worked on a B2B sales project as a freelance UI designer in collaboration with a classmate. Together, we designed 6 pages with 30 blocks, 11 pages of registration forms, and a UI Kit. We developed the desktop version, adaptive design, and 40 mail templates for the project, which is currently active.

In addition to this project, I have approximately 6 kilograms of printed materials created by me during my experience as a graphic designer.

I have completed courses at the ""American English Center"" in Kharkiv, achieving a B2 level of proficiency in English and the ability to communicate fluently.

With over 5 years of experience in graphic design, I have worked on creating POS materials, magazine and newspaper production, identity and branding, as well as music posters.

In December 2020, I completed a 6-month intensive UX/UI Design course at Beetrot Academy online. For my diploma project, I created an online shop for car lights. This project involved research, creating a technical requirement, a mind map, user portraits, user flows, wireframes, and design.

I am currently seeking a stable job in an outsource or product company, preferably remote but open to office-based opportunities in Kharkov. I am also interested in freelance, part-time, and project-based work while searching for a full-time position. I am eager to combine both graphic and UX/UI design responsibilities in my future role."
138,"I have over 7+ years of experience in Marketing, UI/UX, and Graphic Design. 

Middle Graphic Design Specialist
SupportYourApp · Full-time
Feb 2022 - Feb 2023 · 1 yr 1 month
- Designed branding for SupportYourApp social media, created illustrations, and developed overall brand identity
- Collaborated with cross-functional teams to ensure designs met business objectives
- Adapted design concepts to different media formats, including web, social media, print, and video

UI/UX Middle Designer
TEMABIT Software Development  · Full-time
Mar 2020 - Feb 2022 · 2 yrs
- Developed user-friendly UI/UX for mobile applications for major hypermarkets in Ukraine (FOZZY Group, Fora, Justin)
- Facilitated successful photo shoots and created comprehensive style guides for design and branding standardization

UI/UX Junior Designer, Middle Graphic Designer
Skywell Software
Jun 2018 - Mar 2020 · 1 yr 10 month
- Prototyped websites and developed design for adaptive designs
- Developed a brand book for the company and created marketing materials, resulting in improved customer engagement
- Analyzed market trends and competitor strategies to optimize marketing efforts

Overall, I have extensive experience in creating user-friendly interfaces and visual communications, using tools such as Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop. I thrive in fast-paced environments and have a positive attitude that enables me to build strong working relationships."
139,"Creating intuitive and visually appealing interfaces that ensure a pleasant user experience with the product. 
Conducting user research, including observations and analysis of user behavior, to gather insights that contributed to design improvements and enhanced user satisfaction. 
Participating in a team project where I had a significant role in designing the interface of the service, leveraging my experience in graphic design. 
Developing a design system for the team project.
From 2016 to 2022, I worked as a graphic designer, specializing in the development and execution of visual design projects. I created logos, corporate identities, advertising materials, and other graphic solutions. 
Half a year of practice in UI/UX design, where I already have experience in creating a landing page, redesign, a team project for a web service, and team project for a mobile app.
I am actively seeking my first job as a UI/UX designer. 
Experience with collaborative teamwork, user-centric design, and responsive design principles through work on the ""LifeLandscape"" web service project.
Led the redesign of a website for a tattoo studio in Destin, Florida, focusing on creating a visually appealing and user-friendly interface.
Seeking a position in UI/UX design that offers opportunities for professional growth, exciting projects, team collaboration, impact on product quality, professional prestige, flexible work schedule, and career development."
140,"Demonstrable graphic design skills with a strong portfolio
Strong communication skills and ability to develop and deliver polished presentations
Strong attention to detail and excellent documentation skills
Strong understanding of web design principles, typography, color, and page layouts
Strong analytical skills, including detailed analysis of application performance and trends
Passion for design, creativity, and a positive attitude within agile development
Professional-level knowledge of design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
Excellent people skills with strong verbal and written communication
Creativity, strong logic skills, and ability to work in dynamic, challenging environments
4 years of experience as a graphic designer and UI/UX designer
Experience in freelance work creating logos, social media posts, landing pages
Typography experience in preparing for printing and designing brand merch
Developed brand identities and strategies, including work with branding agency “onO” Nova Market
Design process includes gathering requirements, user stories, user research, and developing intuitive visual designs
Passionate about creating brand identities and websites for businesses
Enjoys working with deadlines to ensure efficient project completion"
141,"Svitlana

Graphic & Web Designer with 8+ years of experience in Graphic Design and 2+ years in UI/UX design. Currently working at Libertex group, specializing in online trading and investment.

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, style guides, icons
- Presentation design (digital, print)
- Design drafts and mock-ups
- Design for offline exhibitions
- Illustrations and educational materials
- Brand books and pitch decks
- Infographic and print design
- Logo design

Tools:
- Figma, Adobe Photoshop, Illustrator, XD, InDesign, Sketch, Principle
- Jira, Trello, Asana

Project areas:
- FinTech, Trading, Investing, Marketing
- Cryptocurrencies, Blockchain

Passionate about design, ambitious for personal growth, and deadline-driven. Strong self-management, analytics, collaboration, and understanding of user and client needs. Seeking a full-time remote position."
142,"Graphic Design Specialist, SMM manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Advertising campaigns
- Visual concept of advertising campaigns for placement on various platforms
- Communication with sales and product marketing teams
- Production of visuals
- Resizes (approximately 170 units)

Production of printed materials
- Creation and adaptation of printed materials for all product categories
- POSM (toppers, stickers, banners, posters, etc.)
- Preparation of materials for printing

LG Website
- Production and adaptation of banners for all product categories
- Support in transitioning to a new visual concept of the website (2020)
- Production and adaptation of product cards materials

Social Media Manager
- Reference for annual strategy, approval, and control throughout the year
- Preparation of monthly content plan with situational adjustments
- Production of materials for publication
- Curating a digital agency
- Approval of visuals and copyrights
- Communication between agency and product managers
- Weekly report on key indicators, competitor analysis, and results of activities
- Design of social network elements
- Curating social platform competitions"
143,"Anastasia
Graphic Designer

Experience:
- Branding development for companies in different fields such as fashion, architecture, education, HoReCa, financial, and industrial companies.
- Creating and developing a visual design style for personal, product, and corporate brands.
- Website development with a focus on business goals and user-first interface design.
- Providing recommendations and consultations on graphic design options based on marketing goals.
- Creating various marketing materials including postcards, flyers, posters, infographics, brochures, vehicle wraps, email marketing templates, social media ads, banners, and more.
- Leading the design, development, and implementation of graphic communication materials.
- Managing a design team and overseeing project aspects.
- Supervising the production process of printed products from layout creation to delivery to clients.
- Creating engaging presentations to convey clients' messages effectively.
- Providing unique illustrations through photo and video production for business promotion.

You can find my work on Behance – besdna. 

Skills:
- Branding
- Web Development
- Creative Problem-Solving
- Project Management
- Communication
- Team Leadership

Looking for opportunities to work with open-minded individuals and contribute to meaningful projects."
144,"Winner of the ""Nanoscience as Art"" contest at the ""IEEE NAP-2021"" conference with the work ""Invisible Orchid,"" which featured an image of scanning electron microscope of calcium carbonate powder. Conducted SEM investigations as part of the PROM Program ""International Scholarship Exchange of PHD Candidates and Academic Staff"" at Lodz University of Technology.

Experienced graphic designer with over four years of experience. Responsible for creating graphic support for university information campaigns, including designing banners, flyers, advertising and greeting cards, presentations, posters, and infographics for electronic and print use. 

Key projects include the 100th anniversary celebration of the university, annual admissions campaign, and establishing international partnerships through presentations at conferences. Also worked on social media content, packaging, and educational materials for a foreign beauty school. Skilled in logo and brand design, presentation design, print materials, mockups, technical design, and photo editing."
145,"During my 2 years as a Graphic Designer, I have accomplished the following:

Developed a captivating brand identity for a startup.
Executed successful marketing campaigns with engaging visuals.
Managed multiple projects, meeting deadlines and exceeding expectations.
Received recognition for attention to detail and creativity."
146,"Throughout my career, I have honed my expertise in various design disciplines, including branding, web design, and print media. I have worked with diverse clients across different industries, enabling me to adapt my design approach to meet their unique needs and objectives. By combining my technical skills with a deep understanding of visual aesthetics, I have consistently delivered visually captivating and effective design solutions.

I have successfully managed multiple design projects from concept to completion. I collaborate closely with clients and cross-functional teams to ensure the delivery of high-quality designs within strict deadlines. My ability to communicate effectively and present design concepts have helped me foster strong relationships with clients, leading to repeat business and positive feedback.

In addition to my technical skills, I am proficient in industry-standard design software such as Adobe Creative Suite, Blender, and Figma. I stay up to date with the latest design trends and techniques, constantly seeking new sources of inspiration to enhance my work."
147,"ArtCraft Education LLP – Online Course Game Graphics (2021)
ArtCraft Education LLP – Online Course Anatomy (2020)
ArtCraft Education LLP – Online Course Digital Drawing (2019)
IT School “Advanced graphic design” course Adobe Photoshop, Adobe Illustrator (2017)

UI/UX Designer. 2D Graphic designer with 4 years of experience in digital design.

Responsibilities:
- Creation of icons, logos, layouts of various degrees of complexity
- Designing marketing materials such as press-wall illustrations, banners, notebooks, posts on social networks, etc.
- Working with UI/UX design for websites and mobile applications (iOs/Android)
- Creating workflow diagrams
- Preparing templates for presentations, portfolio, and backgrounds for mobile games

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator
- Knowledge of basic rules and principles of drawing and painting in CG (light, shadow, tone, color, perspective, anatomy, etc.)
- Drawing by hand using Wacom Intuos 4 Digital Tablet
- Knowledge of Sketch, Figma, inVision, Abstract, Craft plugin
- Experience in working with international clients and communication (e-mail/calls) with them."
148,"- Successfully launched a product/brand in the U.S., U.K., and European markets.
- Bachelor's degree in graphic design (BFA).
- Proficient in creating brand strategies, conducting research, analysis, and designing. Skilled in high-quality management, team leadership, communication, conflict resolution, and building collaborative relationships.
- Experience in market research, customer interviews, creating questionnaires and polls for marketing purposes.
- Background in teaching, able to provide lectures and educational material for colleagues.
- Committed to fostering trust and maintaining a healthy work-life balance for both personal and professional growth."
149,"I am a highly skilled graphic and web designer with over ten years of experience specializing in the design of web and mobile applications, logo design, and corporate identity. Combining extensive experience with the latest design trends and technologies to deliver high-quality solutions. 

PROFESSIONAL EXPERIENCE:
UI/UX Designer | May 2019 - October 2022
Collaborated remotely on various B2B projects, designing and optimizing corporate websites, dashboards, and mobile apps using Figma.

UI/UX and Graphic Designer | November 2015 - June 2019
Key contributor to a Canadian real estate startup, leading the design of websites and mobile interfaces. Utilized Photoshop and Figma to create captivating visuals and user interactions, as well as developing printed promotional materials.

Web Designer | February 2012 - March 2019
Worked within an Israeli digital agency on internal projects and client designs. Collaborated on website designs for fashion design software using Sketch, Figma, and Photoshop.

Actively seeking remote positions with exciting projects and opportunities for skill development, thriving in team-oriented environments to achieve exceptional results."
150,"- Experienced multidisciplinary designer with 6 years of background in graphic design
- Worked with over 50 clients on various projects
- Specialized in UX/UI design with a focus on product and user experience
- Skilled in creating web applications from scratch and completing multiple e-commerce projects independently
- Experience in teaching junior designers
- Proficient in team collaboration and eager to further develop skills in a creative environment"
151,"Hello! I am a graphic designer and professional logo and branding designer with over 7 years of experience. I specialize in:
- Logo design
- Corporate identity and branding, including business cards
- Presentation design
- Web and mobile application UI/UX design
- Labels design
- E-mailers/Newsletter designs
- Graphics for social networks
- Iconography

My professional experience includes working with software such as Adobe Illustrator CC, Adobe Photoshop CC, Figma, Adobe XD, Marvelapp, Prezi, PowerPoint, Google Slides, Canva, GIMP, Inkscape, web design, print design, logo design, illustration, and digital illustration.

I am available 7 days a week and provide daily project updates while always meeting project deadlines. Please check out my portfolio for examples of my work. I look forward to contributing my skills and experience."
152,"Successfully completed the course ""web-design"" at the IT school Lemon School and deepened knowledge with the course ""Graphic Design"". Started working in Graphic Design.

Education: Kharkiv State Academy of Design and Art Speciality: Interior Design 2016-2018

Skills: Graphic design: - Conceptualize visuals based on requirements - Creating graphics and layouts for corporate website, landing pages, social media - Ensuring final graphics are visually appealing and on-brand - Creating presentation decks - Working with design software (Adobe Photoshop, Illustrator, Indesign, XD, Microsoft Powerpoint) - Keen eye for aesthetics and details

WebUI designer: - UI/UX Design (web, mobile) - Ease of Use Principles in Website Design - Understanding site meaning - Accents and hierarchy in design - Typography, composition, coloristics - Prototyping - Create icons, banners, illustrations - Responsive design - Printing design - iOS and Android UI design guidelines - Decoration for Behance platform - Freehand drawing, painting

Qualities: - Aesthetic and artistic taste - Perfectionism - Perseverance - Attention to details - Creativity - Analytical and logical thinking

About me: Graphic and Web designer focused on learning and gaining experience with a responsible, aesthetic approach. Understanding of web design and visual trends. Quick learner, interested in self-development and passionate about this field."
153,"To always be the best, you must always learn, and I like that. A confirmation of my high level of performance and reliability is the set of recommendations from my customers.
Great experience - more than 12 years, and more than 2000 projects (from small to large). My customers include: Unilever, Lipton, DHL, Hyundai, Genesis, KNORR, McDonald's, SKYTOLL, KUKA, METRO C&C, Luxury Lifestyle, Sanofi Aventis, Coldwell Banker, TABASCO, RosAtom, GLONASS, DodoPizza, Sodexo, Faberlic, Rostelecom, HELLMANN'S, YUKO, Urenholt, Calve, Dove, SELGROSS, Baltimor, Zott, Hyson, TruckMotors, McCain, CARTE D'OR and many others.

Range of tasks: UX/UI, webdesign, illustrations and infographics, printing, package, identity.

In work I use mainly:
- Adobe Photoshop;
- Adobe Illustraror;
- Design Indesign;
- Very high artistic level of drawing by hand.
And other tools.
Interested in working on large and complex projects. Especially if there is freedom for creative ideas, brainstorm and the search for the best solutions."
154,"My аchievements:

OVERDOSE.
· Designed the community.overdose.digital website from scratch
· Developed the Overdose Tech Club Instagram design concept from scratch, resulting in +30% new followers
· Overdose.UA Instagram's new design strategy increased views of posts and stories by 60%, resulting in a 25% audience engagement boost

PROSVIRIN DESIGN
· Instagram design improvements raised views of posts and stories by 50%, and unique visitors by 35%
· Presentation design for a new commercial promotion increased potential audience of customers from the USA, Germany, and Dubai by 40%

Enthusiastic and creative designer with 3+ years in graphic design and 2+ years in UI/UX design. Proficient at creating engaging designs and developing visual solutions for communication challenges. Aspire to be part of a friendly and professional team to develop a corporate identity and improve graphic communication between the company and customers."
155,"Professional skills: 
- Freehand drawing: over 15 years
- Adobe Photoshop
- Adobe Illustrator
- Corel Draw
- UI/UX design: Figma, InVision
- Basic skills in Zeplin, Wordpress, Tilda, Adobe Premiere

Responsibilities:
- Created more than 5000 creatives
- Collaborated effectively with team members
- Open to acquiring new experience and skills
- Proficient in composition and color theory
- Skilled in working with briefs and developing personal concepts
- Ability to quickly process information
- Strong attention to detail and requirements
- Demonstrated sense of taste and style

Experience:
- 5+ years in graphic design, 1 year in UI/UX
1. Designer-freelancer at Upwork from 09.2016 – present
- Developed corporate identity designs including logos, business cards, and banners
- Successfully managed complex tasks and communicated with clients in English

2. Designer-engraver at Planet of Gold from 04.2019 to 01.2021
- Created social media content, advertisements, and prepress materials
- Designed layouts for laser engraving on jewelry and conducted retouching tasks

3. Advertising content designer at CONCEPTA (Kyiv remotely) from 06.2021 to 03.2022
- Produced advertising creatives and content for e-commerce and natural cosmetics brands on platforms such as Facebook, Instagram, Amazon, and Google
- Enhanced visual materials, conducted photo retouching, and developed design elements for company websites, landing pages, and advertisements

Recommendations available upon request. Seeking a graphic design role focused on branding or social media content with a desire to further develop skills and expertise in UI/UX design."
156,"Upwork as a GRAPHIC and Brand identity designer - June 2022 to present

- Responsible for creating marketing materials for YouTube including banners, logos, and watermarks
- Developed logos for clients in the USA
- Designed packaging for clients in the Netherlands and the USA
- Created label designs for Dutch craft beer
- Executed projects on brand formation, brand development, and marketing materials for the web and print

Citrus - Odessa as a Graphic designer - September 2021 to February 2022

- Designed layouts for household and computer equipment promotions on the website and outdoor advertising
- Created printed materials to support corporate style
- Adapted layouts for brands such as Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI to Citrus corporate identity
- Adapted banners for social networks, Google advertising, and mass media
- Prepared printed materials using Corel Draw

Upwork as a GRAPHIC designer - February 2021 to September 2021

- Collaborated with clients from the Netherlands and the USA
- Designed labels for beer products
- Created advertising banners for Instagram, Facebook, and Google
- Developed a brand book for a private clinic in Gayvoron (Ukraine)
- Designed a logo for a music equipment supplier in Lozova (Ukraine)
- Designed beer product labels in Folsgare (Netherlands) and stickers for Telegram in AI and Corel Draw."
157,"UI/UX Designer with 3 years of experience in creating clear and intuitive designs to enhance user experience and engagement. Specialize in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration. Experience includes working as an independent designer creating websites for small and medium-sized businesses, as well as a UI/UX Designer at Comportal where I created landing pages for small and medium-sized businesses. Also worked as a Freelance Graphic Designer at Resource Group and as a Graphic Designer at Liga.net, developing marketing materials to increase audience reach, trust, and loyalty through print layouts, banners, and collages. Collaborated with development teams, marketers, and project managers to ensure seamless and high-quality project completion."
158,"At my last job, I grew from a junior specialist to an average specialist in 8 months and then became an HR manager in a team of 65 people. I worked as a photographer and graphic designer for 3 years in a large team of about 600 people. I graduated from university with a degree in Computer Technology and studied programming. I am currently finishing my UX/UI courses and have a strong understanding of psychology, making it easy for me to empathize with others. I am a reliable, responsible, and creative individual with a desire to contribute to a team environment."
159,"I have been working as a UX/UI & Graphic Designer as a freelancer since June 2022. Here are the projects and tasks I have worked on:

- Redesigned the website for Azerinshaat Service LLC, resulting in a 40% decrease in bounce rate and a 50% improvement in load speed on mobile devices.
- Designed the app interface for Yarat Contemporary Art Space, including user flow, UI kit, and visual design prototypes.
- Redesigned the website for City Net Internet Service Company, increasing annual revenue by 34% and user response by 20% through user research methodologies and data-driven design.
- Designed a Landing Page for Poligal-Vostok, The Secret Garden Flower Shop.
- Designed the E-commerce Website for Buta Art & Sweets Online Cooking Course and Social Entrepreneur.
- Designing a portfolio website for a social entrepreneur whose sales have doubled.
- Branding for a Romashka Flower Shop
- Literary Magazine Branding (& app/website design)

I utilized graphic design software like Adobe Photoshop, Adobe Illustrator, and Sketch for creating design layouts and visual elements. I also used prototyping and design systems tools such as Figma, InVision, and Adobe XD. Additionally, I employed user research techniques such as surveys, interviews, and data analytics.

Currently, as a freelancer, I work independently, interacting with clients to understand their requirements and delivering the desired results.

In terms of my future development, I aim to expand my skills by learning new technologies and tools. I also plan to deepen my expertise in UX research and delve into user data analytics. Furthermore, I aspire to take on more challenging projects and collaborate with diverse teams to enhance my professional growth."
