,Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini
135,"**Ann [Last Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile or Portfolio URL]

---

**PROFESSIONAL SUMMARY**  
Passionate graphic designer with over 4 years of experience creating effective designs for diverse brands, both large and small. Proven ability to generate innovative ideas quickly and efficiently, contributing to brand growth and development.

---

**SKILLS**  
- Brand identity and logo design  
- Presentation design  
- Infographic creation  
- Layout design  
- Print materials design (menus, business cards, flyers, brochures, stickers)  
- Web marketing materials  
- UI/UX design basics  
- Web Design (Projector)  
- Strong attention to detail  
- Empathy in understanding client needs  

---

**PROFESSIONAL EXPERIENCE**  

**In-House Graphic Designer**  
[Company Name], [City, State] | [Start Date] – Present  
- Created brand communication materials that support business objectives.  
- Developed innovative design solutions across various media, enhancing brand visibility.  
- Collaborated with teams to design presentations for branding and marketing courses.  
- Designed promotional materials, including menus, business cards, and brochures.  

**Freelance Designer**  
[Self-Employed], [City, State] | [Start Date] – Present  
- Designed media kits for bloggers, logos, and song covers for musicians.  
- Developed websites for creative agencies, including landing pages and multi-page sites.  
- Created email newsletters and other marketing materials that engage audiences.  

---

**EDUCATION**  
Web Design, Projector  
[Year of Graduation]  

**Graphic Design Background**  
[Education Institution], [City, State]  
[Year of Graduation]  

---

**REFERENCES**  
Available upon request."
136,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

**PROFESSIONAL SUMMARY**  
Innovative Graphic and UI/UX designer with a passion for creating engaging designs and practical solutions. Proven experience in application design, branding, and social media advertising, coupled with a strong understanding of design principles and user-centric approaches.

**PROFESSIONAL EXPERIENCE**  

**Graphic and UI/UX Designer**  
*Lomogram App*  
2012 - 2013  
- Designed the Lomogram app, a top 5 photography app on the Windows Phone Store with 20M downloads.  
- Conducted research to identify design trends and user preferences, ensuring the creation of appealing and functional interfaces.  

**Plarium**  
*Game Company*  
[Dates of Employment]  
- Produced competitive design advertisements for various gaming products.  
- Created 2D banners and animations for social media resources, enhancing product visibility and user engagement.  

**Grls Gang**  
*Nail Company*  
[Dates of Employment]  
- Developed branding identity, advertisements, and consumer connections for the company.  
- Designed social media materials, advertisements, and printed materials, contributing to brand recognition and user interaction.  
- Engaged in freelance projects to expand design experience and skills.  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

**SKILLS**  
- Proficient in layouts, typography, and illustrations.  
- Strong understanding of color, shape, and composition.  
- Experienced in creating design objects natively and maintaining deadlines.  
- Continuous learner attentive to new industry developments.  

**PORTFOLIO**  
Available upon request or at [Your Portfolio Link]."
137,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]  

**Objective**  
Dedicated graphic and UX/UI designer with a strong background in B2B sales projects and freelance design, seeking a stable position in an outsource or product company. Open to remote opportunities and part-time or project-based work.

**Education**  
Beetrot Academy  
UX/UI Design Course (December 2020)  
- Completed a 6-month intensive program.  
- Developed a diploma project for an online car lights shop, including research, technical requirements, mind mapping, user personas, user flows, wireframes, and final design.

American English Center, Kharkiv  
- Completed courses, achieving B2 level proficiency in English. Able to communicate effectively.

**Experience**  

Freelance UI Designer  
- Collaborated with a classmate on a B2B sales project (NDA).  
- Designed 6 pages with 30 blocks, 11 registration forms, and a UI Kit.  
- Developed desktop version, adaptive design, and 40 email templates. The project is currently active.

Graphic Designer  
- Over 5 years of experience in graphic design, including creating POS materials, magazine and newspaper layouts, identity, branding, and music posters.  
- Produced approximately 6 kilograms of printed materials.

**Skills**  
- Graphic Design: POS materials, branding, and print production.  
- UX/UI Design: Research, wireframing, user flows, and final designs.  
- Communication: Fluent in English (B2 level).  
- Adaptability: Open to freelance, part-time, and project-based opportunities.

**Interests**  
- Seeking to combine graphic design and UX/UI design responsibilities in future roles.  
- Interested in both remote and local opportunities in Kharkiv."
138,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile/Portfolio URL]

---

**Professional Summary**  
Experienced marketing professional with over 7 years in Graphic Design and more than 4 years in UI/UX Design. Skilled in creating user-friendly interfaces and visual communications that enhance user experience and engagement. Committed to delivering high-quality designs that meet client and business objectives.

---

**Work Experience**

**Middle Graphic Design Specialist**  
SupportYourApp | Full-time  
Feb 2022 - Feb 2023  
- Designed branding for SupportYourApp's social media platforms, including illustrations, photo edits, email campaigns, and award plates.
- Collaborated with cross-functional teams to ensure designs aligned with business goals.
- Developed innovative solutions to complex design challenges across various media formats including web, social media, print, and video.

**UI/UX Middle Designer**  
TEMABIT Software Development | Full-time  
Mar 2020 - Feb 2022  
- Developed, designed, and prototyped mobile applications for major hypermarkets in Ukraine including FOZZY Group and Fora.
- Led design projects for Justin delivery service, enhancing user retention by 20% through user-friendly UI/UX design.
- Facilitated successful photo shoots for product collections and created comprehensive style guides to standardize branding across materials.

**UI/UX Junior Designer, Middle Graphic Designer**  
Skywell Software  
Jun 2018 - Mar 2020  
- Engaged in prototyping websites and adaptive design development; contributed to the creation of the company's brand book.
- Developed marketing materials such as brochures, flyers, and presentations, leading to improved customer engagement.
- Analyzed market trends and competitor strategies to inform decisions and optimize marketing efforts.

---

**Skills**
- Proficient in Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop.
- Extensive experience in branding, visual communication, UI/UX design, and marketing strategy.
- Strong ability to create media products including magazines, labels, advertising, and signage.

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**References Available Upon Request**  "
139,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Objective**  
Seeking a position as a UI/UX designer that aligns with my skills and interests, offering opportunities for professional growth, collaborative teamwork, and engagement with exciting projects.

**Experience**  

**UI/UX Designer**  
[Your Company Name, if applicable]  
[Location/Remote]  
[Dates]  
- Contributed significantly to the team project ""LifeLandscape,"" a web service for landscape design. Collaborated closely with UX designers to ensure the integration of design elements, focusing on user-centric design principles.  
- Conducted user research and analyzed feedback to create intuitive and visually appealing user interfaces, enhancing overall user experience.  
- Implemented responsive design principles for the web service, ensuring accessibility across various devices and screen sizes.  

**Graphic Designer**  
[Your Company Name]  
[Location]  
2016 - 2022  
- Specialized in the development and execution of visual design projects, including logos, corporate identities, advertising materials, and other graphic solutions.  

**UI/UX Projects**  
- Redesigned the website for a tattoo studio in Destin, Florida, focusing on creating a visually appealing and user-friendly experience. Conducted audience research to inform design decisions, leading to a modern and engaging interface.  
- Developed a design system for team projects, ensuring consistency and coherence across design elements.

**Education**  
[Your Degree]  
[Your University]  
[Location]  
[Year of Graduation]  

**Skills**  
- UI/UX Design  
- Graphic Design  
- User Research and Analysis  
- Responsive Design  
- Team Collaboration  
- Visual Communication  
- Proficient in [Design Tools/Software]  

**Professional Interests**  
- Seeking opportunities for career advancement and professional development within the UI/UX field.  
- Interested in engaging in diverse projects, contributing to high-quality design and excellent user experiences.  
- Open to flexible work arrangements that support a balance between work and personal commitments.  "
140,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**  
Dynamic graphic and UI/UX designer with 4 years of experience and a strong portfolio showcasing demonstrable design skills. Possesses excellent communication abilities, enabling the effective delivery of polished presentations to both clients and internal teams. Detail-oriented with strong documentation skills and a robust understanding of web design principles, typography, color theory, and page layouts. Adept in analytical assessment of application performance and trends to provide actionable insights and recommendations.

---

**SKILLS**  
- Graphic design  
- UI/UX design  
- Strong attention to detail  
- Excellent documentation  
- Analytical skills  
- Industry-standard design software (Photoshop, Illustrator, Adobe XD, Figma)  
- Creative problem-solving  
- Strong verbal and written communication  
- People skills  
- Ability to work in dynamic environments  

---

**PROFESSIONAL EXPERIENCE**  

**Freelance Graphic and UI/UX Designer**  
[Month, Year] - [Month, Year]  
- Created logos and social media posts for brand pages and developed engaging landing pages.  
- Collaborated with clients to gather requirements and translate concepts into visual designs.  

**Graphic Designer at [Typography Company Name]**  
[Month, Year] - [Month, Year]  
- Prepared designs for print and developed merchandise for various brands.  
- Worked on several brand identities and strategies, including a notable project for a furniture store with the branding agency ""onO"" Nova Market.  

---

**DESIGN PROCESS**  
- Gather requirements and create user stories.  
- Conduct user research to inform design decisions.  
- Develop intuitive and engaging visual designs that effectively communicate brand identity.  

---

**PROFESSIONAL INTEREST**  
Committed to creating impactful brand identities and websites that resonate with audiences. Enjoys the creative process involved in design and thrives under deadlines to deliver timely and effective solutions.  

---  

**EDUCATION**  
[Your Degree]  
[Your Major]  
[Your University]  
[Graduation Year]"
141,"Svitlana  
Graphic & Web Designer  
8+ years of experience  

Professional Experience:  
Currently working at Libertex Group, an international financial services group specializing in online trading and investment.  

Graphic Design: 8+ years  
UI/UX Design: 2+ years  

Skills:  
- Designing advertising materials (web banners, social media creatives)  
- Creating UI interfaces, including elements and layouts, style guides, icons  
- Presentation design (digital, print)  
- Preparing design drafts and mock-ups  
- Preparing design for offline exhibitions  
- Designing illustrations  
- Designing educational materials  
- Creating brand books and pitch decks  
- Infographic design  
- Print design  
- Logo design  

Tools:  
- Figma  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe XD  
- Adobe InDesign  
- Sketch  
- Principle  
- Jira, Trello, Asana  

Project Areas:  
- FinTech  
- Trading  
- Investing  
- Marketing  
- Cryptocurrencies  
- Blockchain  

Profile:  
I am passionate about design, ambitious about personal growth, and a deadline-driven creative. I clearly understand a brief and implement what needs to be achieved and more. I work well as part of a team or as an individual.  

I have strong self-management skills, an analytic mindset, good collaboration skills, and an understanding of users' thoughts and feelings as well as clients' goals and needs.  

Seeking:  
Full-time remote position."
142,"**Resume**

**Graphic Design Specialist & Social Media Manager**  
**LG Electronics**  

**Awards**  
- The Most Innovative Employee of the Year (2019)  

**Experience**  

**Advertising Campaigns**  
- Developed visual concepts for advertising campaigns across various platforms, including partner websites, mobile search, and social media.  
- Collaborated with sales and product marketing teams to ensure cohesive messaging.  
- Produced visuals for campaigns.  
- Conducted resizing of approximately 170 visual assets.  

**Production of Printed Materials**  
- Created and adapted printed materials such as OOH, catalogues, leaflets, business cards, postcards, stickers, banners, and rollups for all product categories.  
- Developed Point of Sale Materials (POSM) including toppers, stickers, banners, and posters.  
- Prepared materials for print production.  

**LG Website**  
- Produced and adapted banners for all product categories on the website.  
- Assisted in transitioning to a new visual concept for the website in 2020.  
- Created and adapted materials for product cards.  

**Social Media Management**  
- Served as a reference for the annual strategy, overseeing approval and control throughout the year.  
- Prepared monthly content plans with situational adjustments as needed.  
- Produced approximately half of the materials for publication.  
- Managed relationships with a digital agency.  
- Approved visuals and copyrights for social media posts.  
- Facilitated communication between the agency and product managers.  
- Presented weekly reports on key indicators, competitor analysis, activity results, and upcoming visuals and copyrights.  
- Designed social media assets, including profile headers, thumbnails, covers, and guides for Instagram and Facebook Shop.  
- Curated competitions on social platforms.  "
143,"Anastasia  
Graphic Designer  
[Your Contact Information]  

---

**Profile**  
Creative and detail-oriented graphic designer from Ukraine, specializing in branding and web development. Co-founder of Otrazhenie, a design studio focused on delivering high-quality design solutions without any advertisement. Passionate about helping clients effectively promote and communicate their brands.

---

**Experience**  

**Co-Founder, Otrazhenie**  
[Year Started] – Present  
- Developed branding for companies across various sectors, including fashion, architecture, education, HoReCa, financial services, and industrial markets.
- Created and established unique visual design styles for personal, product, and corporate brands, integrating logos, slogans, typography, colors, illustrations, and photographic elements to differentiate clients from competitors.
- Led website development projects, focusing on user-first interfaces aligned with business objectives. Created adaptive layouts in Figma and managed the workflow with developers.
- Provided expert recommendations and consultations to clients on suitable graphic design strategies to meet their marketing goals.
- Assisted organizations in enhancing their promotional communication through the design of postcards, flyers, posters, billboards, infographics, brochures (both print and digital), vehicle wraps, email marketing templates, social media advertisements, banners, graphics, and website images.
- Oversaw the design, development, and implementation of graphic communication materials, ensuring high-quality output.
- Delegated tasks to a three-member design team and offered guidance on all project aspects.
- Managed the production of printed materials from layout creation to delivery of the finished product.
- Designed engaging presentations that effectively express clients' core messages to their target audience.
- Produced photography and video content to create unique illustrations for various business applications.

---

**Portfolio**  
Available at Behance – besdna  

--- 

**Interests**  
Seeking opportunities to collaborate with open-minded individuals and pursue innovative and creative projects."
144,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Website]  

---

**Professional Summary**  
Creative and passionate graphic designer with over four years of experience in visual communication. Proven ability to develop impactful designs for diverse campaigns, enhancing brand visibility and engagement.

---

**Experience**  

**Graphic Designer**  
[University Name]  
[City, State]  
[Month, Year] – Present  
- Provided graphic support for extensive information campaigns, producing hundreds of banners, flyers, greeting cards, presentations, and infographics for both electronic and print media.  
- Played a pivotal role in the national celebration of the university's 100th anniversary by adapting the logo, designing branded products, and creating presentation materials for the rector, including postage stamps.  
- Contributed to the annual admissions campaign by developing a comprehensive media plan and designing various printed products, banners for the website and social networks, and billboards.  
- Achieved significant outreach, with 73% of applicants indicating they learned about the university through social media and the official website.  
- Facilitated international partnerships through impactful presentations at international conferences, including a noteworthy event in Budapest.

**Freelance Graphic Designer**  
[Beauty School Name]  
[Location]  
[Month, Year] – [Month, Year]  
- Designed social media materials, packaging, and educational content, including diagrams and step-by-step instructions, enhancing the overall learning experience for students.

---

**Achievements**  
- Winner of the ""Nanoscience as Art"" contest at the IEEE NAP-2021 conference for the work ""Invisible Orchid,"" an art piece derived from scanning electron microscope imagery of calcium carbonate powder.  
- Conducted SEM investigations of the powder through the PROM Program ""International Scholarship Exchange of PhD Candidates and Academic Staff"" at Lodz University of Technology.

---

**Skills**  
- Logo and brand design  
- Presentation design  
- Print material design  
- Graphic preparation, mockups, and technical design  
- Photography editing and manipulation  

--- 

**Education**  
[Degree] in [Field of Study]  
[University Name], [City, State]  
[Year of Graduation]  

--- 

**References available upon request**"
145,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Website (if applicable)]  

**Professional Summary**  
Skilled Graphic Designer with 2 years of professional experience in the field. Proven expertise in using industry-standard design software, including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma. Demonstrated ability to create visually appealing designs through a keen eye for detail and a passion for innovative solutions.

**Experience**  

**Graphic Designer**  
[Your Company Name] – [Location]  
[Month, Year] – Present  
- Developed a captivating brand identity for a startup.  
- Executed successful marketing campaigns with engaging visuals.  
- Managed multiple projects, consistently meeting deadlines and exceeding expectations.  
- Gained recognition for attention to detail and creativity in design work.  

**Skills**  
- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma.  
- Strong understanding of graphic design principles and industry trends.  
- Adept at translating client requirements into compelling visual solutions.  
- Experienced in delivering high-quality designs ranging from branding and marketing materials to digital illustrations and layout designs.  

**Objective**  
Eager to bring skills and experience to new opportunities in a creative and collaborative environment that values contributions and offers professional growth. Looking forward to diverse projects that showcase my expertise while staying updated with emerging design trends.  

*Note: Prefer to avoid monotonous tasks, unclear direction, and excessive administrative work. Aim to be part of a dynamic team fostering a positive work environment.*"
146,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

**Professional Summary**  
Design professional with expertise in branding, web design, and print media. Proven track record of adapting design approaches to meet diverse client needs across various industries. Combines technical skills with a strong understanding of visual aesthetics to deliver compelling and effective design solutions.

**Experience**  

**[Your Job Title]**  
**[Your Company Name]** - [City, State]  
**[Month, Year] – Present**  
- Managed multiple design projects from concept to completion while collaborating closely with clients and cross-functional teams.
- Ensured timely delivery of high-quality designs within strict deadlines.
- Developed strong client relationships through effective communication and presentation of design concepts, resulting in repeat business and positive feedback.

**[Previous Job Title]**  
**[Previous Company Name]** - [City, State]  
**[Month, Year] – [Month, Year]**  
- Collaborated with a variety of clients to understand their design needs and objectives, delivering customized design solutions.
- Employed technical design skills and a keen aesthetic sense to produce visually engaging designs.

**Skills**  
- Proficient in Adobe Creative Suite, Blender, and Figma.  
- Strong knowledge of current design trends and techniques.  
- Effective communicator with a talent for presenting design concepts.  

**Education**  
**[Your Degree]**  
**[Your University]** - [City, State]  
**[Month, Year]**  "
147,"Completed Drawing Courses:  
- ArtCraft Education LLP – Online Course Game Graphics (2021)  
- ArtCraft Education LLP – Online Course Anatomy (2020)  
- ArtCraft Education LLP – Online Course Digital Drawing (2019)  
- IT School “Advanced Graphic Design” Course (Adobe Photoshop, Adobe Illustrator) (2017)  

**Professional Experience:**  
UI/UX Designer and 2D Graphic Designer  
4 years of experience in digital design.  

**Responsibilities:**  
- Creation of icons, logos, and layouts of various degrees of complexity.  
- Designing marketing materials including press-wall illustrations, banners, notebooks, and social media posts.  
- Working with UI/UX design for websites and mobile applications (iOS/Android).  
- Creation of workflow diagrams.  
- Preparing templates for presentations, portfolios, and backgrounds for mobile games.  

**Skills:**  
- Proficient in Adobe Photoshop and Adobe Illustrator.  
- Knowledge of basic rules and principles of drawing and painting in CG (light, shadow, tone, color, perspective, anatomy, etc.).  
- Hand-drawing skills using Wacom Intuos 4 Digital Tablet.  
- Familiar with Sketch, Figma, inVision, Abstract, and Craft plugin.  
- Experience in communication with international clients via email and calls.  "
148,"**[Your Name]**

[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**  
Dynamic professional with experience in launching products and brands across the U.S., U.K., and European markets. Proven ability to resolve conflicts and manage teams effectively.

---

**EDUCATION**  
Bachelor of Fine Arts in Graphic Design  

---

**EXPERIENCE**  

**SMM Agency**  
[Your Job Title]  
[Month, Year] - Present  

- Contributed to branding and marketing strategies within the agency.  

**Outsource Design Studio**  
[Your Job Title]  
[Month, Year] - [Month, Year]  

- Managed design projects and collaborated with clients to meet their vision.  

**Long-Term Product Work**  
[Your Job Title]  
[Month, Year] - [Month, Year]  

- Developed and sustained product strategies focusing on market needs and consumer behavior.  

---

**SKILLS**  

- **Multidisciplinarity:** Expertise in creating and implementing brand strategies with strong skills in research, analysis, and structuring.  
- **High-Quality Management:** Exceptional team management and communication skills, fostering constructive dialogue and conflict resolution within teams.  
- **Marketing & Search:** Experience in interviewing employees, targeting customers, and developing questionnaires and polls for marketing objectives.  
- **Teaching Background:** Strong ability to conduct internal lectures and create educational materials for colleagues.  

---

**PROFESSIONAL VALUES**  
Committed to establishing a trusting relationship with your company, maintaining a healthy work-life balance, and promoting growth and development.  "
149,"I am a highly skilled graphic and web designer with over ten years of experience in the industry. My passion lies in creating modern, visually appealing designs. I specialize in the design of web and mobile applications and have extensive experience in logo design and corporate identity. I combine my experience with the latest design trends and technologies to deliver high-quality and impactful solutions.

PROFESSIONAL EXPERIENCE:

UI/UX Designer | May 2019 - October 2022  
Collaborated remotely as a team member, contributing to the design process for various B2B projects. Designed and optimized corporate websites, dashboards, and mobile app interfaces using Figma as the primary design tool.

UI/UX and Graphic Designer | November 2015 - June 2019  
Played a pivotal role in a Canadian real estate startup, leading the design of websites and mobile interfaces. Leveraged a combination of Photoshop and Figma to create captivating visuals and seamless user interactions. Additionally, managed brand support by developing printed promotional materials for presentations and international trade shows.

Web Designer | February 2012 - March 2019  
Worked within an Israeli digital agency, focusing on internal projects and delivering high-quality designs for diverse clients. Collaborated with a team of three designers to create designs, including contributing to the website design for fashion design software. Employed Sketch, Figma, and Photoshop to execute these projects effectively.

I am actively seeking remote positions that offer exciting projects and opportunities for skill development. I thrive in team-oriented environments, where I can contribute my skills and collaborate with others to achieve exceptional results."
150,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Multidisciplinary designer with approximately 6 years as a graphic designer, experienced in collaborating with over 50 clients across diverse projects. As a UX/UI designer, I focus on enhancing product usability and user experience. Currently, I have successfully completed several e-commerce projects and continue to provide graphic and web design support.

**Experience**  

**Web Applications Development**  
- Created web applications from scratch.  
- Completed various web e-commerce projects independently.  

**Teaching Experience**  
- Provided guidance and support to junior designers, enhancing their skills and knowledge.  

**Collaboration and Teamwork**  
- Worked effectively both individually and within teams, fostering a constructive and communicative work environment.  

**Skills**  
- Graphic Design  
- UX/UI Design  
- Web Design  
- E-commerce Project Management  
- Team Collaboration  
- Communication  
- Problem-solving  

**Personal Attributes**  
- Creative  
- Result-oriented  
- Eager learner  

**Career Objective**  
Seeking opportunities to work alongside senior designers or art directors in a collaborative team environment to combine skills and create exceptional designs."
151,"Hello! I am a graphic designer and professional logo and branding designer with over 7 years of experience. I am passionate about my work and eager to share my inspiration and expertise with your brand, ensuring it is clear, recognizable, and modern.

**What I do:**

- Logo design
- Corporate identity and branding, including business cards
- Presentation design
- Web and mobile application UI/UX design
- Label design
- E-mailer/newsletter design
- Graphics for social networks
- Iconography

**My solid professional experience with software and skills:**

- Adobe Illustrator CC
- Adobe Photoshop CC
- Figma
- Adobe XD
- Marvelapp
- Prezi
- PowerPoint
- Google Slides
- Canva
- GIMP
- Inkscape
- Web design
- Print design
- Logo design
- Illustration
- Digital illustration

I look forward to contributing my skills and experience. Please check my portfolio!

I am available 7 days a week. Daily project updates will be provided, and I always meet project deadlines."
152,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Graphic and Web designer with a strong willingness to learn and gain experience. Approaches work responsibly and with aesthetic taste, understanding web design and visual trends. Quick to learn and passionate about self-development in the field.

**Education**  
Kharkiv State Academy of Design and Art  
Specialty: Interior Design  
2016 - 2018  

**Professional Development**  
Completed the course ""Web Design"" at Lemon School.  
Enhanced skills by completing the course ""Graphic Design"" and began working in this area.  

**Skills**  

*Graphic Design*  
- Conceptualize visuals based on requirements  
- Create a wide range of graphics and layouts for corporate websites, landing pages, and social media  
- Ensure final graphics and layouts are visually appealing and on-brand  
- Create presentation decks  
- Proficient in design software and technologies including Adobe Photoshop, Illustrator, InDesign, XD, and Microsoft PowerPoint  
- Possess a keen eye for aesthetics and details  

*WebUI Design*  
- UI / UX Design (web, mobile)  
- Apply ease of use principles in website design  
- Understand site purpose and user needs  
- Implement accents and hierarchy in design  
- Knowledge of typography, composition, and color theory  
- Work with modular grids  
- Prototyping capabilities  
- Create icons, banners, and illustrations  
- Design responsive interfaces  
- Engage in print design  
- Utilize iOS and Android UI design guidelines for mobile app interfaces  
- Present works on the design platform Behance  
- Skilled in freehand drawing and painting  

**Qualities**  
- Developed aesthetic and artistic taste  
- Perfectionism  
- Perseverance  
- Attention to detail  
- Creativity  
- Analytical and logical thinking  "
153,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Professional Summary**  
Dedicated and experienced designer with over 12 years in the industry and a successful track record of completing more than 2000 projects, ranging from small to large-scale initiatives. Known for high performance and reliability, as evidenced by recommendations from clients.

**Clients**  
Unilever, Lipton, DHL, Hyundai, Genesis, KNORR, McDonald's, SKYTOLL, KUKA, METRO C&C, Luxury Lifestyle, Sanofi Aventis, Coldwell Banker, TABASCO, RosAtom, GLONASS, DodoPizza, Sodexo, Faberlic, Rostelecom, HELLMANN'S, YUKO, Urenholt, Calve, Dove, SELGROSS, Baltimor, Zott, Hyson, TruckMotors, McCain, CARTE D'OR, and many others.

**Areas of Expertise**  
- UX/UI Design  
- Web Design  
- Illustrations and Infographics  
- Print Design  
- Packaging Design  
- Brand Identity  

**Technical Skills**  
- Adobe Photoshop  
- Adobe Illustrator  
- Adobe InDesign  
- High-level hand-drawing skills  
- Proficient in various design tools  

**Professional Interests**  
Enthusiastic about working on large and complex projects, particularly those that allow for creative exploration, brainstorming, and the pursuit of innovative solutions."
154,"My Achievements:

OVERDOSE
- Designed the community.overdose.digital website from scratch
- Developed the Overdose Tech Club Instagram design concept from scratch, resulting in a 30% increase in new followers
- Implemented a new design strategy for Overdose.UA Instagram, increasing views of posts and stories by 60% and boosting audience engagement by 25%

PROSVIRIN DESIGN
- Enhanced Instagram design, resulting in a 50% increase in views of posts and stories and a 35% rise in unique visitors
- Created presentation design for a new commercial promotion, increasing potential audience reach by 40% in the USA, Germany, and Dubai

Summary:
Enthusiastic and creative designer with over 3 years of experience in graphic design and 2 years in UI/UX design. Proven track record of developing engaging designs and visual solutions to communication challenges. Eager to contribute to a friendly and professional team to enhance corporate identity and improve graphic communication with customers."
155,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**  
Dedicated graphic designer with over 5 years of experience in graphic design and 1 year in UI/UX, specializing in branding, social media content, and visual communication. Strong background in creating compelling creatives and a passion for continuous learning and professional growth.

---

**Professional Skills**  
- Freehand drawing - over 15 years  
- Adobe Photoshop  
- Adobe Illustrator  
- Corel Draw  
- UI/UX – Figma, InVision  
- Basic skills in Zeplin, WordPress, Tilda, Adobe Premiere  

---

**Core Competencies**  
- Created over 5000 unique creatives  
- Effective team player  
- Eager to acquire new experiences and skills  
- Strong understanding of composition and color theory  
- Ability to work independently and with briefs  
- Quick information processing  
- Detail-oriented, attentive to requirements  
- Strong sense of taste and style  

---

**Experience**  

**Designer-Freelancer**  
*09.2016 – Present | Upwork*  
- Developed graphic designs for corporate identity including logos, business cards, and banners.  
- Successfully solved complex tasks while understanding and communicating with clients in a foreign language.  

**Designer-Engraver**  
*04.2019 – 01.2021 | Planet of Gold*  
- Managed social media content and advertising.  
- Created prepress files and designs for laser engraving on jewelry.  
- Performed retouching and ensured high-quality visual outputs.  

**Advertising Content Designer**  
*06.2021 – 03.2022 | CONCEPTA (Remote, Kyiv)*  
- Worked on e-commerce projects, focusing on natural cosmetics brands.  
- Created advertising creatives, content, and POS materials for various brands.  
- Improved existing visual materials through photo retouching and motion design.  
- Developed banners, landing pages, and ads to enhance brand visibility across platforms like Facebook, Instagram, Amazon, and Google.  

---

**Recommendations**  
Available upon request.  

---

**Objective**  
Seeking to leverage my graphic design skills in branding and social media content while further developing my expertise in UI/UX, with a balanced focus on both areas."
