,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
223,"[Your Name]
[Phone Number] | [Email Address] | [City, State] | [Portfolio URL] | [LinkedIn URL]

**Junior UX/UI Designer**

A detail-oriented and creative Junior UX/UI Designer with a background in digital marketing and a unique perspective shaped by professional athletics. Combines foundational design skills with a passion for crafting intuitive user interfaces that enhance experience and drive results. Eager to contribute to a collaborative team and grow through challenging projects in a supportive environment.

**Education**

**Digital Marketing Professional Certificate**
University of Miami | [City, State] | [Year]

**Bachelor of Science in Hospitality and Tourism Management, Minor in International Relations**
Florida International University | [City, State] | [Year]

**Skills**

*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop
*   **Core Competencies:** User Interface (UI) Design, User Experience (UX) Principles, Creative Problem Solving, Attention to Detail, Project Delivery

**Professional Experience**

**Junior UX/UI Designer** | [Freelance/Self-Employed]
[City, State] | [Start Date] – Present

*   Specialize in crafting intuitive user interfaces aimed at maximizing user experience and improving results.
*   Develop and execute design projects from concept to completion, commended for creativity and meticulous attention to detail.
*   Consistently deliver projects adhering to high standards of quality to provide an unparalleled design experience.
*   **Select Portfolio Projects:**
    *   Designed a web service for the private medical clinic VitalMed.
    *   Redesigned a website for a tattoo salon.
    *   Created a landing page for the Citroën C4.

**Additional Background**

**Professional Athlete**, Ukrainian National Team | [Years of Involvement]
*   Developed discipline, teamwork, and a performance-driven mindset through high-level international competition.

**Objective**

Seeking a junior UX/UI designer role within a supportive team environment that offers challenging projects involving problem-solving, research, and creative thinking. Aim to contribute to the broader success of the team while having the freedom to explore new ideas and continuously develop skills, with the goal of becoming a strong designer who creates meaningful user experiences."
224,"**Professional Summary**
A detail-oriented web designer with experience creating visual elements for websites and marketing materials. Skilled in collaborating with development teams to translate concepts into functional designs and enhance digital brand presence.

**Professional Experience**
Junior Web Designer | [Company Name, Warehousing Software Provider] | [Dates of Employment]
*   Designed and implemented the company website from initial concept to finished pages, maintaining design control throughout the lifecycle.
*   Created wireframes, mockups, and prototypes to effectively communicate design concepts and user experience ideas.
*   Produced a range of marketing materials including social media graphics, YouTube video previews, and thumbnails.
*   Recorded and produced tutorial videos demonstrating product functionality for the company's YouTube channel.
*   Collaborated closely with developers and testers to ensure design integrity and project alignment.

**Skills & Tools**
*   Web & Graphic Design: Wireframing, Mockups, Prototyping, Marketing Material Design
*   Software: Figma, Adobe Illustrator, OBS Studio
*   Core Competencies: Visual Design, Cross-Functional Collaboration, Design-to-Development Workflow

**Career Objective**
Seeking to leverage and expand my design skills in a new, challenging project environment."
225,"**Objective**
Detail-oriented professional with a background in Economics and auditing, seeking to transition into an entry-level UX/UI designer role. Eager to leverage analytical skills, a foundational understanding of user-centric design principles from graphic design experience, and a strong desire to learn and contribute to a creative team.

**Professional Experience**
**Auditor**
[Company Name, Location] | [Dates of Employment]
*   Applied analytical thinking and meticulous attention to detail to examine financial records and processes.
*   Developed discipline and precision by working within strict deadlines and regulatory frameworks.
*   Honed problem-solving skills through systematic evaluation and verification of complex information.

**Graphic and Social Media Post Designer**
Education Center, Hometown | [Dates of Employment]
*   Managed the entire branding process for the organization.
*   Created engaging social media posts, eye-catching posters, and printable materials.
*   Translated ideas into visually compelling designs for a diverse range of projects.
*   Developed an understanding of aesthetics and user-centric design principles through hands-on design work.

**Education**
**Master of Economics**
[University Name, Location] | [Graduation Date]

**Bachelor of Economics**
[University Name, Location] | [Graduation Date]
*   Academic focus provided a strong analytical foundation and comprehensive understanding of business principles.

**Skills**
*   Analytical Thinking & Problem-Solving
*   Attention to Detail & Precision
*   Deadline-Oriented Project Execution
*   Visual Design & Aesthetics
*   Social Media Graphics & Branding
*   User-Centric Design Principles"
226,"**PROFESSIONAL SUMMARY**
UI/UX Designer with commercial experience across multiple domains including mobile applications and corporate website redesign. Skilled in translating project requirements into intuitive, adaptive designs through user research, design systems, and collaborative processes.

**CORE COMPETENCIES**
*   UX Research & User Research
*   Design Systems Creation & Style Guide Development
*   Information Architecture & Prototyping
*   Visual & UI Design for Web, Mobile, and Tablet
*   Mobile Design Rules & Patterns
*   Adaptive & Responsive Design
*   Wireframing & Mockup Creation
*   Competitor Analysis & Design Thinking
*   Marketing & Social Media Material Creation
*   Client & Developer Communication
*   Case Study Development (Behance)

**PROFESSIONAL EXPERIENCE**
**UI/UX Designer**
*   Executed end-to-end redesign of a corporate website, delivering fully adaptive designs for web, mobile, and tablet.
*   Developed mobile applications for diverse domains including a guide app and a lottery app.
*   Conducted comprehensive analysis of existing screens to inform redesign strategies.
*   Created and maintained design systems based on the Design Thinking process.
*   Performed user research and competitor investigation to guide project direction.
*   Led brainstorming sessions and established project information architecture.
*   Designed all visual materials for the marketing team and company social media across all platforms.
*   Built prototypes, wireframes, and high-fidelity mockups for client and development teams.
*   Facilitated clear communication with client teams and developers throughout project lifecycles.
*   Authored detailed case studies and published multiple project showcases on Behance.

**TECHNICAL & GUIDELINE PROFICIENCY**
Applied and studied industry-standard frameworks and guidelines including Angular Material, Kendo UI, Human Interface Guidelines (HIG), and Google Material Design."
227,"[Your Name]
[Contact Information]

PROFESSIONAL SUMMARY
A detail-oriented design specialist dedicated to crafting seamless and intuitive user experiences. Possesses a strong foundation in design principles, a keen eye for detail, and a passion for delivering exceptional user experiences through visually captivating interfaces for web and mobile applications. Proven ability to collaborate within cross-functional teams and solve problems effectively.

PROFESSIONAL EXPERIENCE

Table Tab Mobile App Design | Team Project
Jun 2023 – Aug 2023
*   Researched references and analyzed design systems to identify the most suitable solution for the case.
*   Updated wireframes and prototyped UI screens to create an informative and pleasant app for restaurant seat booking.
*   Collaborated with a team to invent a UI option for a rewards system to enhance user engagement and impression.

Host Radar Project Design | Team Project
Apr 2023 – Jun 2023
*   Conducted market and competitor analysis for a web service connecting hosts and visitors.
*   Gathered references for the work process and prepared project wireframes.
*   Animated prototypes and finalized the design case for the service.

Mainsal Realty Company Redesign | Project
Feb 2023 – Apr 2023
*   Analyzed an existing website, identifying issues of over-complexity and poor user comprehension.
*   Conducted research and competitor analysis within the US market.
*   Redesigned the website to be more convenient and user-friendly, overseeing the entire process from initial research to final design.

SKILLS
*   User Interface (UI) Design
*   User Experience (UX) Design
*   Wireframing & Prototyping
*   Design Research & Analysis
*   Competitor & Market Analysis
*   Cross-functional Team Collaboration
*   Visual Design
*   Problem-Solving
*   Attention to Detail

CAREER OBJECTIVE
Aspiring to further develop design skills and knowledge by contributing to innovative, user-centric projects. Seeking to actively collaborate with senior designers and stakeholders, take on new challenges, and deliver compelling user experiences that exceed expectations."
228,"[Your Name]
[Phone Number] | [Email Address] | [Location (Optional)] | [Portfolio Link]

**Summary**
Recent graduate of Plural Code Academy with foundational training in UI/UX design. Experienced in designing user interfaces for web and mobile applications using Figma, with skills in user research, wireframing, prototyping, and usability testing. Currently interning at a software agency, contributing to real-world projects including a cryptocurrency platform and a resort website. A quick learner and collaborative team player committed to delivering high-quality work.

**Skills**
*   UI/UX Design
*   User Research
*   Wireframing & Prototyping
*   Usability Testing
*   Figma
*   Web & Mobile App Design

**Experience**
**UI/UX Design Intern** | Software Agency | [City, State] | [Start Date] – Present
*   Design and complete website and mobile views for a cryptocurrency platform.
*   Design and complete a website for a resort center.

**Education**
**Plural Code Academy** | [City, State] | [Graduation Date]
*   Completed program with a focus on UI/UX design.
*   Designed a mobile application for a salon as a final project.

**Projects**
**Salon Mobile App** | Plural Code Academy
*   Designed the user interface and user experience for a mobile application for a salon, applying principles learned during the academy program."
229,"**PROFESSIONAL SUMMARY**
A marketing professional transitioning to UI/UX design, with over two years of experience in marketing and a passion for creating user-centered design solutions. Combines strategic understanding of user personas and pain points with skills in project management, communication, and collaborative teamwork. Proficient in using design tools including Figma, Adobe Photoshop, and Protopie to deliver visually appealing and functional prototypes.

**PROFESSIONAL EXPERIENCE**

**Marketing Professional**
*   Applied creative and strategic marketing skills to deliver visually appealing design solutions meeting client goals across diverse industries.
*   Developed a keen understanding of user personas and pain points to inform effective design outcomes.
*   Managed projects and communicated with a diverse range of clients, strengthening project management and communication abilities.

**PROJECT EXPERIENCE**

**Travel Service Website – UI/UX Design Project**
*   Collaborated in a team of two to design a website connecting global users.
*   Conducted UI/UX research and was responsible for designing, adapting, and prototyping.
*   Gained experience in team collaboration and effective project timeline management.

**Scan-and-Go Mobile App – UI/UX Design Project**
*   Performed extensive market analysis and design development.
*   Followed regular user patterns to simplify the shopping process.
*   Utilized Figma, Adobe Photoshop, and Protopie to create a functional prototype.

**Case Studies Project – Team Leadership**
*   Successfully managed team tasks and modified designs to better meet target audience needs.
*   Applied strong empathy skills to adapt features and design solutions, creating a more user-friendly experience.
*   Developed project management skills and reinforced collaborative teamwork abilities.

**SKILLS**
*   **Design Tools:** Figma, Adobe Photoshop, Protopie
*   **UI/UX:** Research, Design, Adaptation, Prototyping
*   **Strategy:** Understanding of User Personas & Pain Points, Market Analysis
*   **Professional:** Project Management, Communication, Team Collaboration, Creative & Strategic Thinking"
230,"**PROFESSIONAL SUMMARY**
UI Designer with 3 years of experience specializing in creating intuitive and visually compelling digital interfaces for web and mobile. Proficient in Figma, Photoshop, and Illustrator. Dedicated to aligning design outcomes with project vision and user needs.

**SKILLS**
*   UI/UX Design
*   Figma
*   Adobe Photoshop
*   Adobe Illustrator
*   Web & Mobile Interface Design
*   User-Centered Design

**PROFESSIONAL EXPERIENCE**
**UI Designer**
*   Designed user interfaces for web and mobile applications, focusing on aesthetic quality and ease of navigation.
*   Collaborated with stakeholders to understand project vision and translate requirements into design solutions.
*   Created design assets and prototypes using Figma, Photoshop, and Illustrator."
231,"[Your Name]
[Phone Number] | [Email Address] | [City, State] | [Portfolio URL] | [LinkedIn URL]

UI/UX Designer

Dedicated to creating intuitive and visually appealing digital interfaces that enhance the user experience. Experienced in full-cycle design for landing pages, web services, redesigns, and mobile applications. Proven ability to work collaboratively within a team, incorporate feedback constructively, and drive projects from concept to completion. Seeking a full-time position to contribute a fresh perspective and grow alongside experienced designers.

SKILLS
Tools: Figma, Adobe Photoshop, Adobe Illustrator, Canva
Methodologies: Competitive Analysis, User Personas, Jobs-To-Be-Done (JTBD), Customer Journey Mapping (CJM), User Flow, Wireframing, Visual Design, Adaptive Design

EXPERIENCE

UI/UX Designer | Project-Based
•   Executed three full-cycle design projects, including one collaborative team project.
•   Developed designs for diverse project types including landing pages, web services, redesigns, and mobile applications.
•   Translated project objectives into user-centered designs through structured processes and iterative feedback.

PROJECTS

Cozy House Web Service | Team Project, Full-Cycle Design
A platform connecting travelers with hosts for cultural home-sharing experiences, focusing on safety and affordability.
•   Collaborated within a team to guide the project through all stages of the design process.
•   Conducted competitive analysis and developed user personas, JTBD, and CJM to inform design strategy.
•   Created user flows, wireframes, and visual designs, culminating in a fully adapted interface.

Cucina di Catherina Website | Redesign, Full-Cycle Design
A visual and structural refresh of an outdated website to better attract potential customers.
•   Redesigned the website to modernize its appearance, replacing low-quality visual content.
•   Restructured information architecture to simplify navigation and reduce user distraction.
•   Highlighted the product’s unique selling proposition through clear, focused visual design."
232,"**PROFESSIONAL SUMMARY**
A UI/UX Designer passionate about creating visually appealing and user-friendly designs for web and mobile applications. Focused on turning concepts into reality by crafting designs that address user needs and simplify daily goals. Committed to growth, skills development, and excellence in collaborative project environments.

**PROFESSIONAL EXPERIENCE**

**UI/UX Designer | Commercial Coaches Service**
*   Currently working on the design and user experience for a commercial coaches service application.

**UI/UX Designer & Team Lead | Travel Service Project**
*   Served as Team Lead for a travel service project.
*   Developed a web interface for a ""change of environment"" service, a platform where hosts offer apartments in exchange for help with household chores.
*   Created complete user flows for both hosts and tourists.
*   Executed wireframing and designed adaptive versions for the platform.

**PROJECTS**

**Booking Table Service Application (Pet Project)**
*   Designed a service application allowing users to book restaurant or cafe tables without calling.
*   Implemented a feature enabling users to choose from any available table in the establishment.

**Ukrainian School Platform Redesign**
*   Redesigned a platform consolidating all school information and contact details.
*   Responsibilities included creating wireframes, a desktop version, and adaptive versions for tablet and mobile devices.

**SKILLS & OFFERINGS**
*   UI/UX Design for Web & Mobile Applications
*   User Flow Development
*   Wireframing
*   Adaptive/Responsive Design
*   Visual Design
*   Collaborative Teamwork
*   Project Leadership"
233,"**Professional Summary**
A UI/UX Designer with experience creating intuitive and visually appealing interfaces for mobile applications, websites, and software. Skilled in translating user needs into compelling design solutions through user research, wireframing, prototyping, and usability testing. Collaborates effectively with product managers, developers, and stakeholders to align designs with user goals and business objectives.

**Professional Experience**
UI/UX Designer
*   Designed a mobile banking application, focusing on intuitive navigation and user-friendly features.
*   Conducted user research for a health app to understand user needs and inform design decisions.
*   Created wireframes, interactive prototypes, and high-fidelity designs using Sketch, Figma, Adobe XD, InVision, and Marvel.
*   Collaborated with product managers, developers, and other designers to define requirements and implement design solutions.
*   Analyzed user feedback and conducted usability testing to validate and iterate on design decisions.
*   Developed user flows and visual designs aimed at helping users achieve their goals efficiently.
*   Maintained a focus on usability and accessibility, adhering to established guidelines and best practices.

**Skills**
**Design & Prototyping:** Sketch, Figma, Adobe XD, InVision, Marvel
**Core Competencies:** User Interface (UI) Design, User Experience (UX) Design, Wireframing, Interactive Prototyping, User Research, Usability Testing, User Flows, Visual Design
**Professional Practices:** Stakeholder Collaboration, Accessibility Standards, Design Trend Analysis"
234,"**PROFESSIONAL SUMMARY**
A UI/UX designer experienced in leading projects from problem definition to final design. Skilled in comprehensive user research, journey mapping, and creating intuitive wireframes and prototypes for web and mobile platforms. Adept at translating user needs into clean, user-friendly designs for both desktop and adaptive mobile/tablet interfaces.

**PROJECT EXPERIENCE**

**Travel Go** | UI/UX Designer (Pet Project)
*   Developed a web service concept designed to facilitate low-cost or volunteer-based international stays.
*   Defined the client problem, conducted competitive analysis, and identified the target audience.
*   Created customer journey maps (CJM), defined user flows, and developed wireframes.
*   Executed full prototyping to address user pains and needs, including mobile and tablet adaptations of the desktop design.

**ReserveNow** | UI/UX Designer (Team Pet Project)
*   Designed a mobile application for restaurant table booking, enabling users to view hall layouts, select specific seats/tables, and reserve for a chosen time.
*   Conducted task analysis, defined user flows, and established the application's visual style.
*   Created interactive prototypes and ensured a user-friendly, straightforward final product design.

**DESIGN SKILLS & METHODOLOGY**
*   **Process:** Problem Definition, Competitive Analysis, Target Audience Identification, Customer Journey Mapping (CJM), User Flow Development, Task Analysis.
*   **Design Execution:** Wireframing, Interactive Prototyping, Visual Style Development, Mobile & Tablet Adaptation.
*   **Tools:** Figma, FigJam, Adobe Photoshop, Adobe Illustrator.
*   **Approach:** Focus on comprehensive, user-centered design to deliver uncomplicated and intuitive final products for web and mobile applications."
235,"**PROFESSIONAL SUMMARY**
Junior UX/UI Designer with experience in building and leading design teams. Skilled in UX research, prototyping, and interface design, with a focus on fostering collaborative environments to deliver high-quality, user-centered projects for clients and businesses.

**PROFESSIONAL EXPERIENCE**

**UX/UI Designer** | 2022 – 2023
*   Built and managed a design team, focusing on UX research, prototyping, design, knowledge sharing, and teamwork.
*   Developed leadership skills and ensured the consistent delivery of high-quality design projects.

**UX/UI Designer** | Feb – Mar 2023
*   Responsible for the end-to-end interface development for a medical clinic.
*   Conducted extensive UX research to create a user-friendly and intuitive interface that met business and user needs.
*   Worked effectively within a team to complete the project.

**Freelance Graphic & UX/UI Designer** | Mar 2023
*   Engaged in website and post development.
*   Worked directly with clients one-on-one and collaborated within a mini team.

**EDUCATION & CERTIFICATION**
*   Successfully completed a comprehensive UX/UI design course. Applied learnings to create and lead a design team, fostering an environment of collaboration, creativity, and motivation where team members shared ideas, learned new skills, and worked together to create innovative products."
236,"UX/UI Designer

A passionate designer focused on creating meaningful digital experiences that solve user problems and simplify interactions. Specializes in web and mobile application design, employing a full-cycle design process from task analysis and prototyping to visual styling, ensuring a seamless and intuitive user journey. Background in motion design enhances prototyping and interaction detailing.

Experience

UX/UI Designer | Project-Based Work
*   “Unreal” – Mobile Application
    *   Designed a full-cycle mobile app for booking tables in unique restaurants.
    *   Created a platform enabling users to conveniently reserve specific tables for a memorable dining experience.
*   “Wings of Hope” – Web Service
    *   Executed full-cycle design for a web service interfacing requests to restore Ukraine’s war-damaged social infrastructure with offers of assistance from partners.
    *   Goal was to attract communities, officials, private organizations, and investors for restoration projects.
*   Slavsko Ski Resort – Website Redesign
    *   Completed a full-cycle redesign of the resort’s website to attract more local and foreign tourists.
    *   Revamped the entire site structure and developed a new, modern, and recognizable style.
*   Audi Q3 Test Drive – Landing Page
    *   Designed a full-cycle landing page for advertising the Audi Q3 with integrated test drive ordering functionality.

Education & Certification

Successfully completed an 8-month practical course in UX/UI Design, Web Design, and Mobile Design.

Objective

Seeking to collaborate within a team of product managers, developers, and fellow designers to bring design ideas to life and build complete digital products."
237,"**Objective**
Detail-oriented and motivated web designer seeking an entry-level UI/UX design position. Eager to apply foundational design skills, a strong understanding of user-centered principles, and a passion for creating aesthetically appealing and functional interfaces to contribute to a collaborative team environment.

**Skills**
*   UI/UX Design Principles
*   Wireframing & Layout Design
*   Visual Design & Aesthetics
*   User Persona Consideration
*   Navigation Design
*   Design Software Proficiency
*   Requirements Analysis

**Projects**
**Museum Website (Personal Project)**
Designed and planned a website interface to be both attractive and informative for museum visitors.
*   Created comprehensive page layouts using design tools, based on detailed analysis of project requirements and the specific museum environment.
*   Focused design on the effective placement of exhibits, intuitive navigation, and optimal visual perception.
*   Applied core UI/UX principles to develop aesthetically appealing and functional interface designs, ensuring a logical positioning of elements and user-friendly navigation.

**Career Goals**
Aspiring to develop expertise as a UI/UX designer within a professional team setting. Committed to understanding client and user needs to deliver superior design solutions. Actively planning to learn new technologies and design tools to enhance skill sets and integrate innovative approaches into future projects, with the ultimate goal of creating memorable user experiences that help businesses succeed."
238,"Astute and organized Fresh UX/UI Designer skilled in user-focused research and data-driven design decisions. Specializing in creating user-friendly wireframes and prototypes. Seeking to join an innovative design team to enhance the user experience for customers, leveraging creativity and problem-solving skills to create industry-leading products.

**PROJECT EXPERIENCE**

**Scrum Master & Team Project: Mind Map Application**
*   Served as Scrum Master for a collaborative team project, facilitating Agile processes to guide the design and development of a mind mapping application.

**Landing Page for a Flower Shop**
*   Designed a landing page to advertise a new bouquet delivery service.
*   Conducted competitor analysis and created a moodboard to establish the product's emotional context.
*   Developed wireframes, a UI kit, and final high-fidelity designs for the landing page.

**Website Redesign for Italian Roastery ""Il Griso""**
*   Redesigned the website to increase visual appeal and improve ease of use.
*   Performed competitor analysis and restructured the site's information architecture.
*   Created wireframes and a UI kit for key pages, followed by prototyping and design adaptation.

**Web Service for a Cleaning Company**
*   Designed a user interface for a cleaning company's web service, focusing on usability and customer engagement."
239,"**EXHIBITIONS**
*   Group Exhibition, ""The Art of Change,"" Ukrainian House
*   Photo Exhibition, ""24.02 Before and After""
*   Group Exhibition, Cardiff School of Art and Design, Cardiff Metropolitan University

**EDUCATION**
Cardiff School of Art and Design, Cardiff Metropolitan University
*   Acquired foundational graphic design knowledge in typography, composition, and color theory.
*   Successfully completed courses in Adobe Photoshop, Adobe Illustrator, and Figma.

**ADDITIONAL COURSES & TRAINING**
*   Completed UI/UX design project: conducted a heuristic analysis and proposed a redesign for the Turkish Airlines mobile application under mentor supervision.
*   Completed ""From Zero to Hero"" courses: created system design, mobile application, and website design concepts for a fictional ""Richard Bank.""

**EXPERIENCE**
*   Undertook small part-time jobs alongside studies to develop professional skills.

**SKILLS**
*   **Design:** UI/UX Design, Graphic Design Fundamentals (Typography, Composition, Color Theory)
*   **Software:** Figma, Adobe Photoshop, Adobe Illustrator
*   **Activities:** Heuristic Analysis, Design Conceptualization, Mobile App & Website Design

**PROFESSIONAL OBJECTIVE**
A motivated design graduate seeking to apply and further develop my UI/UX and graphic design skills in a professional environment. I am eager to contribute to real-world projects while continuing to learn. (Note: I am not seeking roles in packaging design.)"
240,"**PROFESSIONAL SUMMARY**
A detail-oriented designer with hands-on experience in user-centered design projects. Skilled in conducting competitor and user flow analysis, creating prototypes, and developing modern, intuitive interfaces. Proven ability to contribute effectively within a team environment. Seeking freelance project opportunities or a Junior Designer role, available for in-office or remote positions.

**PROJECT EXPERIENCE**

**CloudyClean Webservice**
*   Conducted in-depth analysis of competitor services and their user flows to inform design strategy.
*   Created detailed prototypes and developed the user interface for a service-matching platform.
*   Designed filters and an ordering system to help users quickly find and book apartment cleaning services.

**Alaska Pete's Website Redesign**
*   Performed comprehensive analysis of existing user flow, site structure, and informational logic.
*   Redesigned the website with a focus on modern aesthetics, improved user convenience, and enhanced content comprehensibility.

**Landing Page for FlowerLover**
*   Developed a visually aesthetic and user-friendly landing page for a floral business.
*   Based the design logic on prior analysis of target buyer behavior and needs to ensure clarity and effectiveness.

**SKILLS & CAPABILITIES**
*   User Interface (UI) Design
*   User Flow & Competitor Analysis
*   Prototyping
*   Web & Landing Page Design
*   Collaborative Teamwork"
241,"**EDUCATION**
**Master of Architecture and Urban Planning** | May 2023
Research Project: ""Modern Approaches to Implementing Information Technologies in Architectural Design""
*   Attained skills in self-organization, critical thinking, research, and analysis.

**RELEVANT COURSEWORK & SKILLS**
*   Completed comprehensive courses in creating mobile applications and websites, learning to develop effective and visually appealing digital products from initial design to final implementation.
*   **UX/UI Design:** UX Research (user interviews, surveys, competitor analysis), User Personas, User Stories, User Flows, Wireframing, Animated Prototyping.
*   **Web Development:** Foundational skills in HTML, CSS, responsive and adaptive design principles.

**PROJECT EXPERIENCE**
**Website Redesign** | FeelFull (Food Delivery Enterprise)
**Catalogue Website** | TviyBrend (Accessories Retail Company)
**Mobile App Design** | Colory (App to transform black and white photos to color)
*   Actively participated in online client meetings throughout project development.
*   Conducted UX Research including user interviews, online surveys, and competitor analysis.
*   Formulated User Personas and User Stories to guide design decisions.
*   Designed User Flows, Wireframes, and Animated Prototypes.

**PROFESSIONAL OBJECTIVE**
Seeking to grow and gain new knowledge through practical experience. Committed to creating impactful, user-centered designs while actively expanding expertise in UX/UI principles."
242,"**PROFESSIONAL SUMMARY**
A dedicated UI/UX designer with experience in social project development and a strong foundation in user-centered design. Skilled in translating project objectives into functional site maps and prototypes. Proven ability to conduct competitor analysis, develop layouts for websites and applications, and collaborate effectively within a team to meet deadlines.

**SKILLS**
*   UI/UX Design: Site mapping, prototyping, competitor analysis, reference selection.
*   Software: Figma, Adobe Illustrator, Adobe Photoshop.
*   Core Competencies: User research, layout development for web and mobile applications, teamwork, deadline-oriented, committed to continuous learning.

**PROJECT EXPERIENCE**

**Search for Lost and Found Animals | UI/UX Designer & Team Leader**
*   Led a team in a social project to develop a website dedicated to finding lost animals and facilitating adoptions.
*   Conducted competitor analysis to inform project strategy and feature development.
*   Developed the site map and defined core website functions to ensure project objectives were met.
*   Adapted the design to enhance usability and achieve the goal of quick animal recovery and adoption.

**Furniture Store Landing Page | UI/UX Designer**
*   Designed a simple and user-friendly landing page for a furniture store.
*   Performed competitor analysis and selected relevant references to guide the design process.
*   Created a prototype and final UI page focused on user experience and clarity.

**PROFESSIONAL ATTRIBUTES**
*   Highly responsible with a strong commitment to meeting project deadlines.
*   Possess a strong desire to learn and continuously improve design competencies.
*   Aim to contribute and grow within a team of professional designers."
243,"**UI/UX Designer**

**Professional Summary**
A UI/UX Designer skilled in translating abstract ideas into user-centric concepts and wireframes. Experienced in creating MVPs and applying Design Systems to accelerate project timelines and facilitate rapid client presentations. Proven ability to contribute effectively to team projects, with a focus on designing interfaces for websites and mobile applications.

**Skills**
*   UI/UX Design
*   Wireframing & Prototyping
*   Design System Implementation
*   MVP Development
*   Team Collaboration & Project Development
*   Interface Design for Web & Mobile

**Education & Certification**
**UI/UX Designer Course**, GoIT School — Feb. 2023 – Aug. 2023

**Project Experience**

**Landing Page: «Rainbow»**
*   Executed a redesign of an existing kindergarten website.
*   Updated the visual design and restructured information architecture to improve user flow.
*   Focused on enabling users to easily book appointments and select child curricula.

**Web-Service: «CleanHouse»** (Group Project – 3 people)
*   Developed a service platform connecting users with cleaning service providers.
*   Contributed as a team player, focusing on a design that allowed users to find services and register as cleaning candidates.
*   Enhanced collaborative and project development skills.

**Mobile App: «MY BRAND»** (Group Project – 2 people)
*   Collaborated to design a mobile e-commerce application for online shopping with home delivery functionality.
*   Contributed to the end-to-end app design process within a team setting.

**Additional Projects**
*   Applied UI/UX principles to create projects in the E-commerce and Edtech domains during coursework."
244,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio URL]

Objective
Creative and empathetic UI/UX designer seeking to apply aesthetic and analytical skills to solve user problems and achieve business goals. Proven experience in designing for web, mobile, and print, with a focus on user-centered design principles. Looking to contribute to a friendly and creative team of like-minded professionals.

Professional Experience

**Graphic Designer** | Electro House Company | 2021 – 2023
- Designed interfaces for company website and mobile applications.
- Managed content, support, and updates for the primary website and online store.
- Created commercial offers, presentations, and email marketing materials.
- Developed packaging designs, stickers, decals, and instruction manuals.
- Produced print materials including catalogs, booklets, and business cards.
- Created all graphic content for social media channels.
- Designed banners for the company and partner websites, drew custom icons.
- Conducted product photography, including photo processing and retouching.

**Graphic Designer (Project Work)** | ""Fact"" Publishing House | 2020 – 2022
- Designed book cover layouts for fiction, children’s, and non-fiction genres.
- Developed designs for souvenir product lines.
- Created layouts for various printed materials.

**Marketer & Designer** | Regional Medical Center | 2020 – 2021
- Developed outdoor advertising designs including banners, posters, and signs using CorelDRAW.
- Prepared final files for print and coordinated directly with printing houses.
- Designed internal print materials: gift certificates, fire evacuation plan diagrams, presentations, and commercial proposals.

**Librarian & Marketing Assistant** | Kharkiv Specialized Music and Theater Library | 2016 – 2022
- Collected data and prepared monthly, quarterly, and annual reports.
- Conducted work planning, analysis, and methodological sessions.
- Managed social media accounts and advertising activities.
- Designed monthly event posters, graphic posters, and invitations.
- Laid out the library’s monthly newspaper.

Skills & Competencies
- **UI/UX Design:** User interface design for web and mobile applications, user journey mapping, competitor analysis, persona creation, empathy mapping.
- **Graphic Design:** Website and mobile app design, print design (catalogs, booklets, business cards, covers), packaging, social media graphics, banners, icons.
- **Tools:** CorelDRAW, Adobe Creative Suite (Photoshop, Illustrator, InDesign), Figma/Sketch (implied from training).
- **Additional Skills:** Product photography, photo retouching, content management, presentation design, commercial proposal design, data analysis and reporting.

Education & Training
- UI/UX Design Training – Coursework included interface design for web and mobile applications, user journey mapping, competitor analysis, and creating personas and empathy maps."
245,"**Professional Summary**
A dedicated UI/UX design student with a strong foundation in core technical skills, organizational ethics, and discipline. Proven ability to deliver successful projects through a meticulous design process. Thrives in challenging environments that demand continuous learning and growth. Finds deep satisfaction in creating functional, well-designed digital products.

**Education**
GOIT | UI/UX Design Courses
*   Currently enrolled in a comprehensive program developing skills for mobile and desktop applications.
*   Gained valuable mentorship, support, and professional development through structured learning and project participation.

**Projects**

**Pet Finder Web Service**
*   Designed a web service to help users locate lost pets.
*   Conducted competitor analysis and created user personas to define user flow.
*   Developed a design system and user experience (UX), incorporating features like pop-ups and a donation mechanism for animals in need.

**India Cafe Website Redesign**
*   Executed a full redesign focusing on UX/UI improvements.
*   Performed website analysis and addressed color schemes, responsiveness, typography, and prototyping.
*   Created a comprehensive UI kit and prepared the project for Behance presentation.

**Landing Page Design**
*   Created a user-friendly landing page from concept to completion.
*   Conducted competitor research, developed a mood board, and delivered full UX/UI design.

**Technical Skills**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator
*   **Core Competencies:** Color Theory & Schemes, Typography, UI Kit Creation, Grid Systems, Website & App Prototyping, Responsive Web Design, Mobile App Design

**Professional Attributes**
*   Successful collaboration within team environments.
*   Full involvement in the end-to-end UX/UI process, from research to prototyping.
*   Committed to gradual growth through hands-on project experience and iterative learning.
*   Highly disciplined with a strong focus on organizational ethics."
