,Modified_gpt-4o_of_Modified_openai_gpt-4o-mini_of_CV_Modelopenai_gpt-4o-mini_Modelgpt-4o
198,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated and detail-oriented designer with a strong background in UI/UX and a passion for creating user-centered designs.

---

**Experience**  

**Team Leader**  
*SweepUp Cleaning Web-service*  
- Led a team to develop a convenient cleaning service for selecting and ordering specialists.  
- Conducted thorough research, including market and competitor analysis.  
- Created User Personas, Jobs To Be Done (JTBD), Customer Journey Maps (CJM), and multiple User flows.  
- Developed prototypes and UI designs while ensuring alignment with the existing design system.  
- Tools: Figma, Photoshop, Illustrator.  

**Project Contributor**  
*TimeWell Daily Planner Mobile App*  
- Collaborated with the team to create an app that helps users manage their time effectively.  
- Conducted competitive analysis and developed User Personas and User flows.  
- Created high-fidelity prototypes and UI designs, including detailed animations in Protopie.  
- This project is currently ongoing.  
- Tools: Figma, Photoshop, Illustrator, Protopie.  

**Project Owner**  
*Bravo Furniture Site Redesign*  
- Undertook a personal project to redesign a luxury furniture store's website.  
- Performed market analysis and competitor research.  
- Created prototypes, UI designs, and responsive layouts for mobile and tablet versions.  
- Developed a UI kit to enhance usability.  
- Tools: Figma, Photoshop, Illustrator.  

**Coursework Project**  
*Citroen C4 Landing Page*  
- Developed a landing page for test drive bookings for the new Citroen car.  
- Conducted market analysis and competitor research.  
- Created a mood board, wireframes, and an animated interface using Figma.  

---

**Skills**  
- UI/UX Design  
- Prototyping and Wireframing  
- User Research and Analysis  
- Responsive Design  
- Team Collaboration  
- Tools: Figma, Photoshop, Illustrator, Protopie  

---  

[Your Name]  
[Date]  "
199,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

**Professional Summary**  
Detail-oriented team leader experienced in full-cycle design for web services and landing pages. Proficient in conducting competitor analysis, developing user flows, and producing high-quality wireframes and prototypes. Skilled in crafting aesthetically pleasing and user-friendly interfaces that meet client requirements and enhance user experience.

**Experience**  

**Team Leader**  
Project: Travel Joy  
[Dates of Employment]  

- Led the development of a web service designed for facilitating work and rest in new environments.
- Conducted in-depth competitor analysis and developed comprehensive user flows, wireframes, and prototypes using Figma.
- Organized and monitored work processes, ensuring the team adhered to the existing design system.
- Delivered a well-designed web service, providing user-friendly functionality and an appealing interface for travelers.

**Designer**  
Project: Nice View  
[Dates of Employment]  

- Developed a landing page for apartment sales in a new residential complex based on client specifications.
- Conducted competitor analysis and target audience research to inform design decisions.
- Created detailed prototypes, selecting fonts and color palettes to maximize buyer engagement.
- Successfully delivered a landing page that met client needs and attracted potential buyers.

**Projects**  
- Travel Joy: Full-cycle design of a web service centered on travel and exploration.  
- Nice View: Full-cycle design of a residential complex landing page, focusing on buyer engagement and application functionality. 

**Skills**  
- Figma  
- Wireframing & Prototyping  
- User Experience Design  
- Competitor Analysis  
- Team Leadership  
- Project Management  
"
200,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Professional Experience**

**Volunteering Projects Aggregator for Ukraine**  
*Creator*  
- Developed a user-friendly platform to aggregate and showcase various volunteering initiatives in Ukraine.  
- Provided detailed project information and enabled donations, promoting engagement and support for meaningful causes throughout the country.

**Kickstarter Project Landing Page**  
*Designer*  
- Designed a promotional landing page for a multifunctional nightstand on Kickstarter.  
- Applied the AIDA marketing model to drive user engagement and purchases.  
- Conducted competitor analysis, selected references, crafted high-fidelity wireframes, and developed an adaptive website design.

**Rihanna Introduction Landing Page**  
*Designer*  
- Created a landing page to introduce and generate interest in Rihanna.  
- Engaged in mood board creation, reference selection, wireframing, complex composition, typography, and prototyping.

---

**Skills**  
- User Experience (UX) Design  
- Web Design and Development  
- Wireframing and Prototyping  
- Competitor Analysis  
- Marketing Strategies  
- Typography and Composition  
- Donation Integration  
- Adaptive Design

---

**Education**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---

**References**  
Available upon request."
201,"**[Your Name]**  
[Your Address]  
[City, State, Zip Code]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**  
Detail-oriented 3D graphic specialist with experience in UI/UX design. Skilled in HTML, CSS, and SketchUp, with a proven track record of managing projects and delivering high-quality results.

---

**PROFESSIONAL EXPERIENCE**  

**3D Graphic Specialist**  
HOVER Ukraine  
Feb 2021 - Jun 2023  
- Modeled 3D exteriors and interiors using SketchUp.  
- Ensured quality and adherence to project standards by reviewing and checking 3D models created by team members.  

---

**PROJECT EXPERIENCE**  

**UI/UX Redesign Project**  
Sophie Scholl Realschule Website  
- Led the redesign of the school's website to improve aesthetics, user-friendliness, and information accessibility.  
- Conducted research and analysis of competitor websites and web design best practices in the education sector.  
- Enhanced skills in competitive and audience analysis throughout the project.  

**Web Service for Hosting and Renting Housing**  
YoHome  
- Collaborated on the interface development from scratch, creating an efficient user flow for the service.  
- Focused on thoughtful details and stylization to optimize user experience.  
- Adapted the service to effectively meet user needs with minimal changes.  

---

**PET PROJECTS**  
- Developed three diverse pet projects, demonstrating versatility and the application of skills in various contexts.  
- Led the YoHome team in creating a hosting and renting website, showcasing leadership and initiative.

---

**SKILLS**  
- HTML, CSS  
- SketchUp  
- 3D modeling of exteriors and interiors  
- UI/UX design  
- Competitive and audience analysis  
- Team leadership  

---  

**EDUCATION**  
[Your Degree]  
[Your University]  
[Year of Graduation]  

---  

**REFERENCES**  
Available upon request."
202,"[Your Name]  
[Your Address]  
[City, State, ZIP]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile or Portfolio Link]  

---

**Objective**  
Dedicated UI/UX Designer aiming to apply my design expertise and knowledge to create meaningful user experiences and drive user engagement through impactful projects.

---

**Experience**  

**UI/UX Designer**  
- Designed landing pages, e-commerce sites, portfolio websites, and mobile applications for iOS and Android.  
- Engaged in all phases of the design process, including competitor analysis, user flows, wireframing, prototyping, and crafting unique UI designs for websites.  
- Ensured responsive design by adapting websites for mobile and tablet platforms.  
- Enhanced visual engagement through the implementation of basic website animations.  
- Collaborated with front-end developers to align design feasibility and functionality.

---

**Education**  

**UI/UX Design Coursework**  
- Studied UI/UX design principles and technologies extensively.  
- Gained a comprehensive understanding of Google Material Design Guidelines and Human Interface Guidelines, applying this knowledge in coursework projects.

---

**Skills**  
- UI/UX Design  
- Responsive Web Design  
- Wireframing & Prototyping  
- Competitor Analysis  
- User Flows  
- Basic Website Animation  
- Developer Collaboration

---

Passionate about crafting comprehensive and appealing user experiences that offer seamless access to information and enhance conversions. Eager to participate in projects that foster problem-solving and innovative design solutions. Committed to continuous learning and professional development in the design field."
203,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

**Objective**  
Junior UI/UX Designer passionate about creating effective, aesthetically pleasing designs to improve user experience. Eager to enhance skills and contribute to impactful projects.

**Education**  
- Completed a 6-month UI/UX Design course.

**Skills**  
- Full-cycle design services  
- Specialization in landing pages, e-commerce, website redesign, and web services  
- Competitor analysis, UX personas, user flow, wireframes, UI design  
- Prototyping and interface optimization for various devices  
- Effective collaboration in team settings  

**Project Experience**  

**""Wish"" - Gift Delivery Mobile App**  
- Developed a flower and gift delivery app with scheduling capabilities.  
- Conducted competitive analysis and created UX personas.  
- Designed user flows, wireframes, and UI to enhance user experience.  

**“Fitroom” - Corporate Website Redesign for a Fitness Studio**  
- Conducted a competitor analysis to guide the design process.  
- Established stylistic direction, developed prototypes, and optimized interfaces for phones and tablets.  
- Created a UI kit and designed a modern user interface aimed at boosting sales.  

**“VDOMA” - Ukrainian Couch-Surfing Web Service**  
- Designed a web service to facilitate budget travel in Ukraine and promote tourism.  
- Conducted competitive analysis, created UX personas, empathy maps, and user flow diagrams.  
- Developed mobile and tablet adaptations, and performed A/B testing to enhance design.  

**Additional Experience**  
- Created UI for a cleaning company's service accounting table.  
- Designed the sidebar for a website.  
- Developed a team page with paddings based on AutoLayout.  
- Designed a user page for an online learning resource.  
- Created a dashboard for an ed-tech product aimed at school students.  
- Developed UI for the desktop version of the site's start screen using animation.  
- Designed a modal window for confirming money transfers.  
- Created a dashboard for administering user rights.  

Excited to bring my knowledge, skills, and passion to your team and help create designs that elevate business. Thank you for considering me for your next project!"
204,"**[Your Name]**  
[Your Address]  
[Your City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
Creative Junior UX/UI Designer with a genuine passion for crafting outstanding user experiences. Strong foundation in design principles with a sharp eye for aesthetics. Continuously seeking innovative solutions to enhance digital interactions and make a positive impact for users. Dedicated to staying updated on industry trends and new technologies. Ready to apply my skills in collaborative environments and tackle projects that challenge and inspire growth.

---

**PROFESSIONAL EXPERIENCE**  

**Petsearch**  
Designer and Developer  
- Developed a user-centric web service for locating lost and found pets, ensuring simplicity and efficiency for users.  
- Facilitated connections between pet owners and finders through effective ads and features.  
- Enhanced user experience with thoughtful and practical functionality.

**A Kids Place Childcare**  
Designer  
- Led the redesign of a kindergarten's website, integrating both technical and research strategies.  
- Evaluated the existing design and analyzed competitors to recognize strengths and areas for improvement.  
- Created user-focused design elements across three key pages based on research insights.  
- Delivered comprehensive documentation, including a UI kit with essential components.

**FlowerLover**  
Designer  
- Designed a landing page for a flower shop, rooted in detailed research and competitive analysis.  
- Developed competitive analysis, moodboards, and structured pages using colors inspired by nature.  
- Integrated diverse elements such as buttons and inputs to enhance page functionality.

---

**OBJECTIVE**  
Eager to work on challenging and engaging projects that allow my creativity to flourish while gaining valuable experience. Dedicated to designing exceptional and functional products that meet high-quality standards."
205,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Professional Summary**  
Creative and skilled UX/UI Designer with a strong passion for developing aesthetically pleasing and user-friendly products. Experienced in designing websites, web services, mobile apps, logos, advertisements, and posters. Seeking opportunities to collaborate with innovative teams in a remote setting.

---

**Professional Experience**  

**Korg Sound Library Cover Design**  
- Designed two illustrations for sound library covers.  
- Engaged in client collaboration to discuss key details and review reference photos.  
- Implemented client feedback to refine and complete designs resulting in client satisfaction.  

**Sinevibes Logo (3D Animation)**  
- Crafted an animated 3D logo used as a video intro.  
- Completed modeling and shading tasks prior to obtaining client approval.  
- Finalized and rendered the animation in alignment with client feedback.  

---

**Project Portfolio**  

**UrbanFest Landing Page Design**  
- Conceptualized and designed a landing page starting from moodboard creation.  
- Developed a wireframe and completed a minimalistic landing page design tailored for UrbanFest.  

**CustomConcepts Tattoo Website Redesign**  
- Led a redesign of an existing tattoo website.  
- Conducted competitive analysis and prototyping to deliver a modern and functional website.  

**Web Service UX and UI Design**  
- Designed a web service to assist users in finding affordable accommodation abroad.  
- Performed UX analysis, and created user personas, customer journey maps, information architecture, and user flows.  
- Transitioned wireframes to full-color page designs based on comprehensive analysis.  

**Beatcraft Mobile App Design**  
- Designed a user-centric music mobile app addressing target audience needs.  
- Executed detailed analysis and wireframe development, incorporating features like two-factor authentication and in-app achievements in the interface design.  

---

**Skills and Qualifications**  
- Proficient in UI/UX design principles and tools  
- Strong analytical and problem-solving skills  
- Capable of adapting to new technologies and challenges  
- Excellent communication and collaboration abilities  

---

Actively seeking to join a dynamic remote team, with a commitment to continuous learning and professional growth."
206,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**About Me**  
Dedicated UI/UX designer from Ukraine, specializing in creating intuitive, convenient, and beautiful design projects. I am committed to understanding user problems as a foundation for creating design solutions. My passion for design, attention to detail, and eagerness to learn and grow make me a valuable team member in creating outstanding products.

**Skills**  
- Figma (auto layout, styles, components, design systems)  
- User-centered design by aligning with business requirements  
- Identifying and resolving UX problems  

**Project Experience**  

**Lunushka Shop Mobile App**  
- Designed a mobile application for an online store.  
- Conducted competitor analysis, target audience analysis, and user research to develop personas and user flows.  
- Created intuitive designs, onboarding experiences, and animated prototypes using Protopie.  

**Globetrot Web Service**  
- Developed a web service for economical travel stays.  
- Performed in-depth research to identify problems and propose design solutions.  
- Crafted detailed wireframes, UI, adaptive design, and prototype animations.  

**Tattoo Studio Website Redesign**  
- Updated an existing website through detailed analysis.  
- Developed a modern design and user-friendly interface.  
- Created informative pages to attract both new customers and tattoo artists.  

**Flower Shop Delivery Landing Page**  
- Designed a landing page for a flower shop with an innovative delivery service.  
- Executed user research and competitor analysis to create personas.  
- Developed a moodboard, prototype, and visually appealing design with convenient navigation.  
- Optimized the landing page for tablets and mobile devices to enhance user experience.  

**Corporate Training and Development**  
- Engaged in corporate training and development within the company.  
- Contributed to career growth in a mutually respectful and supportive atmosphere."
207,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile or Portfolio Website]  

---

**PROFESSIONAL SUMMARY**  
Dynamic Junior UI/UX Designer with expertise in team-based and individual projects. Skilled in the full spectrum of design processes, from initial analysis through to prototype development, user interface design, and final adaptation. Passionate about crafting seamless, user-friendly experiences that meet client objectives and address user needs.

---

**PROJECT EXPERIENCE**  

**MIMINO Restaurant & Hotel Complex | Website Redesign**  
_October 2022 – November 2022_  
Enhanced the website's attractiveness and functionality by conducting a thorough analysis to identify areas for improvement. Proposed effective solutions and design references, developed comprehensive prototypes, and executed modern visual designs.

**NADIYA Pet Search Webservice | UI/UX Design**  
_December 2022 – February 2023_  
Collaborated in a team-driven project to create an accessible service for pet owners to locate lost animals. Improved skills in communication, organization, delegation, and time management. Conducted competitor analysis, crafted user personas, developed sitemaps, and designed intuitive high-fidelity prototypes for a user-centric interface.

---

**ADDITIONAL PROJECTS**  

**Yoga Studio | Landing Page Design**  
[Year if applicable]  
Created a visually appealing and functional landing page for a yoga studio, prioritizing user engagement and seamless experience. Applied core UI/UX design principles to enhance usability and interaction.

---

**SKILLS**  
- UI/UX Design  
- Prototyping  
- User Interface Design  
- User-Centered Design  
- Strong Communication  
- Effective Time Management  
- Analytical and Problem Solving  

---

**EDUCATION**  
[Your Degree]  
[Your University, Year]  

---

**REFERENCES**  
Available upon request."
208,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[Your LinkedIn Profile]  

---

**Professional Summary**  
Dedicated Junior UX/UI Designer with a keen eye for detail and a passion for crafting high-quality products. Focused and self-motivated, I am committed to creating designs that enhance user and business experiences.

**Core Competencies**  
- Expertise in Figma, Adobe Photoshop, Adobe Illustrator, Canva  
- Knowledgeable with web analytics tools like SimilarWeb  
- Strong skills in Design Systems, User Flows, Customer Journey Mapping (CJM)  

**Professional Experience**  

**Barbershop - Landing Page Design**  
Designed an engaging landing page for a new barbershop in Ukraine, showcasing diverse services to capture and retain potential customers. Leveraged Figma and Adobe Photoshop for an efficient and visually appealing design.

**India Cafe - Website Redesign**  
Led the redesign of the India Cafe website to enhance visitor engagement and highlight the café’s unique offerings. Conducted extensive competitor analysis and user interviews to guide the redesign, culminating in a user-centric and visually striking online presence.

**Look for - Web-Service Design**  
Spearheaded the development of an intuitive user interface for a web service facilitating tailored accommodation searches. The project comprised three key phases: user-end interface, payment system, and admin-side dashboard. Utilized Figma, Canva, and Adobe Illustrator to design and deploy the service effectively.

Eager to join a dynamic team and contribute to the creation of exceptional user and business products, embracing new challenges in web design innovation."
209,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[Your LinkedIn Profile]  

---

**PROFESSIONAL SUMMARY**  
UI/UX Designer with a background in graphic design and project management. Experienced in creating user-friendly digital products through innovative and intuitive design solutions. Dedicated to enhancing user experiences and achieving business goals through thoughtful design strategies.  

**EDUCATION**  
UI/UX Design Course  

**PROFESSIONAL EXPERIENCE**  

**Chief Designer (Head of Department)**  
[Company Name] – [Location]  
[Dates of Employment]  
- Organized and managed creative projects, ensuring alignment with corporate style and goals.  
- Developed design concepts and collaborated with team members to streamline processes.  
  
**Key Projects:**  
- Redesigned company website for improved visual appeal and navigation.  
- Designed interface for a popcorn machine, maintaining brand consistency and incorporating new elements.  
- Created landing page design for KinoboardPRO, focusing on engaging user experience.  
- Developed design project for city café, including interior design of the conference hall.  

**Freelance UI/UX Designer**  
[Location]  
[Dates of Involvement]  
- Conducted adaptive redesigns of websites to boost user engagement and usability.  
- Designed a web service for a cleaning company to improve recruitment efficiency.  
- Developed a mobile app for restaurant table bookings with user-friendly functionality.  
- Completed various web design tasks to meet curriculum objectives.  

**SKILLS**  
- UI/UX Design  
- Graphic Design  
- Project Management  
- Research and Analysis  
- Wireframing  
- Mobile and Web Application Design  
- Team Collaboration  

**ABOUT ME**  
Passionate about digital product design, with a focus on expanding experience in UI/UX design. I am a results-driven individual committed to delivering high-quality designs. I thrive in team environments and am eager to use my skills to contribute to a company's success.  

**PROJECT EXPERIENCE**  

- **Website Redesign for MAINSAIL, Realty Company:**  
  Updated design and improved navigation and content structure. Conducted competitor research, developed wireframes, and created a UI kit. Ensured adaptation for tablet and mobile platforms while maintaining the original color scheme.  

- **Interface Redesign for Popcorn Machine, Kinoprokat-Sumy:**  
  Redesigned the standard interface to align with company branding, adjusting colors, fonts, and icons while preserving functionality. Developed animations to enhance user interaction.  

Seeking a reliable company that values career and financial growth, with a schedule that supports work-life balance. Open to remote opportunities.  

Contact me to discuss how my skills can benefit your team. I look forward to connecting!"
210,"**About Me**  
Junior UI-UX designer with a foundation in HR, driven by a passion for design and innovation. Skilled at crafting visually compelling and user-centric websites and applications. Dedicated to continuous learning and enhancing my skill set. Enthusiastic about joining a dynamic team and engaging with inspiring individuals.  

**Project Experience**  
**1. Eventize - Mobile Application (2023)**  
Developed a mobile application that helps users find and book venues or events, while also offering the ability to plan special occasions. The platform allows for event creation and management, enabling users to categorize necessary items and organize critical tasks efficiently.  

**2. Guesture - Web Application (2022)**  
Contributed to the creation of a web service aimed at users seeking to explore new environments for work and leisure. This platform, which shares similarities with couch-surfing, offers options for either monetary payment or completing tasks set by the host. Specifically designed for students and young travelers in search of budget-friendly travel experiences.  

**Objective**  
Eager to secure a full-time or part-time role within an innovative and expanding company. A fast learner who is responsible and ready to embrace challenging opportunities."
211,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile]  

---

**Professional Summary**  
Detail-oriented Junior UX/UI Designer committed to enhancing user experiences and balancing user needs with visual design. Enjoys leading teams and projects with an emphasis on collaboration and maintaining high-quality standards.

---

**Experience**  

**Team Leader, Project ""Shine""**  
[Your Company Name]  
[Month, Year] - Present  
- Led a team in developing ""Shine,"" a web service for cleaning companies.  
- Managed organizational aspects and participated in design and development.  
- Fostered a collaborative and supportive team environment.

**Junior UX/UI Designer**  
[Your Company Name]  
[Month, Year] - Present  
- Prioritized user experience in design solutions across various projects.  
- Engaged in courses to improve UX/UI design skills and knowledge.

**Projects**  

**Landing ""FlowerLover""**  
- Designed a minimalistic one-page website for flower delivery, enhancing visual appeal and user action facilitation.  
- Conducted analysis of competitors and target audiences, selected references, and developed moodboards, wireframes, and prototypes.  
- Created a UI kit, incorporated animations, adapted the design for tablet and mobile, and presented a Behance case study.

**Website Redesign ""A Kids Place Childcare""**  
- Led a kindergarten website redesign to improve engagement and visibility.  
- Analyzed the site, identified issues, and conducted research on target audiences and competitors.  
- Produced moodboards, wireframes, prototypes, a UI kit, animations, and a Behance case study, achieving project objectives.

---

**Skills**  
- UX/UI Design  
- User Experience Research  
- Wireframing & Prototyping  
- Visual Design  
- Team Leadership  
- Target Audience Analysis  
- Competitor Analysis  

---

**Objective**  
Aspire to become a professional UX/UI Designer and establish a brand while contributing to user-focused design initiatives.  

---  "
212,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  

**Professional Summary**  
UI/UX Designer with a comprehensive understanding of interface design processes and a talent for creating effective prototypes across diverse products. Skilled in conditions analysis, prototype testing, and leveraging data to optimize design. Adept at developing user-centric web browser layouts and interactive UX applications. Collaborative team player with foundational knowledge of cooperation principles and a commitment to addressing user needs.

**Experience**  

**alkima web & design**  
*UI/UX Designer*  
March 2023 - Present  
- Conduct user experience research to guide design strategies.  
- Create sitemaps, wireframes, and user interface designs.  
- Utilize Webflow for web development projects.  
- Design website banners and social media creatives.  
- Develop logos and conceptualize comprehensive design systems.  

**Vinnytsia Distribution Company**  
*Sales Manager*  
January 2019 - February 2022  
- Collaborated with team members on projects to enhance technology utilization.  
- Developed user-experience focused interfaces for websites, mobile applications, and software."
213,"**[Your Name]**  
[Your Address]  
[Your City, State, Zip]  
[Your Phone Number]  
[Your Email]  
[LinkedIn Profile or Personal Website]  

---

**OBJECTIVE**  
Motivated UI/UX designer seeking a flexible work schedule or full-time position in a company focused on enhancing user experience and productivity. Fast learner, responsible, and ready for challenging tasks.

---

**PROJECTS**  

**Pet-Projects**  
- Developed two personal projects showcasing design and technical skills.

**Redesign for Website “A Kids Place Childcare”**  
- Redesigned the website for A Kids Place childcare in North Olmsted, Ohio, focusing on providing a nurturing, fun, educational, and safe environment.  
  - Designed a well-structured, modern, and user-friendly interface.  
  - Conducted user research, competitive analysis, wireframing, and prototyping.  
  - Utilized Figma and Adobe Illustrator.  

**Web Service “Medical Clinic”**  
- Developed a web service for a private medical clinic to facilitate doctor-patient meetings for both in-clinic and online consultations.  
  - Integrated speech recognition technology to streamline documentation.  
  - Enabled patient selection of doctors based on criteria and ratings.  
  - Conducted baseline studies, brainstorming, jobs-to-be-done analysis, user flow creation, customer journey mapping, prototyping, UI design, and adaptation.  
  - Utilized Figma, Adobe Illustrator, and Slack.  

---

**SKILLS**  
- Software Testing: Created and executed test cases to ensure quality and functionality.  
- Bug Reporting: Generated comprehensive bug reports to assist developers.  
- SQL: Used for database management and data accuracy verification.  
- UI/UX Design: Experience in designing seamless and functional user interfaces.  

--- 

**REFERENCES**  
Available upon request."
214,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  
[LinkedIn Profile]  

**Professional Summary**  
Dedicated UI/UX Designer with a comprehensive educational background and extensive freelance experience. Demonstrated success in crafting user-centered and visually engaging designs.

**Education**  
IT School Hillel  
UI/UX Design Advanced Level Course  
- Graduated with a first-class degree  
- Secured 2nd place in student rating  

**Professional Experience**  

**Freelance UI/UX Designer**  
Upwork (Top Rated)  
April 2020 - Present  
- Enhanced user experience through CRM system redesigns  
- Developed a components library for a site-builder service  
- Designed mobile applications with an emphasis on user interaction  
- Created design solutions for CRM systems  

**Student Projects**  
September 2019 - March 2020  
- Acquired proficiency in UX methodologies, including analysis, investigation, and prototyping  
- Developed expertise in typography, grid compositions, animations, and responsive design  
- Completed a diploma project on a CRM System for a sports complex  

**Additional Experience**  
July - August 2019  
- Conceived a landing page for educational courses  
- Worked alongside developers on testing and design for CRM and web projects  
- Committed to UI/UX Design education  

**Skills**  
- UI/UX Design  
- Prototyping  
- Responsive Design  
- Typography  
- Color Theory  
- Developer Collaboration  

**Professional Development**  
- Actively pursuing design-related online courses to refine skills and stay abreast of industry advancements  

**Career Objective**  
Aspiring to join a collaborative team environment where I can further develop as a designer and engage in innovative projects."
215,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated UX/UI designer focused on creating user-centric and profitable products through effective problem-solving and design innovation.

---

**Projects**  
- **Vinyl Shop Website**: Designed both desktop and mobile versions.  
- **Sign Language Study App**: Conducted UX research, applied Human Interface/Material design principles, and created the landing page.  
- **Car Trip Planning App**: Executed UX research, developed a design system, implemented Human Interface guidelines, and designed the landing page.  

---

**Skills**  
- Proficient in Adobe Illustrator and Adobe Photoshop for vector and raster graphics.  
- Experienced in user research techniques, including User Flow, User Story, Customer Journey Mapping (CJM), and User Scenario development.  
- Skilled in both low- and high-fidelity prototyping, including interactive prototypes in Figma.  
- Expertise in logo design and branding.  
- Strong grasp of color theory, typography, and composition.  
- Knowledgeable in Material Design and Human Interface Guidelines.  
- Familiar with design systems and UI kits, including styles, components, variants, and Figma's auto-layout.  
- Experienced in adaptive design principles.  
- Basic knowledge of HTML and CSS.  
- Proficient with the Tilda platform.  

---

**Availability**  
Actively seeking new opportunities in web design. Please contact me for suitable positions."
216,"**[Your Name]**  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**PROFESSIONAL SUMMARY**  
Designer with experience in both individual and team projects involving landing pages, website redesign, web services, and mobile applications. Developed three projects, including a team project focused on researching and implementing patient-side user flow. A beginner designer with a strong desire for professional growth, equipped with a solid knowledge base from IT courses and an understanding of essential professional tools for design. Possesses good communication skills and the ability to collaborate effectively in a team. Open to feedback, committed to completing tasks, and seeking opportunities for professional development and new challenges.

---

**PROJECT EXPERIENCE**  

**Landing Page: “Barbershop in Kyiv”**  
- Developed a one-page site aimed at attracting customers and promoting services.  
- Included service information, master profiles, customer reviews, and unique selling points.

**Web Service for a Medical Clinic**  
- Participated in full-cycle design for a patient-focused website.  
- Collaboratively designed a patient page with features for online bookings and access to medical history and payments.

**Redesign for Design: ""KIDS PLACE""**  
- Engaged in a comprehensive redesign project to create a modern, user-friendly site.  
- Developed an adaptive version of the site to enhance accessibility and reach a wider audience.

---

**OBJECTIVE**  
Seeking a full-time or part-time designer position at a company committed to creating user-friendly and productive products that enhance business and everyday life through user experience.

**SKILLS**  
- Web Design  
- User Flow Implementation  
- Communication  
- Team Collaboration  
- Task Management  
- Adaptability  

---  

**EDUCATION**  
[Relevant Degree or Certification]  
[Institution Name] - [Year]  

---  

**REFERENCES**  
Available upon request."
217,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Your Email]  
[Your Phone Number]  

---

**Objective**  
Aspiring UI/UX Designer with a passion for creating efficient and user-friendly interfaces. Eager to contribute to a dynamic team while continuously honing my skills and expertise in the design field.

---

**Experience**  

**UI/UX Designer (Non-Commercial Projects)**  
[Dates]  
- Collaborated with clients on diverse projects, including landing pages, website redesigns, a housing reservation service, and a restaurant booking application.  
- Developed a logo and corporate style for the modern women's clothing brand Ina&Mi using Adobe Illustrator, Photoshop, and InDesign.  
- Conducted market and competitor analysis, created personas, wireframes, and sitemaps, maintaining corporate style throughout design projects.  

**Team Member (Free Web Service for Booking Accommodation)**  
[Dates]  
- Acquired experience in a team setting focused on competitor analysis, strategy development, and project collaboration.  
- Improved communication, leadership, flexibility, creativity, organization, and interpersonal skills, contributing to successful team outcomes.  

**Graphic Designer (Graphic Design Courses)**  
[Dates]  
- Collaborated with clients to develop effective visual solutions, including logo and identity development for the Ukrainian women's clothing brand InaMi.  
- Utilized Adobe Illustrator, Photoshop, and After Effects to create high-quality visual content.  

---

**Skills**  
- Proficient in Adobe Creative Suite (Illustrator, Photoshop, InDesign, After Effects)  
- Strong understanding of UI/UX design principles  
- Experienced in market analysis, wireframing, and persona development  
- Excellent communication and collaboration skills  
- Creative problem-solving and organizational abilities  

---

**Expectations**  
- Eager to work in a collaborative environment to deliver quality products that meet business and user needs.  
- Committed to professional growth and development, seeking training and mentoring opportunities.  

---

**What I Offer**  
- Support and assistance to colleagues to achieve team goals and objectives.  
- Creativity and a fresh perspective on problem-solving and task completion.  
- Enthusiasm for learning from colleagues and a strong desire to develop new skills."
