,Modified_gpt-3.5-turbo_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelgpt-3.5-turbo
126,"Lead Game UI/UX Designer at Obrio (Genesis)
January 2021 to August 2022 (1 year, 8 months)

- Created over 15 features from scratch
- Developed basic style and color system for UI
- Generated detailed game design documentation
- Conducted market and competitor research
- Created video prototypes for features
- Designed features from scratch
- Developed and updated the UI kit
- Mentored junior designers and managed the team
- Tracked product metrics using devtodev.com
- Presented results for the team

Achievements as a Mentor:
- Judge and Mentor at the Genesis GameJam 2021
- Recorded lecture about Game UX for Projector Institute (Course Game Design Beginning)

UI/UX Designer at Evoplay
February 2020 to January 2021 (11 months)

- Supported mobile and web products
- Created and supported UI-Kit
- Worked with breakpoints
- Designed mini-features
- Created illustrations for features

Product Designer at Aimbulance
September 2019 to February 2020

UI Designer at a Company Under NDA
September 2017 to September 2019."
127,"Designer with 10+ years of experience in graphic and UI/UX design. Worked in advertising and marketing agencies, as well as printing houses, with European clients. Developed logos and styles for companies in Kyiv, Kharkiv, and other cities in Ukraine and Europe. Experienced in website development using the Tilda constructor. Skilled in creating landing pages, websites, conducting UX research, designing logos, social networks, printed materials, presentations, outdoor advertising, transport branding, and more. Strong organizational and planning skills, team player, and emphasis on user-friendly design. Eager to contribute to business growth and further develop as a UX/UI designer."
128,"- UX/UI Designer - Stress Point Health Ltd [Apr2018 - Jun2020]
Key Responsibilities:
- Led a UX/UI design project for a mobile app focused on treating stress, anxiety, and trauma.
- Designed from concept to full UI implementation.
- Visualized metrics in a user-friendly manner.
- Created wireframes, user journey flows, and prototypes for testing.
- Conducted usability testing sessions with volunteers to ensure optimal user experience.

- UI/UX and Web Designer - Propeller Digital Company [May2016 - Dec2019]
Key Responsibilities:
- Sole designer responsible for all design decisions.
- Designed websites, print materials, and infographics.
- Analyzed briefs and defined user experience approaches.
- Created wireframes, designs, and mockups for various markets.
- Redesigned presentations, logos, brand identities, and websites.
- Implemented user-centered design and design thinking approaches."
129,"Experience:

- Creative Intern at Phiture
- Created illustrations and design assets for marketing team
- Adjusted designs to brand guidelines
- Worked on print design, photo retouching, and created marketing assets for various clients
- Participated in A/B testing for Adobe
- Assisted in Quality Assurance processes

Education:

- Master's degree in design and journalism

Skills:

- Proficient in vector graphics, icons, logos, application prototyping, branding, video editing, and motion graphics
- Experience working with large amounts of information and text from background in multimedia journalism."
130,"Zeybullah
Graphic and UX/UI Designer

3+ years of experience in Graphic and UX/UI design principles, knowledge, and discipline. Worked with Eleven Kings Football Manager Game, Soccer City, and Mediamark Digital Agency designing SMM posters, magazines, advertising materials, and UI designs. Experienced in UX/UI design, mobile app design, website design, digital design, logo and branding, and more. Proficient in Adobe Illustrator, Photoshop, InDesign, XD, Figma, and more. Highly recommended by clients for creativity and attention to detail."
131,"I have a great passion for learning foreign languages, film photography, and painting.

After graduating from NTUU ""KPI"", I worked as a graphic designer for more than four years. Starting in 2017, I transitioned to freelancing, focusing mainly on the design of print advertising materials.

From June 2018 to February 2020, I worked as a full-time graphic designer in the marketing department of ""Pyramida Technik"", a large Ukrainian company-manufacturer and distributor. My responsibilities included assisting the marketing team in creating visual materials for social media campaigns, designing presentations, and print materials, as well as later redesigning websites.

From September 2019 to March 2020, I collaborated with Camping Trade as a freelance designer, working on the website for the GioStyle brand and creating visual materials for social media.

From February 2021 to April 2022, I worked as a UX/UI designer at AltRecipe. My responsibilities included website development for desktop and mobile platforms, analyzing and improving existing interfaces, collaborating closely with the product team, and creating animations for interfaces.

From April 2022 to May 2023, I worked as a graphic designer for various French and Ukrainian companies, such as Gr8Tech, Bourgogne en Douce, and O4Dance."
132,"- Three years of experience in Graphic design and Web design, specializing in the development of design templates for websites with a focus on user experience and user interface.

- Skilled in creating Landing Pages and multi-page sites optimized for different devices, with a strong understanding of graphic design principles, typography, and color.

- Experience in participating in the development of internet stores and book publishing projects.

- Project Manager at a Ukrainian book publishing house in 2022, responsible for market research, template and prototype creation, website development, hosting management, and recruitment of programmers for projects.

- 3D Designer at 3D company ""Hover"" from September 2020 to July 2022, specializing in reproducing and modeling architectural structures using visualization from photographs into 3D objects.

- Proficient in 3D design software including SketchUp, Blender, and Zbrush, with experience in high polygonal 3D modeling and character design.

- Proficient in design software such as Figma, Photoshop, Illustrator, Adobe XD, Adobe After Effects, and Premier Pro.

- Aspiring to expand skills in graphic design beyond web design to include book covers, advertising banners, posters, and invitations. Seeking opportunities to improve skills and gain new knowledge in design development."
133,"Graphic designer with over 5 years of experience in leading design roles for various industries, including jewelry stores, household chemicals stores, restaurants, children's stores, and IT corporations. Skilled in advising clients on advertising strategies, considering user needs and factors. Proficient in UI/UX design, prototype development, graphic design, vector and 2D illustration, 2D animation, and understanding of mobile guidelines and user psychology. Experienced in creating flat illustrations and animations, with a strong background in advertising. Familiar with Figma, Adobe Photoshop, Illustrator, After Effects, Lightroom, Corel Painter, Krita, Zeplin, Blender, and Unity. Fluent in English, native Ukrainian speaker, with beginner proficiency in Czech and Mandarin. Passionate about mobile app development and eager to continue learning and growing in a new environment. Willing to relocate internationally."
134,"Name: Daria

Summary: Experienced Chief Business Officer with a background in communications, marketing, management, and design. Skilled in managing teams, developing client relationships, and overseeing projects in innovative visual technologies such as 3D, 360photo, 360 video, aerial shooting, virtual reality (VR), and augmented reality (AR). Passionate about art, design, and digital tools, with a focus on combining function and aesthetics to inspire and engage audiences.

Experience:
- Chief Business Officer, 3DTOUR AGENCY
- Led website development projects, including user behavior analysis, process logic, functions, and design
- Created brand identity for various events, both educational and sport, private and public
- Developed marketing materials such as logos, brochures, newsletters, infographics, presentations, and advertisements to improve client transactions
- Managed up to 5 projects simultaneously, meeting strict weekly deadlines with strong time management skills

Skills:
- Proficient in Adobe Creative tools
- Strong project management skills
- Excellent communication and relationship-building abilities
- Creative problem-solving and innovative thinking
- Continuous self-education and development in design field

Motivation: Seeking professional self-actualization, financial self-sufficiency, and ongoing learning and growth in the design industry."
135,"Ann, Graphic Designer: Specializing in brand communication with over 4 years of professional experience. Worked with bloggers, singers, and creative agencies to create press media kits, logos, websites, presentations, stickers, and postcards. Skills include brand identity, logo design, presentations, infographics, layouts, print materials, web marketing, and UI/UX design. Known for attention to detail, empathy towards clients' needs, and ability to generate innovative ideas efficiently. Excited about the opportunity to bring creativity and teamwork to your company."
136,"Experience:

- Graphic and UI/UX designer at Plarium, responsible for producing competitive design advertisements and creating 2D banners and animations for social media resources of company products

- Graphic designer at Grls Gang, responsible for creating branding identity, advertisements, and connections between the company and users

Skills:

- Proficient in designing social media materials, advertisements, and printing materials

- Strong understanding of color, shape, and composition

- Experienced in working with layouts, typography, and illustrations

- Ability to research and implement the best design solutions while respecting deadlines

- Continuously learning and staying updated on industry-related trends."
137,"While studying at Beetrot Academy, I worked on a B2B sales project as a freelance UI designer in collaboration with a classmate. Designed 6 pages with 30 blocks, 11 registration forms, and a UI Kit. Developed desktop version, adaptive design, and 40 mail templates for active project.

Approximately 6 kilograms of printed materials created as a graphic designer. Completed courses at ""American English Center"" in Kharkiv, achieving B2 level proficiency in English.

Over 5 years of experience in graphic design, working on POS materials, magazine/newspaper production, identity/branding, and music posters.

Completed 6-month intensive UX/UI Design course at Beetrot Academy online in December 2020. Diploma project involved creating an online shop for car lights, including research, technical requirement, mind map, user portraits, user flows, wireframes, and design.

Seeking stable job in outsource/product company, open to remote or office-based opportunities in Kharkov. Interested in freelance, part-time, or project-based work. Eager to combine graphic and UX/UI design responsibilities in future role."
138,"Experience
Middle Graphic Design Specialist
SupportYourApp · Full-time
Feb 2022 - Feb 2023 · 1 yr 1 month
- Designed branding for SupportYourApp social media, created illustrations, and developed overall brand identity
- Collaborated with cross-functional teams to ensure designs met business objectives
- Adapted design concepts to different media formats, including web, social media, print, and video

UI/UX Middle Designer
TEMABIT Software Development · Full-time
Mar 2020 - Feb 2022 · 2 yrs
- Developed user-friendly UI/UX for mobile applications for major hypermarkets in Ukraine (FOZZY Group, Fora, Justin)
- Facilitated successful photo shoots and created comprehensive style guides for design and branding standardization

UI/UX Junior Designer, Middle Graphic Designer
Skywell Software
Jun 2018 - Mar 2020 · 1 yr 10 months
- Prototyped websites and developed design for adaptive designs
- Developed a brand book for the company and created marketing materials, resulting in improved customer engagement
- Analyzed market trends and competitor strategies to optimize marketing efforts

Skills
- Extensive experience in creating user-friendly interfaces and visual communications
- Proficient in Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop
- Ability to thrive in fast-paced environments
- Strong ability to build working relationships and collaborate with cross-functional teams"
139,"Objective: Seeking a position as a UI/UX designer with a focus on creating intuitive and visually appealing interfaces to enhance user experience. 

Experience:
- Graphic designer from 2016 to 2022 with a focus on developing and executing visual design projects such as logos, corporate identities, and advertising materials.
- Half year of practice in UI/UX design including creating landing pages, redesigns, and team projects for web and mobile applications.
- Led the redesign of a website for a tattoo studio in Destin, Florida to create a visually appealing and user-friendly interface.

Skills:
- Experience with collaborative teamwork, user-centric design, and responsive design principles.
- Developed a design system for a team project.
- Proficient in conducting user research to gather insights for design improvements.
- Strong background in graphic design with a specialization in visual design projects.

Attributes:
- Actively seeking first job as a UI/UX designer.
- Looking for a position that offers opportunities for professional growth, exciting projects, team collaboration, impact on product quality, professional prestige, flexible work schedule, and career development."
140,"- Demonstrable graphic design skills with a strong portfolio
- Strong communication skills and ability to develop and deliver polished presentations
- Strong attention to detail and excellent documentation skills
- Strong understanding of web design principles, typography, color, and page layouts
- Strong analytical skills, including detailed analysis of application performance and trends
- Passion for design, creativity, and a positive attitude within agile development
- Professional-level knowledge of design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
- Excellent people skills with strong verbal and written communication
- Creativity, strong logic skills, and ability to work in dynamic, challenging environments
- 4 years of experience as a graphic designer and UI/UX designer
- Experience in freelance work creating logos, social media posts, landing pages
- Typography experience in preparing for printing and designing brand merch
- Developed brand identities and strategies, including work with branding agency “onO” Nova Market
- Design process includes gathering requirements, user stories, user research, and developing intuitive visual designs
- Passionate about creating brand identities and websites for businesses
- Enjoys working with deadlines to ensure efficient project completion. "
141,"Svitlana

Graphic & Web Designer with 8+ years of experience in Graphic Design and 2+ years in UI/UX design. Currently working at Libertex group, specializing in online trading and investment.

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, style guides, icons
- Presentation design (digital, print)
- Design drafts and mock-ups
- Design for offline exhibitions
- Illustrations and educational materials
- Brand books and pitch decks
- Infographic and print design
- Logo design

Tools:
- Figma, Adobe Photoshop, Illustrator, XD, InDesign, Sketch, Principle
- Jira, Trello, Asana

Project areas:
- FinTech, Trading, Investing, Marketing
- Cryptocurrencies, Blockchain

Passionate about design, ambitious for personal growth, and deadline-driven. Strong self-management, analytics, collaboration, and understanding of user and client needs. Seeking a full-time remote position."
142,"Graphic Design Specialist, SMM Manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Key Responsibilities:
- Visual concept development for advertising campaigns across various platforms
- Collaboration with sales and product marketing teams
- Production of visuals for advertising campaigns
- Creation and adaptation of printed materials for all product categories
- Design and production of POSM materials such as toppers, stickers, banners, and posters
- Preparation of materials for printing
- Production and adaptation of banners for all product categories on LG website
- Support in transitioning to a new visual concept for the website in 2020
- Design and adaptation of product cards materials
- Reference for annual social media strategy, approval, and control
- Preparation of monthly content plan with situational adjustments
- Production of materials for social media publication
- Curating a digital agency for social media management
- Approval of visuals and copyrights for social media content
- Communication between agency and product managers
- Weekly reporting on key indicators, competitor analysis, and activity results
- Design of social network elements
- Curating social platform competitions."
143,"Anastasia
Graphic Designer

Experience:
- Branding development for companies in various industries such as fashion, architecture, education, HoReCa, financial, and industrial sectors.
- Creating and developing visual design styles for personal, product, and corporate brands.
- Website development with a focus on business objectives and user-centered interface design.
- Providing recommendations and consultations on graphic design strategies aligned with marketing objectives.
- Designing a wide range of marketing materials including postcards, flyers, posters, infographics, brochures, vehicle wraps, email marketing templates, social media ads, banners, etc.
- Leading the design, development, and implementation of graphic communication materials.
- Managing a design team and overseeing project elements.
- Supervising the production process of printed products from layout creation to client delivery.
- Crafting engaging presentations to effectively convey clients' messages.
- Generating unique illustrations through photo and video production for business promotion.

Portfolio available on Behance – besdna.

Skills:
- Branding
- Web Development
- Creative Problem-Solving
- Project Management
- Communication
- Team Leadership

Seeking opportunities to collaborate with forward-thinking individuals on impactful projects."
144,"Winner of the ""Nanoscience as Art"" contest at the ""IEEE NAP-2021"" conference with the work ""Invisible Orchid,"" featuring an image of scanning electron microscope of calcium carbonate powder. Conducted SEM investigations as part of the PROM Program ""International Scholarship Exchange of PHD Candidates and Academic Staff"" at Lodz University of Technology.

Experienced graphic designer with over four years of experience. Responsible for creating graphic support for university information campaigns, including designing banners, flyers, advertising and greeting cards, presentations, posters, and infographics for electronic and print use. Key projects include the 100th anniversary celebration of the university, annual admissions campaign, and establishing international partnerships through presentations at conferences. Also worked on social media content, packaging, and educational materials for a foreign beauty school. Skilled in logo and brand design, presentation design, print materials, mockups, technical design, and photo editing."
145,"Experience

Graphic Designer
Company Name (Dates)

- Developed a captivating brand identity for a startup
- Executed successful marketing campaigns with engaging visuals
- Managed multiple projects, meeting deadlines and exceeding expectations
- Received recognition for attention to detail and creativity"
146,"Throughout my career, I have honed my expertise in various design disciplines, including branding, web design, and print media. I have worked with diverse clients across different industries, enabling me to adapt my design approach to meet their unique needs and objectives. By combining my technical skills with a deep understanding of visual aesthetics, I have consistently delivered visually captivating and effective design solutions.

I have successfully managed multiple design projects from concept to completion. I collaborate closely with clients and cross-functional teams to ensure the delivery of high-quality designs within strict deadlines. My ability to communicate effectively and present design concepts have helped me foster strong relationships with clients, leading to repeat business and positive feedback.

In addition to my technical skills, I am proficient in industry-standard design software such as Adobe Creative Suite, Blender, and Figma. I stay up to date with the latest design trends and techniques, constantly seeking new sources of inspiration to enhance my work."
147,"ArtCraft Education LLP – Online Course Game Graphics (2021)
ArtCraft Education LLP – Online Course Anatomy (2020)
ArtCraft Education LLP – Online Course Digital Drawing (2019)
IT School “Advanced graphic design” course Adobe Photoshop, Adobe Illustrator (2017)

UI/UX Designer. 2D Graphic designer with 4 years of experience in digital design.

Responsibilities:
- Creation of icons, logos, layouts of various degrees of complexity
- Designing marketing materials such as press-wall illustrations, banners, notebooks, posts on social networks, etc.
- Working with UI/UX design for websites and mobile applications (iOs/Android)
- Creating workflow diagrams
- Preparing templates for presentations, portfolio, and backgrounds for mobile games

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator
- Knowledge of basic rules and principles of drawing and painting in CG (light, shadow, tone, color, perspective, anatomy, etc.)
- Drawing by hand using Wacom Intuos 4 Digital Tablet
- Knowledge of Sketch, Figma, inVision, Abstract, Craft plugin
- Experience in working with international clients and communication (e-mail/calls) with them."
148,"- Successfully launched a product/brand in the U.S., U.K., and European markets.
- Bachelor's degree in graphic design (BFA).
- Proficient in creating brand strategies, conducting research, analysis, and designing. Skilled in high-quality management, team leadership, communication, conflict resolution, and building collaborative relationships.
- Experience in market research, customer interviews, creating questionnaires and polls for marketing purposes.
- Background in teaching, able to provide lectures and educational material for colleagues.
- Committed to fostering trust and maintaining a healthy work-life balance for both personal and professional growth."
149,"I am a highly skilled graphic and web designer with over ten years of experience specializing in the design of web and mobile applications, logo design, and corporate identity. Combining extensive experience with the latest design trends and technologies to deliver high-quality solutions.

PROFESSIONAL EXPERIENCE:
UI/UX Designer | May 2019 - October 2022
Collaborated remotely on various B2B projects, designing and optimizing corporate websites, dashboards, and mobile apps using Figma.

UI/UX and Graphic Designer | November 2015 - June 2019
Key contributor to a Canadian real estate startup, leading the design of websites and mobile interfaces. Utilized Photoshop and Figma to create captivating visuals and user interactions, as well as developing printed promotional materials.

Web Designer | February 2012 - March 2019
Worked within an Israeli digital agency on internal projects and client designs. Collaborated on website designs for fashion design software using Sketch, Figma, and Photoshop.

Actively seeking remote positions with exciting projects and opportunities for skill development, thriving in team-oriented environments to achieve exceptional results."
150,"- Experienced multidisciplinary designer with 6 years of background in graphic design
- Worked with over 50 clients on various projects
- Specialized in UX/UI design with a focus on product and user experience
- Skilled in creating web applications from scratch and completing multiple e-commerce projects independently
- Experience in teaching junior designers
- Proficient in team collaboration and eager to further develop skills in a creative environment."
151,"Graphic designer with over 7 years of experience specializing in logo design, corporate identity and branding, presentation design, web and mobile application UI/UX design, labels design, e-mailers/newsletter designs, graphics for social networks, and iconography. Proficient in Adobe Illustrator CC, Adobe Photoshop CC, Figma, Adobe XD, Marvelapp, Prezi, PowerPoint, Google Slides, Canva, GIMP, Inkscape, web design, print design, logo design, illustration, and digital illustration. Available 7 days a week, providing daily project updates and meeting project deadlines consistently. Portfolio available for viewing."
152,"Education:
Kharkiv State Academy of Design and Art
Speciality: Interior Design
2016-2018

Skills:
Graphic Design:
- Conceptualizing visuals based on requirements
- Creating graphics and layouts for corporate websites, landing pages, and social media
- Ensuring final graphics are visually appealing and on-brand
- Creating presentation decks
- Working with design software (Adobe Photoshop, Illustrator, InDesign, XD, Microsoft PowerPoint)
- Keen eye for aesthetics and details

Web/UI Designer:
- UI/UX Design for web and mobile
- Principles of Ease of Use in Website Design
- Understanding site meaning, accents, and hierarchy in design
- Typography, composition, and coloristics
- Prototyping
- Creating icons, banners, and illustrations
- Responsive design
- Printing design
- iOS and Android UI design guidelines
- Decoration for Behance platform
- Freehand drawing and painting

Qualities:
- Aesthetic and artistic taste
- Perfectionism
- Perseverance
- Attention to details
- Creativity
- Analytical and logical thinking

About Me:
Graphic and Web designer with a focus on learning and gaining experience. Responsible, aesthetic approach with a strong understanding of web design and visual trends. Quick learner, interested in self-development and passionate about the field."
153,"Over 12 years of experience with more than 2000 projects ranging from small to large for clients including Unilever, Lipton, DHL, Hyundai, Genesis, and more. Specializing in UX/UI, web design, illustrations, infographics, printing, package, and identity design. Proficient in Adobe Photoshop, Adobe Illustrator, Adobe InDesign, and skilled in hand drawing. Seeking opportunities to work on large and complex projects that allow for creative freedom and brainstorming for innovative solutions."
154,Enthusiastic and creative designer with 3+ years in graphic design and 2+ years in UI/UX design. Experienced in designing websites and social media content that have resulted in increased audience engagement and visibility. Skilled in developing visual solutions for communication challenges and creating engaging designs. Aspiring to join a friendly and professional team to enhance corporate identity and improve graphic communication with customers.
155,"Professional skills: 
- Freehand drawing: over 15 years
- Adobe Photoshop
- Adobe Illustrator
- Corel Draw
- UI/UX design: Figma, InVision
- Basic skills in Zeplin, Wordpress, Tilda, Adobe Premiere

Responsibilities:
- Created more than 5000 creatives
- Collaborated effectively with team members
- Open to acquiring new experience and skills
- Proficient in composition and color theory
- Skilled in working with briefs and developing personal concepts
- Ability to quickly process information
- Strong attention to detail and requirements
- Demonstrated sense of taste and style

Experience:
- 5+ years in graphic design, 1 year in UI/UX
1. Designer-freelancer at Upwork from 09.2016 – present
- Developed corporate identity designs including logos, business cards, and banners
- Successfully managed complex tasks and communicated with clients in English

2. Designer-engraver at Planet of Gold from 04.2019 to 01.2021
- Created social media content, advertisements, and prepress materials
- Designed layouts for laser engraving on jewelry and conducted retouching tasks

3. Advertising content designer at CONCEPTA (Kyiv remotely) from 06.2021 to 03.2022
- Produced advertising creatives and content for e-commerce and natural cosmetics brands on platforms such as Facebook, Instagram, Amazon, and Google
- Enhanced visual materials, conducted photo retouching, and developed design elements for company websites, landing pages, and advertisements

Recommendations available upon request. Seeking a graphic design role focused on branding or social media content with a desire to further develop skills and expertise in UI/UX design."
156,"Work Experience:

Upwork as a GRAPHIC and Brand identity designer - June 2022 to present

- Creating marketing materials for YouTube including banners, logos, and watermarks
- Developing logos for clients in the USA
- Designing packaging for clients in the Netherlands and the USA
- Creating label designs for Dutch craft beer
- Executing projects on brand formation, brand development, and marketing materials for the web and print

Citrus - Odessa as a Graphic designer - September 2021 to February 2022

- Designing layouts for household and computer equipment promotions on the website and outdoor advertising
- Creating printed materials to support corporate style
- Adapting layouts for brands such as Samsung, BOSCH, Philips, JBL, XIAOMI, OPPO, HUAWEI to Citrus corporate identity
- Adapting banners for social networks, Google advertising, and mass media
- Preparing printed materials using Corel Draw

Upwork as a GRAPHIC designer - February 2021 to September 2021

- Collaborating with clients from the Netherlands and the USA
- Designing labels for beer products
- Creating advertising banners for Instagram, Facebook, and Google
- Developing a brand book for a private clinic in Gayvoron (Ukraine)
- Designing a logo for a music equipment supplier in Lozova (Ukraine)
- Designing beer product labels in Folsgare (Netherlands) and stickers for Telegram in AI and Corel Draw."
157,"UI/UX Designer with 3 years of experience creating clear and intuitive designs to enhance user experience and engagement. Specialize in developing layouts, prototyping, testing user interfaces, analyzing user behavior, and technical integration. Worked independently designing websites for small and medium-sized businesses, as well as created landing pages for small and medium-sized businesses at Comportal. Also served as a Freelance Graphic Designer at Resource Group and Graphic Designer at Liga.net, developing marketing materials for print layouts, banners, and collages to increase audience reach, trust, and loyalty. Collaborated with development teams, marketers, and project managers to ensure project completion."
158,"- Experienced HR Manager with a background in photography and graphic design
- Graduated with a degree in Computer Technology and studied programming
- Currently pursuing UX/UI courses with a strong understanding of psychology
- Reliable, responsible, and creative individual with a desire to contribute to a team environment"
159,"I have been working as a UX/UI & Graphic Designer as a freelancer since June 2022. Here are the projects and tasks I have worked on:

- Redesigned the website for Azerinshaat Service LLC, resulting in a 40% decrease in bounce rate and a 50% improvement in load speed on mobile devices.
- Designed the app interface for Yarat Contemporary Art Space, including user flow, UI kit, and visual design prototypes.
- Redesigned the website for City Net Internet Service Company, increasing annual revenue by 34% and user response by 20% through user research methodologies and data-driven design.
- Designed a Landing Page for Poligal-Vostok, The Secret Garden Flower Shop.
- Designed the E-commerce Website for Buta Art & Sweets Online Cooking Course and Social Entrepreneur.
- Designing a portfolio website for a social entrepreneur whose sales have doubled.
- Branding for a Romashka Flower Shop
- Literary Magazine Branding (& app/website design)

I utilized graphic design software like Adobe Photoshop, Adobe Illustrator, and Sketch for creating design layouts and visual elements. I also used prototyping and design systems tools such as Figma, InVision, and Adobe XD. Additionally, I employed user research techniques such as surveys, interviews, and data analytics.

Currently, as a freelancer, I work independently, interacting with clients to understand their requirements and delivering the desired results.

In terms of my future development, I aim to expand my skills by learning new technologies and tools. I also plan to deepen my expertise in UX research and delve into user data analytics. Furthermore, I aspire to take on more challenging projects and collaborate with diverse teams to enhance my professional growth."
160,"Experience as a Graphic & UX/UI Designer:

- Managed to demonstrate a high level of soft and hard skills, leading to an increase in the graphic design team x2 during collaboration with client
- Graphic Designer for 2 years
- UX/UI Designer for >1 year

Responsibilities:
- Utilize graphic tools and techniques to help businesses grow wisely
- Make design decisions based on deep understanding of business needs, user pain points, and market trends
- Conduct market research, develop brand identity, create graphic content, and collaborate with Marketing department to achieve business and sales goals
- Mentor new designers, provide regular feedback, and build a strong design team
- UX/UI tasks include user and competitors research, design system and UI kit development, informational architecture building, user flow creation, wireframing, design prototyping, and client communication
- Proficient in Adobe Illustrator, Photoshop, Figma, Procreate, and Miro

Looking for a company or project that inspires creativity and allows for experimentation with new approaches and techniques. Seeking a professional and collaborative team that challenges for continuous learning and growth."
161,"As a graphic, web, and UI/UX designer, I specialize in creating visually appealing websites with user-friendly interfaces and immersive digital experiences. I have developed captivating graphics, logos, and branding materials that effectively communicate brand identities.

I have completed comprehensive design courses and have gained experience as a freelance designer for nearly half a year. My portfolio includes crafting welcome brochures, websites for businesses such as perfume stores, photographers, start-ups, and hotels, as well as designing a dashboard for a local bank, a website for a solar panel company, a menu for a local restaurant, and a cinema app.

I am now seeking new opportunities to further refine and expand my design skills. I do not engage in projects involving adult websites or gambling game design, as I prefer to work on projects that align with my values and interests and have a positive impact on a wider audience."
162,"Completed over 25 web and 15 complex product cases.
 
Over 8 years of global experience in various countries including USA, Canada, Singapore, Israel, Indonesia, Thailand, Australia, UK, Belgium, Germany, Poland, Russia, Belarus, Ukraine.
 
Experience in diverse domains such as marketing, logistics, field services, healthcare, project management software, real estate, retail, manufacturing, start-ups, social activity, it-outsourcing, new media, blockchain and crypto, legal, sports, personal branding/blogs.
 
Specializing in Design Systems and User Experience of Advanced SAAS Apps as a Product Designer. Skilled in design management, discovery phases, interaction, prototyping, and implementation maintenance. 
 
Proven track record of working with global teams and companies across various domains and project sizes. Strong advocate for Human-centric approach and Lean UX methods to deliver aesthetic, pragmatic, and functional cross-platform products. 

Experienced in thriving within company design cultures, with driven team leaders, and in remote settings."
163,"- Designed over 40 successful digital products
- Led design teams and projects globally
- Experience in product management and launching startups
- Mentored junior designers, conducted lectures and workshops
- Created and operated over 30 brands and trademarks in the market
- Holds a respectable UX certification
- Received international design awards
- Served as a jury member at international design competitions
- T-shaped design generalist with product thinking and 15+ years of experience
- Expert in setting up product design teams and processes
- Managed UI/UX design teams
- Hands-on experience in UX design, prototyping tools, user testing, mobile and responsive design, branding, and HTML/CSS
- Skills in UX architecture & design, data mining, user testing, visual design, UI design, product management, prototyping, and more
- Experienced in company management and understanding of business needs
- Seeking opportunities in a product company to influence direction and product vision
- Available for part-time design consultancy services
- Not interested in project or operation work at outsourcing firms
- Open to remote or relocation within USA, UK, or Europe
- Flexible and open to changes and cross-disciplinary design projects
- Particularly interested in AR/VR projects (excluding game development)"
164,"Creation of a design department, attracting projects and clients for added profit. Product design from idea to launch, saving business multiple times. Improving existing products and successfully implementing 50+ projects.

Over 10 years UI/UX Design experience and 5+ years Design Team Management (20 members). Skilled in resource management, planning, hiring. Proficient in design strategy, employee performance monitoring, project distribution. Expert in growing interns to senior/team leads.

Experienced in budgeting for design departments, pre-sales, project estimation, contract review. Knowledgeable in medium to large-scale projects in Fintech, Healthcare, Telco, Gaming, E-commerce. Strong self-management, analytical mindset. Excellent collaboration, problem-solving skills. Under pressure, skilled in design analysis, research, prototyping, testing, usability audits, design systems. Creative concept development for interfaces, passionate about product development, profit, quality."
165,"- Experienced in designing successful Fintech products for mobile and web platforms
- Established and led design departments for international consulting firms
- Founded and managed multiple businesses including a photostudio, rental company, and production company
- Proficient in delivering professional business presentations as a trainer in Kyiv and Berlin
- Skilled in designing applications for banking (mobile, web, Fintech) for B2B and B2C markets
- Designed payment cards for banks meeting Mastercard requirements
- Specialized in branding, corporate graphics, and leading teams
- Launched startups from inception including a photostudio, design department, and rental service
- Developed and implemented design departments for foreign consulting firms
- Created comprehensive documentation and educational materials on presentation design
- 12 years of experience as a Graphics Coordinator in a Consulting Company
- Experienced photographer and retoucher
- Proficient in Google Ads and Google Analytics

Tools:
Figma, Adobe Photoshop, XD, Adobe Illustrator, Premiere Pro, Lightroom, InDesign, Acrobat, Capture One, Jira, Slack, Powerpoint, Microsoft Office, Google Analytics, Google Adwords, Wordpress."
