,Modified_deepseek-chat_of_CV_Modeldeepseek-chat
207,"[Your Name]
[Your Contact Information]

ABOUT ME
Junior UI/UX Designer with experience in both team and individual design projects. I execute the full design cycle, from analysis and ideation to prototyping, interface design, and adaptation. Skilled in creating user-friendly, easily navigable interfaces. Seeking to contribute to interesting projects that achieve goals and solve problems.

PROJECT EXPERIENCE

UI/UX Designer | Flower & Gift Delivery Mobile App
[Month] 2023 – Present
- Contributing as a team member to the development of a mobile application for flower and gift delivery.

UI/UX Designer | Pet Search Webservice ""NADIYA""
December 2022 – February 2023
- Collaborated in a team to develop a webservice for helping owners locate lost pets.
- Conducted competitor analysis and developed user personas.
- Created sitemap, high-fidelity prototypes, and user interface designs.
- Ensured final design was simple, usable, and visually pleasing.
- Gained experience in remote teamwork, communication, organization, delegation, and time-management.

UI/UX Designer | Website Redesign for ""MIMINO"" Restaurant & Hotel Complex
October 2022 – November 2022
- Executed a full redesign of an outdated website to improve its attractiveness, modernity, and usability.
- Analyzed the existing site to identify disadvantages and develop solutions.
- Conducted research and gathered references.
- Created a detailed prototype, visual design, and adapted the final product.

UI/UX Designer | Landing Page for Yoga Studio
[Month] [Year] – [Month] [Year]
- Independently designed and developed a landing page for a yoga studio.

SKILLS
- Full Design Cycle: Analysis, Ideation, Prototyping, UI Design, Adaptation
- User-Centered Design
- Team Collaboration & Remote Work
- Communication & Organization
- Time-Management"
208,"**JUNIOR UX/UI DESIGNER**

**PROFILE**
A detail-oriented, self-motivated, and focused Junior UX/UI Designer passionate about creating high-quality digital products for users and businesses. Eager to join a team and contribute to impactful design processes.

**SKILLS & TOOLS**
*   **Design Tools:** Figma, Adobe Photoshop, Adobe Illustrator, Canva
*   **UX Methods:** Design Systems, User Flows, Customer Journey Maps (CJM)
*   **Research & Analysis:** Competitor analysis, user interviews, SimilarWeb

**PROJECT EXPERIENCE**

**Barbershop Landing Page**
*   Designed a promotional landing page for a new barbershop in Ukraine to showcase services and attract customers.
*   Created the complete visual design and layout using Figma and Adobe Photoshop.

**India Cafe Website Redesign**
*   Redesigned an outdated website to improve visual appeal, attract more visitors, and highlight the cafe's advantages.
*   Conducted competitor analysis and user interviews to inform the design process.
*   Delivered an attractive, functional website design.

**Look For – Web Service Platform**
*   Collaborated on a team project to create a safe and convenient platform for finding accommodations.
*   Analyzed the target audience and contributed to interface clarity and User Interface design.
*   Assisted in designing the platform across three key stages: user-end interface, payment interface, and admin-side interface.
*   Utilized Figma, Canva, and Adobe Illustrator for design execution.

**PERSONAL PROJECTS**
Successfully created and delivered two independent design projects and one collaborative team project."
209,"**PROFESSIONAL SUMMARY**
A dedicated UI/UX Designer with a strong foundation in graphic design and 8 years of professional creative experience, including 3 years in a leadership role as Chief Designer. Combines a deep understanding of visual principles with a user-centered approach to create intuitive, adaptive, and modern digital products. Seeking to apply extensive design and team management skills to contribute to a forward-thinking IT company.

**PROFESSIONAL EXPERIENCE**

**Chief Designer (Head of Department)**
*3 years*
*   Organized and prepared the company's creative projects, developing concepts and designs in accordance with corporate style.
*   Managed the department's work process and coordinated employee tasks.
*   Key projects executed:
    *   Re-design of the company website.
    *   Interface design for a popcorn machine.
    *   Landing page design for KinoboardPRO.
    *   Design project for a city café, including interior design of a conference hall.

**Graphic Designer**
*8 years total professional experience*
*   Accumulated extensive, hands-on experience across various graphic design disciplines and projects.

**EDUCATION & UI/UX TRAINING**
Completed a UI/UX design course, working on curriculum projects including:
*   Adaptive redesign of an existing website.
*   Adaptive design of a web service for a cleaning company's employee hiring.
*   Development of a mobile application for restaurant table booking.
*   Completion of numerous short web design tasks per the curriculum.

**PROJECT EXPERIENCE**

**Website Redesign | MAINSAIL Realty Company**
*   Redesigned the website to update its visual style, organize content into logical sections, and create simple navigation.
*   Designed convenient forms and interactive elements to improve user comfort and ease of interaction.
*   Conducted initial competitor research and analysis.
*   Created wireframes and a UI kit, followed by adaptive designs for tablet and mobile.
*   Maintained the existing site's color scheme during the redesign.

**Interface Redesign | Popcorn Machine for Kinoprokat-Sumy**
*   Redesigned the standard machine interface to align with the company's brand colors and style.
*   Modified background, button colors, and fonts while adhering to existing button sizes and layout constraints.
*   Developed a new set of icons and created several animations for the interface.

**SKILLS & CAPABILITIES**
*   **UI/UX Design:** User-Centered Design, Wireframing, Prototyping, Adaptive/Responsive Design, UI Kits, Design Systems.
*   **Graphic & Visual Design:** Brand Identity, Typography, Layout, Color Theory.
*   **Leadership:** Creative Direction, Project Management, Team Coordination, Workflow Organization.
*   **Tools:** Proficiency in industry-standard design software (e.g., Figma, Adobe Creative Suite).
*   **Soft Skills:** Result-oriented, team player, passionate about continuous learning and professional growth.

**CAREER OBJECTIVE**
Aspiring to deepen my experience in IT and grow as a UI/UX designer. Passionate about creating business-focused digital products that are easy to use, logically intuitive, and feature modern interfaces. Committed to delivering the best possible design for clients and contributing my full experience to help a company increase its profitability.

**PREFERENCES**
*   Seeking a reliable and qualified company that offers opportunities for career and financial growth.
*   Prefer a flexible work schedule to maintain a healthy work-life balance.
*   Remote work is strongly preferred."
210,"[Your Name]
[Phone Number] | [Email Address] | [Location] | [Portfolio Link]

**Summary**
Motivated junior UI/UX designer with a background in HR and a strong passion for design and innovation. Proven ability to create visually appealing and user-friendly digital products. A fast learner, responsible, and eager to tackle challenging tasks in a collaborative, innovative environment.

**Project Experience**

**Eventize – Mobile Application** | 2023
A mobile application for discovering, booking, and planning events and venues.
*   Designed a comprehensive platform for users to create and manage events.
*   Developed a user interface enabling item selection by category and planning of essential tasks.

**Guesture – Web Application** | 2022
A web service facilitating work and travel exchanges for students and young adults.
*   Contributed to the design of a platform connecting guests with hosts through payment or task exchange.
*   Focused on creating a user-friendly experience for a target audience seeking affordable travel opportunities.

**Skills & Attributes**
*   UI/UX Design
*   User-Centered Design
*   Visual Design
*   Wireframing & Prototyping
*   Fast Learner
*   Responsible
*   Collaborative"
211,"**JUNIOR UX/UI DESIGNER**

A responsible Junior UX/UI Designer with a strong focus on user experience (65%) and visual design (35%). Detail-oriented and committed to delivering well-thought-out, high-quality work. Currently seeking opportunities with clients who value professional work and time.

**PROFESSIONAL EXPERIENCE**

**Team Leader & UX/UI Designer** | Pet Project: ""Shine"" Web Service
*   Lead organizational aspects for a team developing ""Shine,"" a web service for cleaning companies.
*   Participate actively in project work while providing inspiration and support to team members.
*   Ensure a positive and productive team dynamic throughout the project lifecycle.

**PROJECTS**

**Landing Page: ""FlowerLover""** | Pet Project – Flower Delivery
*   Designed a minimalistic one-page website for flower delivery, balancing abundant imagery with an uncluttered user interface to facilitate clear user actions.
*   Executed full design process: competitor & target audience analysis, reference selection, moodboard creation, wireframing, prototyping, and UI-kit development.
*   Implemented subtle animations and created fully responsive adaptations for tablet and mobile devices.
*   Compiled a comprehensive case study on Behance.

**Website Redesign: ""A Kids Place Childcare""** | Modern Kindergarten
*   Redesigned the website for a modern kindergarten to improve client engagement and address declining coverage.
*   Conducted analysis of the existing site to identify core problems, followed by target audience and competitor research.
*   Managed the design pipeline from reference sourcing and moodboard creation to wireframes, prototypes, and a dedicated UI-kit.
*   Developed responsive adaptations and added animations.
*   Delivered a successful redesign that met project goals, documented in a Behance case study.

**SKILLS & METHODOLOGY**
*   User Experience (UX) Design
*   User Interface (UI) Design
*   Responsive Web Design (Desktop, Tablet, Mobile)
*   Design Process: Research & Analysis, Wireframing, Prototyping, UI-Kit Creation
*   Competitor & Target Audience Analysis
*   Moodboard & Reference Curation
*   Basic Animation
*   Case Study Development
*   Team Leadership & Collaboration"
212,"**PROFESSIONAL SUMMARY**
UI/UX Designer with experience in user research, interface design, and prototyping. Skilled in creating clear web layouts, interactive applications, and design systems. Proven ability to analyze user needs, test prototypes, and utilize data for design improvement. Collaborative team player with a background in client-facing roles.

**WORK EXPERIENCE**

**alkima web & design**
UI/UX Designer | March 2023 – Present
*   Conduct user experience research.
*   Create sitemaps, wireframes, and user interfaces.
*   Design and build using Webflow builder.
*   Create website banners and social media creatives.
*   Develop logos and design system concepts.

**Vinnytsia Distribution Company**
Sales Manager | January 2019 – February 2022
*   Collaborated within a team in a client-facing role.

**SKILLS**
*   User Experience (UX) Research
*   User Interface (UI) Design
*   Wireframing & Prototyping
*   Webflow Development
*   Design System Development
*   Sitemap Creation
*   Graphic Design (Logos, Banners, Social Media Creatives)
*   Data-Driven Design Improvement
*   Team Collaboration & Client Relations"
213,"**PROFESSIONAL SUMMARY**
A motivated UI/UX designer and software tester with hands-on experience in design processes and quality assurance. Proven ability to create seamless, user-centric designs and ensure software functionality through structured testing. Seeking a flexible or full-time position to contribute to productive and user-friendly projects.

**SKILLS**
*   UI/UX Design: User Research, Competitive Analysis, Wireframing, Prototyping, User Flow, Customer Journey Mapping (CJM), Visual Design, Adaptation
*   Software Testing: Test Case Creation & Execution, Bug Reporting
*   Tools: Figma, Adobe Illustrator, Slack
*   Technical: SQL
*   Soft Skills: Fast Learner, Responsible, Collaborative

**PROJECT EXPERIENCE**

**Redesign for “A Kids Place Childcare” Website** | Study Project
Redesigned the website for a childcare center to create a structured, modern, and user-friendly interface aimed at providing a nurturing environment.
*   Executed full design process: User Research, Competitive Analysis, Wireframes, and Prototype.
*   Utilized Figma and Adobe Illustrator to achieve project goals.

**Web Service “Medical Clinic”** | Study Project
Designed a visual solution for a private medical clinic web service to facilitate in-person/online consultations, automate documentation, and enable patient doctor selection.
*   Contributed to foundational research: baseline study, brainstorming, Jobs-to-be-Done.
*   Developed User Flows, Customer Journey Maps (CJM), prototypes, and final UI with adaptation.
*   Collaborated using Figma, Adobe Illustrator, and Slack.

**PET PROJECTS & ADDITIONAL EXPERIENCE**
*   Successfully created and executed test cases to ensure software quality and functionality.
*   Generated comprehensive and accurate bug reports to help developers identify and resolve issues quickly.
*   Effectively utilized SQL to query databases and verify data accuracy."
214,"**PROFESSIONAL SUMMARY**
A dedicated UI/UX Designer with a strong educational foundation and freelance experience, recognized as Top Rated on Upwork. Proficient in CRM design, mobile applications, and design systems, with a constant commitment to professional development through ongoing coursework. Seeking to contribute to a collaborative team environment with challenging projects that foster professional growth.

**EDUCATION & CERTIFICATIONS**
*   UI/UX Design Advanced Level Course (First-Class Diploma) – IT School Hillel
    *   Graduated with honors, placing 2nd in student rankings.
*   Continuously enrolled in design-related online courses across various educational platforms.

**PROFESSIONAL EXPERIENCE**

**Freelance UI/UX Designer** | Upwork (Top Rated)
_Apr 2020 – Present_
*   Redesigned user interfaces for CRM systems to improve usability and workflow.
*   Created and maintained a comprehensive components library for a site-builder service.
*   Designed mobile applications from concept to final interactive prototypes.
*   Developed full CRM designs, including user flows, wireframes, and visual design.

**UI/UX Design Student** | IT School Hillel
_Sep 2019 – Mar 2020_
*   Completed intensive study in UX processes (user analysis, research, prototyping), typography, grid composition, animation, color systems, and responsive design.
*   Synthesized learned principles into a diploma project: a CRM System for a sports complex.

**Related Project Work**
_July – August 2019_
*   Designed a landing page for educational courses while working in an unrelated field.
*   Initiated collaboration with developers on testing and design for CRM and web-design projects, which solidified the decision to pursue formal UI/UX Design education.

**SKILLS & EXPERTISE**
*   **UI/UX Design:** User Research, Wireframing, Prototyping, Responsive Design, Design Systems, Component Libraries
*   **Project Types:** CRM Design, Mobile App Design, Web Design
*   **Tools & Principles:** Typography, Grid Systems, Animation, Color Theory
*   **Collaboration:** Developer Handoff, Cross-functional Cooperation"
215,"[Your Name]
[Your Phone Number] | [Your Email Address] | [Your Location] | [Portfolio URL]

**Profile**
Aspiring UX/UI designer with a foundation in user-centered design principles and a problem-solving mindset. Combines artistic sensibility with practical skills to create useful, effective digital products. Proficient in modern design tools and methodologies.

**Skills**
*   **Design Tools:** Figma (interactive prototyping, components, variants, auto layout), Adobe Illustrator, Adobe Photoshop, Tilda.
*   **UX Research & Strategy:** User Flow, User Story, Customer Journey Map (CJM), User Scenario, target audience research.
*   **UI Design:** Design systems, UI kits, Material Design & Human Interface Guidelines, adaptive design for desktop and mobile.
*   **Visual Design:** Vector and raster graphics, logo creation, color theory, typography, composition.
*   **Technical Knowledge:** Basic HTML and CSS.

**Project Experience**

**Car Trip Planning App**
*   Conducted UX research to inform design decisions.
*   Developed a design system and applied Human Interface design principles.
*   Designed a landing page for the application.

**Sign Language Study App**
*   Performed UX research to understand user needs.
*   Applied Human Interface and Material Design guidelines.
*   Designed the application's landing page.

**Vinyl Shop Website**
*   Designed a fully responsive website with dedicated desktop and mobile versions.

**Education & Professional Development**
Independent study and project-based learning in UX/UI design."
216,"**PROFESSIONAL SUMMARY**
A detail-oriented Designer with experience in individual and collaborative projects, including landing pages, website redesigns, web services, and mobile applications. Proven ability to execute user-centered design processes from research to implementation. Combines foundational technical knowledge with strong communication skills, a collaborative mindset, and a commitment to meeting deadlines. Eager to contribute to a team focused on creating user-friendly digital products.

**SKILLS**
*   User Interface (UI) Design
*   User Experience (UX) Research & Implementation
*   Responsive & Adaptive Web Design
*   Landing Page Design
*   Website Redesign
*   Design Cycle Execution
*   Team Collaboration
*   Client & User Flow Design
*   Communication & Feedback Integration
*   Time Management

**PROJECT EXPERIENCE**

**Medical Clinic Web Service** | *Team Project*
*   Contributed to a full-cycle website design for a medical clinic as part of a team.
*   Researched and implemented the patient-side user flow.
*   Designed key patient page features, including the selection between online appointments and in-person meetings.
*   Created interfaces for patients to view medical history and payment history.

**Website Redesign: “KIDS PLACE”** | *Individual Project*
*   Executed a full-cycle redesign to modernize the website and improve visitor attraction.
*   Developed an adaptive version of the site to enhance accessibility and expand the target audience.

**Landing Page: “Barbershop in Kyiv”** | *Individual Project*
*   Designed a one-page site to attract customers and promote services.
*   Structured content to effectively showcase services, master profiles, customer reviews, and competitive advantages.

**EDUCATION & FOUNDATIONAL KNOWLEDGE**
Solid foundational knowledge of design principles and professional tools acquired through dedicated IT courses.

**PROFESSIONAL PROFILE**
A quick learner who is purposeful, responsible, and ready to tackle complex tasks. Open to feedback, cooperative, and consistently ensures timely task completion. Actively seeking opportunities for professional development and growth within a full-time or part-time designer role."
217,"**PROFESSIONAL SUMMARY**
A dedicated UI/UX designer with experience in both client and team-based projects. Skilled in creating logos, corporate identity, and user-centered designs for websites, landing pages, and applications. Proficient in conducting market and competitor analysis, developing personas, wireframes, sitemaps, and UI/UX design. Committed to creating efficient and user-friendly interfaces while collaborating effectively within teams.

**PROJECT EXPERIENCE**

**Ina&Mi Brand Identity Project**
*   Collaborated directly with a customer to develop a logo and full corporate style for a modern women's clothing brand.
*   Utilized Adobe Illustrator, Photoshop, and InDesign to deliver the completed project to the customer's satisfaction.

**Pet Projects: Landing Page, Website Redesign, Housing Reservation Service, Restaurant Booking Application**
*   Conducted market analysis, competitor analysis, and developed personas, wireframes, and sitemaps.
*   Created UI/UX designs for various platforms, maintaining corporate style consistency in redesign work.
*   Utilized Figma and Adobe Photoshop in the design process.

**Team Project: Free Accommodation Booking Service**
*   Worked within a development team to study and analyze competitors and develop project strategies.
*   Gained experience in team collaboration, communication, and project coordination.

**SKILLS**
*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop, Adobe InDesign
*   **UI/UX Design:** Competitor Analysis, Persona Creation, Wireframing, Sitemapping, UI/UX Design
*   **Soft Skills:** Leadership, Flexibility, Creativity, Organization, Interpersonal Communication, Team Collaboration

**EXPECTATIONS & OFFER**
Seeks a team-oriented role focused on creating quality products that meet business and user needs, with opportunities for professional growth, training, and mentorship. Offers dedicated support to colleagues, creative problem-solving, a fresh perspective, and enthusiasm for shared learning and team success."
218,"JANE DOE
[Phone Number] | [Email Address] | [Location] | [Portfolio URL] | [LinkedIn URL]

SUMMARY
Highly creative and detail-oriented Junior UI/UX Designer with a passion for crafting intuitive and engaging digital experiences. Skilled in applying user-centered design principles to solve complex problems and meet the needs of diverse audiences. Eager to contribute to a dynamic and innovative team.

PROFESSIONAL EXPERIENCE

**Project Crypto Wallet** | UI/UX Designer
*Application, Full-Cycle Design*
*   Developed a secure and user-friendly platform for managing cryptocurrencies, focusing on complex design problems including security and data privacy.
*   Conducted extensive user research to understand target audience needs and incorporated feedback into the design process.
*   Created a user-centered design by implementing user-centered design principles to ensure the product met user needs.

**Redesign: Cucina di Catherina Online Store** | UI/UX Designer
*Online Store Website, Full-Cycle Design*
*   Redesigned the website to create a fresh, modern look aligned with the brand's vision, improving the user experience to be more intuitive and engaging.
*   Conducted user research and usability testing to identify pain points and ensure the new design addressed user needs.
*   Increased website traffic and engagement metrics post-redesign.

SKILLS
*   **Design Tools:** Adobe Suite (Photoshop, Illustrator), Figma
*   **UX Methods:** User Research, Personas, User Scenarios, Competitor Analysis, Wireframing, Prototyping, Sitemaps, User Flows
*   **UI Design:** Web & Mobile Interfaces, Landing Pages, Visual Interface Design, Icons, Logos, Illustrations, Style Guides
*   **Knowledge:** Google Material Design Guidelines"
219,"JANE DOE
[Your Phone Number] | [Your Email Address] | [Your City, State] | [Portfolio URL] | [LinkedIn URL]

PROFESSIONAL SUMMARY
Junior UI/UX Designer passionate about designing aesthetically pleasing and effective web and mobile applications. Driven to turn ideas into reality and create interfaces that solve problems and simplify daily goals for users. Employs a full-cycle design approach with a keen eye for detail, analyzing tasks, creating prototypes, designing visual styles, and implementing them into usable, simple end products.

EXPERIENCE

**Team Leader & UI/UX Designer**, Paw Rescue Project
*   Organized team workflow and coordinated tasks to ensure project milestones were met.
*   Designed the visual aspects and prototypes for the project, focusing on a modern and clear interface.
*   Conducted competitor analysis to inform website structure and user flow.
*   Collaborated with the team to create a user-friendly website for finding lost and found animals, utilizing a shared design system.

**UI/UX Designer**, Italian Sauce Website Redesign
*   Revamped website to attract customers and improve user-friendliness.
*   Conducted competitor research to identify successful design solutions.
*   Updated the color scheme, standardized photography, and implemented modern typography to enhance site appearance and convenience.
*   Created responsive design adaptations for mobile and tablet versions.

**UI/UX Designer**, Flower Lover Landing Page
*   Analyzed the target audience for a flower shop website.
*   Designed a clear interface from scratch, ensuring all necessary menu items were included.
*   Built a structured and user-focused landing page to meet client objectives.

SKILLS
**Design:** UI/UX Design, Visual Design, Wireframing, Prototyping, Responsive Design, Design Systems
**Process:** Competitor Analysis, User Flow Design, Full-Cycle Design, Team Collaboration
**Tools:** [List relevant software, e.g., Figma, Adobe XD, Sketch – *Add based on your actual skills*]

CAREER OBJECTIVES
Seeking a remote office position in a company that values mutual respect and a friendly atmosphere. Interested in opportunities offering corporate training, professional development, and clear paths for career growth."
220,"**PROFESSIONAL SUMMARY**
A dedicated Junior UI/UX Designer with experience creating user-centered designs for web services and mobile applications. Skilled in visual design, prototyping, and collaborating within teams to deliver intuitive and adaptive interfaces. Proficient in industry-standard tools and committed to continuous learning and inclusive design practices.

**SKILLS**
*   **UI/UX Design:** User Interface (UI) Design, User Experience (UX) Design, Wireframing, Interactive Prototyping, User Flows, Journey Maps, Responsive & Adaptive Design.
*   **Tools & Software:** Figma, Adobe Photoshop, Adobe Illustrator, Protopie, FigJam.
*   **Design Practices:** Design Systems, Visual Hierarchy, Asset Creation & Modification, Task Management, Deadline-Oriented.
*   **Languages:** Ukrainian (Native), Russian (Fluent), English (Upper-Intermediate), Polish (Elementary).

**PROFESSIONAL EXPERIENCE**
**Junior UI/UX Designer**
*   Designed user interfaces for various web services and mobile applications, focusing on usability and visual appeal.
*   Collaborated with teams to create responsive web layouts that perform well across different devices.
*   Designed mobile app screens with consideration for touch interactions, clarity, and organization.
*   Created layouts, mockups, and prototypes using Figma, Adobe Photoshop, and Protopie.
*   Adapted to diverse project requirements to improve design skills and deliverables.

**PROJECTS**
**Custom Concepts Tattoo Studio Website Redesign**
Redesigned an existing tattoo salon website to enhance customer convenience and usability. Implemented a refined main color palette, incorporated high-quality photography, created a simplified booking form, and established a new, structured visual hierarchy.

**PetRescue Web-Service for Searching Animals**
Designed a web application platform to help reunite lost pets with their owners. The project focused on creating an effective online space for reporting and searching for missing pets within a local area. Tools used: Figma, Adobe Photoshop, FigJam, Adobe Illustrator.

**ADDITIONAL INFORMATION**
*   Actively contributed to design projects for apps and websites, with a strong desire to continue learning and improving design skills.
*   Prepared to work on diverse projects and learn new methodologies in UI/UX design.
*   Committed to creating aesthetically pleasing, on-screen designs that are accessible and enjoyable for all users.
*   Receptive to feedback and diligent in iterating on designs to improve final outcomes."
221,"**Professional Summary**
Junior UI/UX designer specializing in creating digital experiences that are visually appealing and offer optimal usability. Experienced in designing landing pages, redesigns, web services, and mobile applications. Skilled in conducting UX research including in-depth interviews, questionnaires, and developing personas and empathy maps. Proven ability to lead projects, collaborate within teams, and present work to stakeholders.

**Professional Experience**
**Team Lead & UI/UX Designer** | Buki School Project
*   Organized and coordinated team workflow as the project lead.
*   Conducted comprehensive UX research: competitive analysis, heuristic evaluation, in-depth interviews, persona development, and surveys to address user challenges with the existing cabinet.
*   Designed a new, intuitive student cabinet interface to improve information accessibility and user engagement.
*   Created a clickable prototype for the redesigned cabinet.
*   Presented the final project and research findings directly to the customer.

**UI/UX Designer** | DocMe Web Service (Team Project)
*   Contributed to UX research utilizing competitor analysis, target audience analysis, personas, Job-To-Be-Done (JBTD), and Customer Journey Mapping (CJM).
*   Assisted in designing a web service to document and organize doctor-patient meetings, featuring automatic report generation and separate dashboard-style cabinets for doctors and patients.
*   Designed the service's main website and implemented design improvements for both the patient and doctor cabinets.

**Skills**
*   **UX Research:** Competitive Analysis, Heuristic Evaluation, In-Depth Interviews, Surveys, Persona Creation, Empathy Maps, Customer Journey Maps, Job-To-Be-Done.
*   **UI/UX Design:** Landing Pages, Web Service Design, Mobile Applications, Redesign, Prototyping, Wireframing.
*   **Tools:** (Note: Specify software tools, e.g., Figma, Adobe XD, Sketch, etc., if applicable)
*   **Collaboration:** Team Leadership, Project Presentation, Stakeholder Communication, Cross-functional Teamwork."
222,"**PROFESSIONAL SUMMARY**
A Junior UI/UX Designer with foundational training and project experience in user-centered design. Proven ability to contribute to team projects, conduct design research, and create intuitive interfaces. Seeking to apply theoretical knowledge in a collaborative environment focused on project excellence and professional growth.

**PROJECT EXPERIENCE**

**Junior UI/UX Designer | Project-Based Work**
*Mobile Application for a Coffee Shop Chain*
- Designed a mobile app with a youth-oriented style and intuitive interface.
- Executed full design process: competitor analysis, target audience analysis, persona and JTBD creation, user flow development, wireframing, visual design, and animation.
- Focused on developing well-structured functionality and visually appealing interface.

*Web-Service for Finding Lost Pets | Team Project & Leadership Role*
- Served as Team Leader, determining work direction, distributing responsibilities, and scheduling meetings.
- Conducted competitor analysis, target audience analysis, and created user personas, JTBD, CJM, and User Flows.
- Collaborated with the team to develop a design that met target audience expectations, resulting in an intuitive interface.
- Organized the workflow to ensure smooth team functioning and on-time project completion, receiving high mentor appraisal.

*Travel Agency Website Redesign*
- Redesigned a website to create a clear, concise design for a broad target audience.
- Addressed challenges of competitive differentiation and structuring large volumes of information.
- Performed competitor and target audience analysis, developed personas and user flows.
- Delivered a clean, neat design using quality photos through wireframing, UI design, adaptation, and animation.

**CURRENT PROJECT INVOLVEMENT**
*Web Service for Salary Calculation | Startup Collaboration*
- Collaborating with student developers on a web service to assist accountants and related professionals with calculating salaries and bonuses.

**EDUCATION & SKILLS**
- Completed a specialized UI/UX design course, encompassing design principles and their application to create user-friendly, visually appealing interfaces.
- Developed 6 study cases during training, gaining valuable foundational experience in UI/UX design.
- Core Competencies: User Research & Analysis, Persona & Journey Mapping, Wireframing, Visual Interface Design, User Flow Development, Basic Animation, Team Collaboration, Workflow Organization."
223,"[Your Name]
[Phone Number] | [Email Address] | [City, State] | [Portfolio URL] | [LinkedIn URL]

**UX/UI Designer**

A dedicated Junior UX/UI Designer with a background in digital marketing and a disciplined foundation from professional athletics. Combines a passion for intuitive design with a commitment to continuous learning and collaborative contribution. Skilled in translating project goals into creative, user-centered interfaces.

**Education**

**Digital Marketing Professional Certificate**
University of Miami
*Relevant Coursework: Digital Strategy, User-Centric Marketing Principles*

**Bachelor of Science in Hospitality and Tourism Management**
Minor in International Relations
Florida International University

**Skills**

*   **Design Tools:** Figma, Adobe Illustrator, Adobe Photoshop
*   **Core Competencies:** User Interface (UI) Design, User Experience (UX) Principles, Wireframing, Visual Design, Creative Problem-Solving, Attention to Detail
*   **Professional Attributes:** Collaborative Team Contributor, Adaptable Learner, Disciplined Work Ethic, Trend Awareness

**Professional Experience**

**Junior UX/UI Designer**
*   Designed a comprehensive web service for VitalMed, a private medical clinic, focusing on user-friendly patient interaction.
*   Executed a complete website redesign for a tattoo salon to enhance brand presentation and customer engagement.
*   Created a landing page for the Citroen C4, applying principles of visual hierarchy and conversion-focused design.
*   Developed all projects with a focus on creativity, detail, and adherence to high-quality standards to motivate user action.

**Additional Experience**

**Professional Athlete**
Ukrainian National Team
*   Cultivated exceptional discipline, resilience, and the ability to perform under pressure as part of a high-functioning team.

**Objective**

Seeking a supportive team environment where I can contribute to meaningful projects involving problem-solving, research, and creative thinking. Eager to apply and expand my UX/UI design skills on challenging work, learn from experienced professionals, and grow into a strong designer capable of creating impactful user experiences."
224,"**Professional Summary**
A detail-oriented Junior Web Designer with experience creating visually compelling web pages, marketing assets, and digital content for a warehousing software company. Skilled in translating concepts into functional designs through wireframes, mockups, and prototypes. Proven ability to collaborate effectively with cross-functional development and QA teams to deliver cohesive user experiences and marketing materials.

**Professional Experience**
**Junior Web Designer** | [Company Name, City, State – Optional]
*   Designed and implemented a new company website from initial concept to final launch, maintaining design control throughout the development lifecycle.
*   Created wireframes, mockups, and interactive prototypes to effectively communicate design concepts and user flows to stakeholders and team members.
*   Collaborated closely with developers and testers to ensure accurate implementation of designs and a consistent final product.
*   Produced a wide range of marketing materials, including social media graphics, YouTube video thumbnails, and promotional footage.
*   Scripted, recorded, and edited instructional YouTube videos demonstrating core product functionality to support user engagement.

**Technical Skills**
**Design Tools:** Figma, Adobe Illustrator
**Content Creation:** OBS Studio"
225,"JANE DOE
[Phone Number] | [Email Address] | [City, State] | [Portfolio URL] | [LinkedIn URL]

SUMMARY
Detail-oriented professional with a background in economics and auditing, seeking to transition into an entry-level UX/UI design role. Combines strong analytical skills, honed through a Master’s in Economics and auditing experience, with practical expertise in graphic design and user-centric visual communication. Proven ability to manage branding projects and create engaging digital content.

EDUCATION
Master of Economics, [University Name], [City, State] | [Year]
Bachelor of Economics, [University Name], [City, State] | [Year]

PROFESSIONAL EXPERIENCE
Graphic and Social Media Post Designer | [Education Center Name], [Hometown] | [Dates]
- Managed the complete branding process for the organization.
- Created engaging social media posts, eye-catching posters, and printable materials.
- Translated concepts into visually compelling designs with a focus on user-centric principles.

Auditor | [Company Name], [City, State] | [Dates]
- Conducted detailed financial and operational audits with meticulous attention to detail.
- Delivered accurate analysis and reports while adhering to strict deadlines.
- Developed strong analytical thinking and disciplined, precision-oriented work processes.

SKILLS
**Design:** Graphic Design, Social Media Design, Branding, Visual Design, User-Centric Principles
**Professional:** Analytical Thinking, Creative Problem-Solving, Attention to Detail, Deadline Management"
