,Modified_meta-llama/Llama-3.3-70B-Instruct-Turbo_of_CV_Modelmeta-llama/Llama-3.3-70B-Instruct-Turbo
128,"Remote Graphic, UI/UX Designer from Ukraine
4+ years of experience in creating user-centric designs for complex and specialized software products, including SaaS services, web apps, and mobile apps.

UX/UI Designer
ManyRequests, Aug 2020 - Nov 2020
- Reworked UX & UI of an existing product to enhance user experience
- Iterated and offered design versions based on feedback, user testing, and feature response
- Created on-brand design solutions meeting business goals and requirements
- Integrated new features according to user needs

Product Designer
Stress Point Health Ltd, Apr 2018 - Jun 2020
- Led UX/UI design project from idea to full UI, creating a mobile app for patients to access stress, anxiety, and trauma treatment
- Combined metrics and visualized them for human understanding
- Provided wireframes, user journeys, and prototypes for testing
- Facilitated usability testing sessions with 22 volunteers to ensure usability problem resolution

UI/UX and Web Designer
Propeller Digital Company, May 2016 - Dec 2019
- Led design decisions as the sole designer
- Designed all visible pixels, from websites to print materials and infographics
- Analyzed briefs to define user experience approaches and activities
- Translated concepts into wireframes, designs, and mockups for B2B and B2C markets
- Redesigned business presentations, logo, brand identity, and visual design of existing websites"
129,"Creative Intern, Phiture (6 months)
- Created illustrations and design assets for marketing team
- Adjusted designs to brand guidelines
- Conducted print design and photo retouching
- Developed marketing assets for clients, including Ad Hoc Labs and Tipp24
- Participated in A/B testing for Adobe
- Assisted in Quality Assurance processes

Master's Degree in Design and Journalism (3 years)
- Completed non-profit projects for a charitable organization, refining graphic and UI/UX design skills

Skills:
- Vector graphics, icons, and logos
- Application prototyping and branding
- Video editing and motion graphics
- Information and text management, with experience in multimedia journalism
- Graphic design
- UI/UX design"
130,"3+ years experienced Graphic and UX/UI Designer
Highly skilled in design principles, knowledge, and discipline, with a proven track record of delivering stunning works that combine my design aesthetic with client requests.

Professional Experience:

Eleven Kings Football Manager Game (Startup), Lausanne, Switzerland
Graphic and UX/UI Designer (3 years)
- Designed SMM Posters, magazines (EK MAG), and various advertising materials (Billboards, Posters, etc.)
- Created UI designs for the company, available on the Play Store
- Collaborated with an international team

Soccer City (Startup), Lausanne, Switzerland
Graphic Designer
- Designed different visuals for the company, a blockchain-based virtual soccer world

Mediamark Digital Agency
Graphic Designer (3 years)
- Worked with various clients and companies, providing high-quality design services

Upwork
Freelance Graphic and UX/UI Designer
- Collaborated with diverse clients worldwide, delivering tailored design solutions

Services:

- UX/UI design
- Mobile App Design
- Website Design
- Poster (SMM) Design and Advertising
- Magazine and Cover Design
- Digital Design, Photo Manipulation, and Photo Retouching
- Logo, Branding, and Guidelines
- Business Card, Flyer, Brochure, Banner, and Roll-up design
- Packaging and Label Design

Tools:

- Design: Adobe Illustrator, Photoshop, InDesign, Dimension, After Effects, Xd, Figma
- Prototyping and Wireframing: Adobe Xd, Figma, InVision
- Task Management: Trello, Meistertask, Notion, and other platforms

Testimonials:

- Orkhan Rzayev, CEO of Eleven Kings Game: ""Zeybullah's work is excellent. He understands the business and demonstrates that brilliantly with fantastic design creativity and execution that really wow us. He nails a brief perfectly.""
- Upwork client: ""Zeyb is a very creative and experienced designer who applies his skills brilliantly. He has an excellent attitude which, when you are looking for perfection in the fine details, is so important. Highly recommended and I definitely expect to do more work with him.""

As a dedicated and skilled designer, I ensure high-quality work, good-looking design, and constant communication throughout each project, guaranteeing 100% client satisfaction."
131,"Highly motivated and passionate individual with a strong interest in foreign languages, film photography, and painting.

Education:
NTUU ""KPI"" graduate

Experience:
Freelance Graphic Designer (2017-2018)
- Designed print advertising materials for various clients

Graphic Designer, Pyramida Technik (June 2018 - February 2020)
- Assisted the marketing team in creating visual materials for social media campaigns
- Designed presentations and print materials
- Redesigned company websites

Freelance Designer, Camping Trade (September 2019 - March 2020)
- Collaborated with designers and developers to establish the GioStyle brand website
- Created visual materials for social media campaigns

UX/UI Designer, AltRecipe (February 2021 - April 2022)
- Developed websites for desktop and mobile platforms
- Analyzed and improved existing interfaces
- Worked closely with the product team
- Created animations for interfaces

Graphic Designer (April 2022 - May 2023)
- Worked with French and Ukrainian companies, including Gr8Tech, Bourgogne en Douce, and O4Dance
- Provided graphic design services for various clients"
132,"Web-design and Development
UX-UI Website Design

Highly skilled Graphic Designer and Web Designer with almost three years of experience in creating Landing Pages and multi-page sites, considering user experience, user interface, and design adaptation for various devices. Proficient in the principles of graphic design, typography, and color.

Key Experience:
Project Manager, Website Development Department, Ukrainian Book Publishing House (2022)
- Conducted market research of bookstores
- Created templates and prototypes for the site
- Developed websites on Wbasyst and Wix platforms
- Managed hosting and recruited programmers for the project
- Successfully created a publishing house website and an online book store

3D Designer, 3D Company ""Hover"" (September 2020 - July 2022)
- Reproduced and modeled architectural structures using visualization methods
- Converted data from photographs into 3D objects
- Utilized 3D editors such as SketchUp, Blender, and Zbrush to create high-polygonal 3D models and characters

Technical Skills:
- Proficient in Figma, Photoshop, Illustrator, and Adobe XD
- Experienced in Adobe After Effects and Premier Pro
- Skilled in 3D design using SketchUp, Blender, and Zbrush

Career Interests:
Aspiring to engage in design development, including graphic design, with a focus on creating book covers, advertising banners, posters, and invitations. Committed to improving skills and acquiring new knowledge in the field of design."
133,"Summary:
Highly experienced graphic designer with over 5 years of experience, skilled in UI/UX design, graphic design, illustration, and marketing. Proficient in a range of design tools, including Figma, Adobe Photoshop, and Illustrator. Proven ability to advise clients on advertising strategies and user needs.

Experience:
Illustrator (3 years)
Graphic Designer (5+ years)
Marketer (2 years)
UX/UI Mobile Design (1 year)
Leading Designer, Marketing Department (various clients, including jewelry stores, household chemicals stores, restaurant, children's store, IT corporation)

Skills:
UI/UX Design
Prototype
Graphic Design
Vector Illustration
2D Illustration
2D Animation
Understanding of Mobile Guidelines
Knowledge of User Psychology
Design Flat Illustration and Animation
Deep Knowledge of Advertising
Shader Animation
Blender (basic)
Unity 3D (basic)

Tools:
Figma
Adobe Photoshop
Adobe Illustrator
Adobe After Effects
Lightroom
Corel Painter
Krita
Zeplin
Blender
Unity

Languages:
English (Conversational)
Ukrainian (Native)
Czech (Beginner)
Mandarin (Beginner)

Personal Statement:
Results-driven graphic designer with a strong passion for learning and development. Ready to relocate to any town or country, with a keen interest in working in the development department and exploring the world of mobile applications.

Achievements:
Participated in the opening of a restaurant at all stages of construction and promotion
Rebranded the department of a university
Created prints for T-shirts, book covers, and worked on game development"
134,"Daria
Chief Business Officer, 3DTOUR AGENCY

Results-driven professional with extensive experience in communications, marketing, management, and design. Proven track record of managing teams, developing strong client relationships, and delivering innovative projects in visual technologies, including 3D, 360photo, 360 video, aerial shooting, virtual reality (VR), and augmented reality (AR).

Summary:
Highly skilled and knowledgeable in design principles, Adobe Creative tools, project management, and marketing. Adept at combining innovative art and design principles to drive business growth and improve client transactions.

Professional Experience:
Chief Business Officer, 3DTOUR AGENCY
- Manage a team of developers and designers
- Develop strong relationships with clients
- Manage projects in innovative visual technologies
- Maintain a vibrant and ambitious attitude as a company representative

Design Skills and Experience:
- Lead website development teams and conception creation
- Develop brand identities for events and organizations
- Create marketing materials, including logos, brochures, newsletters, infographics, presentations, and advertisements
- Proficient in Adobe Creative tools, including Photoshop and Illustrator
- Experienced in UI, UX design, and illustration techniques

Education and Personal Development:
- Continuously study and learn design principles and techniques
- Participate in online courses and academic drawing and photography practices
- Read professional literature and internet publications to deepen knowledge and stay up-to-date on industry trends

Key Skills and Accomplishments:
- Time management: manage multiple projects and tasks under strict deadlines
- Team leadership and collaboration
- Client relationship development and management
- Design and marketing strategy development
- Project management and execution

Career Motivations:
- Professional self-actualization in the design field
- Financial self-sufficiency
- Continuous self-education and development"
135,"Ann
Passionate Graphic Designer

Summary:
Results-driven graphic designer with over 4 years of professional experience creating effective designs for big and small companies. Proven ability to generate innovative ideas and communicate brand messages efficiently.

Experience:
In-house Graphic Designer & Freelance Designer
- Designed press media kits for bloggers, logos and song covers for singers, websites for creative agencies, presentations for branding and marketing courses, stickers and postcards for brand touchpoints
- Utilized skills in brand communication, idea generation, and design to deliver high-quality results

Skills:
- Brand Identity and Logo Design
- Presentations
- Infographics
- Layouts
- Print Materials (menus, business cards, flyers, brochures, stickers)
- Web Marketing
- Web Design (studied at Projector)
- UI/UX Design
- Landing Pages
- Multi-page Websites
- Product Sites
- Email Newsletters

Education:
- Studied Web Design at Projector
- Background in Graphic Design

Personal Qualities:
- Detail-oriented and neat in design
- Empathetic with ability to understand people's needs
- Strong teamwork and collaboration skills
- Commitment to creating original, engaging, and functional design solutions

Career Goal:
To bring creativity, teamwork, and skills to a new company and contribute to its growth and development."
136,"Summary:
Highly motivated and experienced Graphic and UI/UX designer with a strong background in creating innovative designs and effective visual solutions. Proven track record of delivering high-quality designs on time.

Experience:
Graphic and UI/UX Designer
- Designed the Lomogram app, a top 5 photography app on the Windows Phone Store with 20M downloads (2012-2013)
- Produced competitive design advertisements and created 2D banners and animations for social media resources at Plarium
- Created branding identity, advertisement, and connections between the company and users at Grls Gang
- Designed various social media materials, advertisements, and printing materials for freelance projects

Skills:
- Graphic design
- UI/UX design
- Color theory
- Shape and composition
- Typography
- Illustrations
- Layout design
- Time management and deadline respect
- Continuous learning and industry awareness

Education:
Nurtured interest in design through education and practical experience as a Graphic and UI/UX designer"
137,"Contact Information: Not Available

Summary:
Highly motivated and experienced graphic designer with 5+ years of experience, seeking a stable position in an outsource or product company, preferably remote, with the option to work in Kharkov. Proficient in both graphic design and UX/UI design, with a strong desire to combine these skills in a future role.

Education:
- Completed courses at the American English Center in Kharkiv, achieving a B2 level in English
- Completed a 6-month intensive UX/UI Design course at Beetrot Academy online in December 2020

Experience:
- Freelance UI Designer: Collaborated with a classmate on a B2B sales project (NDA), creating designs for 6 pages with 30 blocks, 11 pages of registration forms, and a UI Kit. Developed a desktop version, adaptive design, and 40 mail templates, which are currently active
- Graphic Designer: 5+ years of experience creating POS materials, magazine and newspaper productions, identity and branding, and music posters. Possess a portfolio of approximately 6 kilograms of printed materials

Skills:
- Graphic Design: POS materials, magazine and newspaper production, identity and branding, music posters
- UX/UI Design: User research, technical requirements, mind mapping, user portraits, user flows, wireframing, and design development
- Language: English (B2 level)

Portfolio:
Available upon request, with a collection of printed materials from graphic design work and a diploma project from the UX/UI Design course, featuring a car lights shop online."
138,"Highly Experienced Marketing Professional with 7+ Years of Experience in UI/UX and Graphic Design

Summary:
Results-driven marketing professional with over 7 years of experience in UI/UX and Graphic Design, seeking to leverage my skills and expertise to drive business growth and success.

Professional Experience:

Middle Graphic Design Specialist
SupportYourApp, Full-time
February 2022 - February 2023 (1 year 1 month)

- Designed branding for SupportYourApp social media, creating illustrations, photoshopping photos, mailing, award plates, scarves, and developing overall brand identity
- Collaborated with cross-functional teams to ensure designs met business objectives
- Developed creative solutions to complex design challenges
- Adapted design concepts to different media formats, including web, social media, print, and video

UI/UX Middle Designer
TEMABIT Software Development, Full-time
March 2020 - February 2022 (2 years)

- Developed, designed, and prototyped mobile applications for major hypermarkets in Ukraine, including FOZZY Group, Fora, and Justin
- Designed user-friendly UI/UX that increased user retention by 20%
- Facilitated a successful photo shoot that showcased a designer's new collection
- Created a comprehensive style guide that standardized the design and branding of all company materials

UI/UX Junior Designer, Middle Graphic Designer
Skywell Software, Full-time
June 2018 - March 2020 (1 year 10 months)

- Prototyped sites and developed design and adaptive designs
- Developed a brand book for the company
- Created marketing materials, including brochures, flyers, and presentations, resulting in improved customer engagement
- Analyzed market trends and competitor strategies to inform decisions and optimize marketing efforts
- Created a comprehensive style guide that standardized the design and branding of all company materials

Skills and Experience:

- Over 7 years of experience in Graphic Design and over 4 years of experience in UI/UX Design
- Extensive experience in creating user-friendly interfaces and visual communications, including adverts, branding, publicity materials, and magazine layouts
- Proficient in using tools such as Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop
- Proven ability to work in fast-paced environments and develop strong working relationships
- Strong understanding of market trends and competitor strategies to inform design decisions and optimize marketing efforts

Personal Qualities:
Responsible and professional individual with a positive attitude, thriving in fast-paced environments and developing strong working relationships."
139,"Summary:
Highly motivated and detail-oriented UI/UX designer with experience in creating intuitive and visually appealing interfaces. Proven ability to conduct user research, analyze user behavior, and develop design systems. Seeking a challenging role that utilizes my skills and experience in UI/UX design.

Experience:
Graphic Designer (2016-2022)
- Developed and executed visual design projects, including logos, corporate identities, advertising materials, and other graphic solutions.
UI/UX Design Practice (6 months)
- Created a landing page, redesigned a website, and participated in team projects for web and mobile applications.
- Conducted user research, analyzed user feedback, and iterated on designs to optimize usability.
- Implemented responsive design principles to ensure accessibility and optimization for various devices and screen sizes.

Projects:
- Team project ""LifeLandscape"" web service for landscape design: Collaborated with UX designers, conducted user research, and created intuitive and visually appealing user interfaces.
- Redesign of a website for a tattoo studio: Conducted research into the target audience, created a modern and engaging interface, and utilized a clean and intuitive layout.

Skills:
- UI/UX design
- Graphic design
- User research and analysis
- Design systems development
- Responsive design
- Collaborative teamwork

Career Goals:
- Seeking a job that aligns with my skills and interests in the UI/UX design field.
- Opportunities for professional growth, learning from experienced professionals, and working with modern tools and technologies.
- Working on interesting and diverse projects, collaborating with a supportive team, and making a significant impact on the end product.
- Flexible work schedule and opportunities for career advancement."
140,"Summary:
Highly skilled graphic designer and UI/UX designer with 4 years of experience, possessing a strong portfolio and excellent communication skills. Proficient in industry-standard design software, with a strong understanding of web design principles, typography, color, and page layouts.

Experience:
Graphic Designer and UI/UX Designer (4 years)
- Freelance work creating logos, social media posts, and landing pages for brand pages
- Typography preparation for printing and designing merchandise for brands
- Developed brand identities and strategies, including a project for a furniture store with branding agency ""onO"" Nova Market

Design Process:
- Gather requirements and create user stories
- Conduct user research and develop intuitive and engaging visual designs

Skills:
- Graphic design and UI/UX design
- Strong communication and presentation skills
- Attention to detail and excellent documentation skills
- Analytical skills with ability to analyze application performance and trends
- Proficient in industry-standard design software (Photoshop, Illustrator, Adobe XD, Figma, etc.)
- Excellent people skills with ability to communicate effectively verbally and in writing
- Creative and logical with ability to work in dynamic and challenging environments

Personal Statement:
As a passionate designer, I strive to create useful and engaging designs that bring value to people. I enjoy the creative process of developing brand identities and websites, and I am motivated by deadlines to deliver high-quality work."
141,"Svitlana
Graphic & Web Designer

Summary:
Highly motivated and deadline-driven graphic & web designer with 8+ years of experience in graphic design and 2+ years in UI/UX design, currently working at Libertex group, an international financial services group specializing in online trading and investment.

Experience:
8+ years of experience in Graphic Design
2+ years of experience in UI/UX design
Current employment at Libertex group, an international financial services group specializing in online trading and investment

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, including elements and layouts, style guides, icons
- Presentation design (digital, print)
- Preparing design drafts and mock-ups
- Preparing design for offline exhibitions
- Designing illustrations
- Designing educational materials
- Creating brand books and pitch decks
- Infographic design
- Print design
- Logo design

Tools:
- Figma
- Adobe Photoshop
- Adobe Illustrator
- Adobe XD
- Adobe InDesign
- Sketch
- Principle
- Jira, Trello, Asana

Project Areas:
- FinTech
- Trading
- Investing
- Marketing
- Cryptocurrencies
- Blockchain

Personal Qualities:
- Passionate about design
- Ambitious about personal growth
- Deadline-driven creative
- Strong self-management and analytic mindset
- Good collaboration skills
- Understanding of users' thoughts & feelings and clients' goals and needs

Career Goals:
Full-time remote position"
142,"Graphic Design Specialist, SMM Manager
LG Electronics

Awarded as The Most Innovative Employee of the Year (2019)

Key Responsibilities:

Graphic Design:
- Developed visual concepts for advertising campaigns across various platforms
- Collaborated with sales and product marketing teams
- Produced and resized visuals (approximately 170 units)
- Created and adapted printed materials, including OOH, catalogues, leaflets, business cards, postcards, stickers, banners, and rollups
- Prepared POSM materials, such as toppers, stickers, banners, and posters
- Prepared materials for printing

LG Website:
- Produced and adapted banners for all product categories
- Supported the transition to a new visual concept of the website (2020)
- Produced and adapted product cards materials

Social Media Management:
- Referenced and controlled the annual strategy
- Prepared and adjusted monthly content plans
- Produced approximately half of the materials for publication
- Curated a digital agency
- Approved visuals and copyrights
- Coordinated communication between the agency and product managers
- Presented weekly reports, including key indicators, competitor analysis, and results of activities
- Designed social network elements, such as profile headers, thumbnails, covers, and guides
- Curated competitions on social platforms

Advertising Campaigns:
- Developed visual concepts for advertising campaigns
- Communicated with sales and product marketing teams
- Produced and resized visuals (approximately 170 units)"
143,"Anastasia
Graphic Designer, Co-Founder of Otrazhenie Studio

Contact: Behance - besdna

Summary:
Results-driven graphic designer with 5 years of experience in branding and web development, specializing in creating unique visual designs that drive business goals. Proven track record of delivering high-quality designs that exceed client expectations, with a strong focus on building long-term relationships.

Experience:
Co-Founder, Otrazhenie Studio (Ukraine)
- Developed branding strategies for companies across various industries, including fashion, architecture, education, HoReCa, finance, and industrial sectors.
- Created and implemented visual design styles for personal, product, and corporate brands, combining logos, slogans, font selection, colors, illustrations, and photographic styles.
- Designed and developed user-first interfaces for websites, with a core focus on business goals, and managed the process of transferring adaptive layouts to developers using Figma.
- Provided graphic design consultations and recommendations to clients, aligning design options with overall marketing goals.
- Led the design, development, and implementation of graphic, layout, and production communication materials, including postcards, flyers, posters, billboards, infographics, brochures, vehicle wraps, email marketing templates, social media ads, and more.
- Managed a team of three designers, delegating tasks and providing counsel on all aspects of projects.
- Oversaw the production of printed products, from layout creation to final product delivery.
- Created engaging presentations and provided photo and video production services to create unique illustrations for businesses.

Skills:
- Branding and web development
- Visual design and style creation
- Website design and development
- Graphic design consultation and recommendation
- Team management and leadership
- Print production management
- Presentation creation
- Photo and video production

About Me:
I'm a creative and open-minded graphic designer looking for a collaborative environment where I can bring my skills and experience to drive innovative solutions and deliver exceptional results."
144,"Winner of the ""Nanoscience as Art"" contest at the IEEE NAP-2021 conference for the work ""Invisible Orchid"", a scanning electron microscope image of calcium carbonate powder, investigated under the PROM Program ""International Scholarship Exchange of PHD Candidates and Academic Staff"" at Lodz University of Technology.

Highly experienced graphic designer with over 4 years of experience, providing graphic support for numerous information campaigns at a university, including:
- Hundreds of banners, flyers, advertisements, greeting cards, presentations, posters, and infographics for electronic and print use
- Key campaigns:
  - 100th anniversary celebration of the university: logo adaptation, branded products, rector's presentation, and postage stamp design
  - Annual admissions campaign: media plan development, printed products and banner design for website, social networks, and billboards
- Achievements:
  - 73% of surveyed applicants learned about the university through social networks and the official website
  - Establishment of an international partnership following the rector's speech with a presentation at an international conference in Budapest

Freelance experience with a foreign beauty school, creating:
- Social media materials
- Packaging design
- Educational materials with diagrams and step-by-step instructions

Skilled in:
- Logo and brand design
- Presentation design
- Print material design
- Graphics preparation
- Mockup creation
- Technical design
- Photo editing

Combining creativity with technical skills to produce innovative designs, inspired by everyday observations."
145,"Summary:
Highly skilled Graphic Designer with 2 years of professional experience, proficient in industry-standard design software including Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma.

Experience:
Graphic Designer (2 years)
- Developed a captivating brand identity for a startup
- Executed successful marketing campaigns with engaging visuals
- Managed multiple projects, meeting deadlines and exceeding expectations
- Received recognition for attention to detail and creativity

Skills:
- Proficient in Adobe Photoshop, Adobe Illustrator, Adobe InDesign, Adobe Premiere Pro, Adobe After Effects, and Adobe Figma
- Strong understanding of graphic design principles
- Keen eye for detail and passion for creating visually appealing designs
- Ability to understand client requirements and translate concepts into compelling visual solutions

Career Goals:
Seeking a creative and collaborative environment to utilize my skills and contribute to diverse projects. I aim to be part of a dynamic team that values my contributions, offers professional growth opportunities, and fosters a positive work environment."
146,"Summary:
Highly skilled designer with expertise in branding, web design, and print media, proven ability to adapt to unique client needs and deliver visually captivating solutions.

Experience:
Results-driven designer with a strong background in managing multiple projects from concept to completion, collaborating with clients and cross-functional teams to meet strict deadlines and deliver high-quality designs.

Skills:
Proficient in industry-standard design software, including Adobe Creative Suite, Blender, and Figma, with a strong understanding of visual aesthetics and technical skills. 

Key Strengths:
Effective communication and presentation skills, with the ability to foster strong client relationships, drive repeat business, and receive positive feedback, while staying up-to-date with the latest design trends and techniques."
147,"UI/UX Designer & 2D Graphic Designer

Summary:
Highly skilled UI/UX and 2D graphic designer with 4 years of experience in digital design, proficient in Adobe Photoshop and Adobe Illustrator.

Education:
- ArtCraft Education LLP – Online Course Game Graphics (2021)
- ArtCraft Education LLP – Online Course Anatomy (2020)
- ArtCraft Education LLP – Online Course Digital Drawing (2019)
- IT School “Advanced graphic design” course Adobe Photoshop, Adobe Illustrator (2017)

Experience:
UI/UX Designer & 2D Graphic Designer
- Creation of icons, logos, and layouts of various degrees of complexity
- Designing marketing materials, including press-wall illustrations, banners, notebooks, and social media posts
- Working with UI/UX design for websites and mobile applications (iOS/Android)
- Creation of workflow diagrams
- Preparing templates for presentations, portfolios, and backgrounds for mobile games

Skills:
- Proficient in Adobe Photoshop and Adobe Illustrator
- Knowledge of basic rules and principles of drawing and painting in CG, including light, shadow, tone, color, perspective, and anatomy
- Hand drawing using Wacom Intuos 4 Digital Tablet
- Familiarity with Sketch, Figma, inVision, Abstract, and Craft plugin
- Experience working with international clients and communicating via email and calls"
148,"Bachelor's Degree in Graphic Design (BFA)

Experience:
Product Launch Specialist: Successfully launched products/brands from scratch in the U.S., U.K., and European markets.
SMm Agency
Outsource Design Studio
Long-term Product Work

Skills:
Multidisciplinarity: Brand strategy creation, research, analysis, and structuring.
High-Quality Management: Team management, strong communication, conflict resolution, and dialogue building.
Marketing & Search: Employee interviewing, customer searching, questionnaire and poll creation for marketing goals.
Teaching Background: Internal lectures, educational material preparation for colleagues.

Management Skills: Conflict resolution, team management, strong communication.
Education: Bachelor of Fine Arts in Graphic Design."
149,"Highly Skilled Graphic and Web Designer

Summary:
Results-driven graphic and web designer with over 10 years of experience, passionate about creating modern and visually appealing designs. Skilled in designing web and mobile applications, logo design, and corporate identity, with expertise in combining extensive experience with the latest design trends and technologies.

Professional Experience:

UI/UX Designer
May 2019 - October 2022
- Collaborated remotely as a team member on various B2B projects
- Designed and optimized corporate websites, dashboards, and mobile apps using Figma

UI/UX and Graphic Designer
November 2015 - June 2019
- Spearheaded the design of websites and mobile interfaces for a Canadian real estate startup
- Created captivating visuals and seamless user interactions using Photoshop and Figma
- Developed printed promotional materials for presentations and international trade shows

Web Designer
February 2012 - March 2019
- Worked on internal projects and delivered designs for diverse clients within an Israeli digital agency
- Collaborated with a team of designers to deliver top-notch designs, including a website for cutting-edge fashion design software
- Utilized Sketch, Figma, and Photoshop to bring projects to life

Career Objective:
Seeking remote positions with exciting projects and opportunities for skill development, thriving in team-oriented environments where collaboration and exceptional results are key."
150,"Multidisciplinary Designer

Highly skilled and experienced designer with a background in graphic design, spanning over 6 years, and a strong focus on UX/UI design. Proven track record of working with over 50 clients on diverse projects, with a strong emphasis on product and user experience.

Key Experience:
- Completed several web e-commerce projects independently
- Successfully created web applications from scratch
- Provided guidance and teaching to junior designers
- Collaborated with clients to deliver high-quality graphic and web design solutions, with ongoing support for e-commerce projects

Skills and Strengths:
- Creative and result-oriented approach to design
- Excellent communication and teamwork skills, with experience working in teams and independently
- Strong problem-solving and learning abilities, with a pragmatic approach to design challenges

Career Aspirations:
- Eager to work collaboratively with senior designers or art directors to combine skills and create innovative designs
- Committed to continuous learning and skill development, with a focus on delivering exceptional user experiences."
151,"Graphic Designer & Branding Specialist

Highly experienced graphic designer with over 7 years of experience in creating innovative and modern designs. Proficient in collaborating with clients to develop clear and recognizable brand identities.

Key Services:
- Logo design
- Corporate identity and branding (including business cards)
- Presentation design
- Web and mobile application UI/UX design
- Label design
- E-mailers and newsletter designs
- Graphics for social networks
- Iconography

Technical Skills:
- Adobe Illustrator CC
- Adobe Photoshop CC
- Figma
- Adobe XD
- Marvelapp
- Prezi
- PowerPoint
- Google Slides
- Canva
- GIMP
- Inkscape
- Web design
- Print design
- Logo design
- Illustration
- Digital illustration

Availability and Work Approach:
Available 7 days a week, with daily project updates and a strong commitment to meeting deadlines. Please review my portfolio to explore my work and experience."
152,"Successfully completed the course ""web-design"" at the IT school Lemon School
She deepened her knowledge by taking the course ""Graphic Design"". Then she successfully started working in this area.

Education:
Kharkiv State Academy of Design and Art
Speciality: Interior Design 
2016-2018

Skills:
Graphic design:
• Conceptualize visuals based on requirements
• Creating a wide range of graphics and layouts for corporate website, landing pages, social media
• Ensure final graphics and layouts are visually appealing and on-brand
• Creating presentation decks 
• Work with design software and technologies (such as Adobe Photoshop, Illustrator, Indesign, XD, Microsoft Powerpoint)
• A keen eye for aesthetics and details

WebUI designer:
• UI / UX Design (web, mobile)
• Using Ease of Use Principles in Website Design
• Understanding the meaning of the site
• Accents and hierarchy in design
• Understanding typography, composition and colouristics
• Robot with modular grids
• Prototyping
• Create icons, banners and illustrations
• Creating a responsive design
• Printing design
• Using iOS and Android UI design guidelines to design the interface of mobile apps
• Decoration of works for the design platform Behance
• Freehand drawing, painting

Qualities:
• Developed aesthetic and artistic taste
• Perfectionism
• Perseverance
• Attention to details
• Creativity
• Analytical and logical thinking

About myself
Graphic and Web designer with a willingness to learn and gain experience. I approach work responsibly and with aesthetic taste. Understanding web design and visual trends. She is quick to learn, as she is interested in self-development and is very passionate about this area."
153,"Highly Experienced Designer
Results-driven professional with over 12 years of experience and a portfolio of more than 2000 projects, ranging from small to large-scale. Proven track record of delivering high-quality work, as evidenced by recommendations from satisfied clients.

Notable Clients:
Unilever, Lipton, DHL, Hyundai, Genesis, KNORR, McDonald's, SKYTOLL, KUKA, METRO C&C, Luxury Lifestyle, Sanofi Aventis, Coldwell Banker, TABASCO, RosAtom, GLONASS, DodoPizza, Sodexo, Faberlic, Rostelecom, HELLMANN'S, YUKO, Urenholt, Calve, Dove, SELGROSS, Baltimor, Zott, Hyson, TruckMotors, McCain, CARTE D'OR

Key Skills and Expertise:
UX/UI design, web design, illustrations, infographics, printing, packaging, identity design

Proficient Tools:
Adobe Photoshop, Adobe Illustrator, Adobe InDesign, hand drawing with a high artistic level, and other design software

Career Interests:
Seeking large and complex projects that offer creative freedom, opportunities for brainstorming, and the pursuit of innovative solutions."
154,"My Achievements:

OVERDOSE
· Designed the community.overdose.digital website from scratch
· Developed the Overdose Tech Club Instagram design concept from scratch, resulting in a 30% increase in new followers
· Implemented a new design strategy for Overdose.UA Instagram, increasing post and story views by 60% and boosting audience engagement by up to 25%

PROSVIRIN DESIGN
· Improved Instagram design, resulting in a 50% increase in post and story views and a 35% increase in unique visitors
· Created a presentation design for a new commercial promotion, increasing the potential audience of customers from the USA, Germany, and Dubai by 40%

About Me
Enthusiastic and creative designer with 3+ years of experience in graphic design and 2+ years in UI/UX design. I bring innovative ideas and a unique approach to visuals, creating engaging designs and developing visual solutions for communication challenges. I aspire to join a friendly and professional team to develop a corporate identity and improve graphic communication between the company and customers."
155,"Professional Skills:
UI/UX Design
1. Freehand drawing (over 15 years)
2. Adobe Photoshop
3. Adobe Illustrator
4. Corel Draw
5. UI/UX - Figma, InVision
6. Zeplin, Wordpress, Tilda, Adobe Premiere (basic skills)

Key Strengths:
- Team player with over 5000 creatives developed
- Strong understanding of composition and color science
- Ability to work with briefs and create own concepts
- Quick information processing and attention to detail
- Strong sense of taste and style

Experience:
5+ years of graphic design development and 1 year of UI/UX experience

1. Designer-Freelancer (09.2016 - present, Upwork)
- Graphic design of corporate identity (logos, business cards, banners)
- Solved complex tasks, communicating with international clients

2. Designer-Engraver (04.2019 - 01.2021, Planet of Gold)
- Created social media content and advertising materials
- Prepress and maket creation for laser engraving
- Laser engraving on jewelry and retouching

3. Advertising Content Designer (06.2021 - 03.2022, CONCEPTA, remote)
- Developed e-commerce and natural cosmetics brand content
- Created advertising creatives, social media content, and POS materials
- Improved existing visual materials, photo-retouching, and motion design
- Designed banners, company websites, landing pages, and ads for Facebook, Instagram, Amazon, and Google

Career Goals:
Seeking a graphic designer role with a focus on branding or social media content, with opportunities to develop UI/UX skills (open to a 50/50 split)"
