,Modified_openai/gpt-4o_of_Modified_gpt-3.5-turbo_of_CV_Modelgpt-3.5-turbo_Modelopenai/gpt-4o
120,"Expert in UX/UI Design and Product Management with 8+ years of experience. Specialize in crafting custom intuitive designs for mobile apps, websites, and web applications, focusing on forward-thinking digital experiences and user flows. Demonstrated expertise in web development, design, re-design, and maintenance. Specialized in UI/UX & Interaction design with a keen interest in design systems. Currently contributing to products for the largest cinema networks, including a leading cinema chain, CGV Cinemas. Proficient in essential markup and programming languages (HTML, CSS, JavaScript), ensuring successful collaboration with developers. Core skills include User Interface Design (UI), User Experience Design (UX), Responsive Web Design, Mobile Design, App Design, Components Design, Wireframes, and Prototypes. Competent in using Figma, Adobe XD, Photoshop, and Illustrator for design, collaboration, prototyping, and image manipulation. Available for immediate project discussion and assistance."
121,"Objective: Accomplished Game UI/UX Designer with experience in UI artistry and animation since 2019, and a background in web design since 2015. Proficient in Figma, Adobe Photoshop, Unreal Engine 4, and Unity, with foundational skills in HTML, CSS, and JavaScript. Demonstrated success in developing intuitive UX flows, crafting UI screens and elements, and collaborating effectively with team members to reach design objectives. Committed to continuous learning and physical fitness, and passionate about teaching design at IT Academy (Lviv)."
122,"[Your Name]  
[Your Address]  
[City, State, Zip]  
[Phone Number]  
[Email Address]  
[LinkedIn Profile]  

---

**Objective**  
Dedicated game UI/UX designer/artist eager to join a dynamic team where I can leverage my skills in crafting compelling game interfaces and further my professional growth through diverse and engaging projects.

---

**Professional Experience**

**Game UI/UX Designer/Artist**  
[Ukrainian Game Company Name], [Location]  
[Month, Year] – Present

- Responsible for designing and developing user interface visuals for casual games from initial concept to final rendering in Unity.
- Collaborate with cross-functional teams including designers, managers, 2D and 3D artists, and programmers to research and create innovative game interfaces.
- Develop visually appealing and unique interfaces while producing additional game interface materials.
- Continuously stay informed about the latest trends and techniques in UI/UX design to enhance the quality and appeal of game interfaces.

---

**Education**

**Bachelor's Degree in Artist-Performer**  
Kyiv National University of Construction and Architecture  
[Month, Year] – [Month, Year]

---

**Skills**

- UI/UX Design
- Game Art and Design
- Unity Software
- Cross-functional Collaboration
- Visual Research and Analysis
- Trend Analysis in Design

---

**Professional Development**

- Regularly updating knowledge and skills in UI/UX design trends and techniques.

---

**Languages**

- [List any languages you speak]

---

[Optional Sections: Certifications, Awards, Volunteer Experience]"
123,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]

---

**Objective**  
Passionate and skilled UI/UX designer with over three years of experience in design and two years in Game Development, eager to contribute to innovative and high-quality projects while collaborating with a dynamic team.

---

**Education**  
- Web Design Courses - Graduated with honors  
  - Supervised the final group project
- English Courses - Graduated with honors, 2022

---

**Professional Experience**

**[Your Current/Most Recent Job Title]**  
[Your Company Name], [Location]  
[Month, Year] - Present

- Successfully led the full UI development for an educational mobile game for kids with over 100,000 downloads.
- Participated in the development of a AAA PC MOBA, contributing to its interface and user experience.
- Updated and transferred a PC simulator for cybersportsmen to a mobile platform, ensuring timely delivery and high-quality execution.
- Developed a welcome-box for new employees, enhancing their onboarding experience.

**[Previous Job Title]**  
[Previous Company Name], [Location]  
[Month, Year] – [Month, Year]

- Organized and managed the printing of materials for two exhibitions in different cities simultaneously, showcasing exceptional organizational skills.
- Completed 248+ projects focused on UI/UX game design, demonstrating a commitment to quality and creativity.
- Enhanced game graphics capabilities using a graphics tablet, delivering visually appealing and user-friendly designs.

---

**Skills**

- **Design & Development Tools:** Figma, Photoshop, Unity3d, Plastic SCM
- **Project Management & Collaboration:** Jira, Confluence
- **Languages:** Fluent in English
- **Key Strengths:** Innovative project participation, team collaboration, employee well-being focus
- **Continued Professional Development:** Actively works through challenging projects and times

---

**Achievements**

- Recognized for exceptional leadership in supervising a final group project during web design courses.
- Known for enthusiasm in participating in innovative projects and contributing to a positive team environment.

---

**References**  
Available upon request."
124,"**[Your Name]**  
[Your Address]  
[City, State, ZIP]  
[Your Email]  
[Your Phone Number]  

---

**Professional Summary**

Dedicated UX/UI and Visual Graphic Designer with over three years of experience in creating innovative and user-centered design solutions. Skilled in developing both web and game interfaces, with a strong ability to transform ideas into engaging and interactive visual designs. Proven track record of collaboration with developers and designers to enhance user experiences.

---

**Professional Experience**

**UX/UI Designer**  
(2020-2022)

*2nd Half of the Year:*
- Developed indie game interfaces driven by independently conducted UX research.
- Created both Low- and High-Fidelity wireframes.
- Collaborated with developers and game designers to optimize user experience.
- Executed surveys and exercises to facilitate user testing.

*1st Half of the Year:*
- Employed user-centered design strategies to develop UX/UI solutions.
- Transformed concepts from low fidelity wireframes into interactive visual designs.
- Designed site maps and information architecture to improve navigation.
- Demonstrated design's value through addressing core user needs.
- Used storyboards, process flows, and sitemaps to illustrate design ideas.
- Developed adaptable and responsive UX/UI wireframes for web applications.
- Anticipated and addressed negative paths to ensure comprehensive customer experiences.
- Created Customer Journey Maps (CJMs) and guides to support product vision.

**Visual and Graphic Designer**  
(2019-2022)
- Developed brand identities through creation of logos, banners, posters, and advertisements.
- Continuously generated ideas and stayed updated on design trends.
- Delivered work with meticulous attention to detail.
- Presented and advocated for design ideas to clients successfully.
- Collaborated with teams to apply design knowledge effectively.

---

**Skills**
- UX/UI Design
- Visual Design
- Low- and High-Fidelity Wireframing
- User Research and Testing
- Information Architecture
- Design Collaboration and Teamwork

---

**Education**

[Your Degree]  
[Your School Name], [Graduation Year]

---

**References Available Upon Request**"
125,"**[Your Name]**
[Your Address]
[City, State, Zip]
[Phone Number]
[Email Address]
[LinkedIn Profile]

---

**Summary**

Design professional with extensive experience in building comprehensive design solutions and ensuring adherence to copyright law. Adept at collaborating on social initiatives to enhance urban environments and engaging with communities as a speaker and event organizer. Seeking a full-time role in a dynamic, sociable work environment.

---

**Professional Experience**

- **Design and Compliance Expertise**
  - Extensive knowledge in copyright law, ensuring organizational compliance in legal matters.
  - Skilled in creating and maintaining cohesive design identities, including logos, corporate styles, guidelines, and brand books.

- **UI/UX Design**
  - Expertise in designing user interfaces for mobile, desktop applications, and gaming projects.
  - Proficient in UX methodologies, such as wireframes, user flows, journey mapping, persona creation, and interactive prototypes.
  - Development of atomic design systems for websites, applications, and gaming environments.

- **Project Management and Collaboration**
  - Provides thorough design estimation for projects of varying complexity.
  - Conducts design reviews, integrates feedback, and fosters strong team collaboration.
  - Participates in social projects to improve urban spaces, emphasizing the importance of community engagement.

- **Public Speaking and Community Engagement**
  - Speaker at IT events and organizer of the Mykolayiv Design Community, actively contributing to professional knowledge sharing and networking.

---

**Skills**

- Team collaboration and communication
- Design identity creation and maintenance
- UX methodology expertise
- Atomic design system development
- Design estimation and feedback integration

---

**Personal Information**

- Resides in a self-sustaining house outside the city.
- Holds exemption from military service for family reasons.
- Seeking minimal bench periods within employment.
- Prefers a friendly and social work environment with minimal reporting requirements.

---

**[Additional Sections as Needed]**"
126,"Lead Game UI/UX Designer  
Obrio (Genesis)  
January 2021 - August 2022  

- Created over 15 features from concept to execution  
- Developed and standardized the UI style and color system  
- Authored detailed game design documentation  
- Conducted comprehensive market and competitor analysis  
- Produced video prototypes for new features  
- Designed and implemented features from initial concept  
- Developed and maintained the UI kit  
- Mentored junior designers and led the design team  
- Analyzed product performance using Devtodev  
- Delivered presentations on results and process improvements  

**Mentoring Achievements:**  
- Served as Judge and Mentor at the Genesis GameJam 2021  
- Recorded a lecture on Game UX for Projector Institute (Game Design Beginning course)  

UI/UX Designer  
Evoplay  
February 2020 - January 2021  

- Provided design support for mobile and web platforms  
- Developed and maintained a comprehensive UI-Kit  
- Worked with responsive design and breakpoints  
- Designed and implemented mini-features  
- Created custom illustrations for product features  

Product Designer  
Aimbulance  
September 2019 - February 2020  

UI Designer  
Confidential Company  
September 2017 - September 2019  "
127,"**Name:** [Your Name]  
**Location:** Kharkiv, Ukraine  
**Experience:** Over 10 years in Graphic and UI/UX Design

---

**Professional Summary:**

Experienced designer with a solid background in graphic and UI/UX design, specializing in delivering creative solutions for advertising, marketing agencies, and printing houses. Proven success in collaborating with European clients, crafting logos, and developing brand identities for businesses across Kyiv, Kharkiv, and various European cities. Skilled in website development using the Tilda constructor, with a comprehensive service offering spanning landing pages to transport branding.

---

**Core Competencies:**

- Graphic Design  
- UI/UX Design  
- Logo and Brand Identity Creation  
- Website Development and Tilda Constructor  
- UX Research  
- Printed Materials and Outdoor Advertising  
- Social Media Design  
- Presentation Design  
- Transport Branding

---

**Professional Experience:**

- **Graphic and UI/UX Designer**  
  Worked within advertising and marketing sectors and printing houses, delivering tailored design solutions to enhance brand presence and user engagement.

- **Brand Development**  
  Expertise in designing cohesive logos and brand styles for a diverse array of businesses in both Ukrainian and European markets.

- **Web Design**  
  Skilled in developing user-friendly websites, primarily utilizing the Tilda constructor for efficient and effective web solutions.

---

**Personal Qualities:**

- Strong organizational and planning skills  
- Team-oriented with excellent collaborative abilities  
- Passionate about creating user-centric designs  
- Committed to professional growth within the UX/UI design field  

---

**Objective:**

Eager to leverage my design expertise to contribute to your business's success while continuing to advance my career as a UX/UI designer."
128,"UX/UI Designer  
Stress Point Health Ltd  
April 2018 - June 2020  

**Key Responsibilities:**  
- Led a UX/UI design project for a mobile app focused on treating stress, anxiety, and trauma.  
- Managed the design process from ideation and problem-solving to complete UI implementation.  
- Developed user-friendly visualizations for metrics.  
- Produced wireframes, user journey flows, and prototypes for testing.  
- Conducted usability testing sessions with volunteers to ensure an optimal user experience.  

---

UI/UX and Web Designer  
Propeller Digital Company  
May 2016 - December 2019  

**Key Responsibilities:**  
- Sole designer responsible for all design decisions within the company.  
- Designed websites, print materials, and infographics.  
- Analyzed briefs and defined user experience strategies.  
- Created wireframes, designs, and mockups targeting diverse markets.  
- Redesigned presentations, logos, brand identities, and websites.  
- Applied user-centered design and design thinking methodologies.  "
129,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Email Address]  
[Your Phone Number]  
[LinkedIn Profile]  

---

**Objective**  
Passionate and skilled designer with a Master's degree in Design and Journalism, eager to leverage creative and technical skills as a valuable team member in a dynamic environment.

---

**Professional Experience**  

**Creative Intern**  
Phiture, [Location]  
[Month, Year] – [Month, Year]

- Developed illustrations and design assets tailored for the marketing team, adhering strictly to brand guidelines.
- Executed projects in print design and photo retouching, enhancing visual appeal and brand consistency.
- Crafted marketing assets for a diverse range of clients, contributing to successful campaign rollouts.
- Engaged in A/B testing processes for Adobe, optimizing user experiences based on data-driven insights.
- Assisted in Quality Assurance processes to maintain the highest standards in project deliverables.

---

**Education**

**Master's Degree in Design and Journalism**  
[University Name], [Location]  
[Graduation Year]

---

**Skills**

- Proficient in vector graphics, icons, logos, and application prototyping.
- Experienced in branding, video editing, and motion graphics, with a keen eye for detail.
- Strong foundation in multimedia journalism, skilled in managing and synthesizing large volumes of information and text.
- Proven ability to work on non-profit projects, enhancing graphic and UI/UX design expertise.

---

**Projects**  

- Collaborated on various non-profit initiatives for a charitable organization, applying design skills to support and enhance organizational goals.

---

**Technical Proficiencies**  

- [List specific software/tools you are proficient in, e.g., Adobe Creative Suite, Sketch, etc.]

---

[Professional Affiliations, Certifications, or Awards, if applicable]

[References available upon request]"
130,"Zeybullah  
Graphic and UX/UI Designer

Experience: Over 3 years in Graphic and UX/UI design

Professional Summary:  
- Specialized in applying design principles and knowledge with precision and discipline.
- Collaborated with Eleven Kings Football Manager Game, Soccer City, and Mediamark Digital Agency.
- Designed a variety of materials including SMM posters, magazines, advertising materials, and UI designs.

Key Skills:  
- UX/UI design, mobile app design, website design, digital design, logo and branding.
- Proficient in Adobe Illustrator, Photoshop, InDesign, XD, Figma.

Client Feedback:  
- Renowned for creativity and exceptional attention to detail."
131,"Passionate about foreign languages, film photography, and painting.

Experience:

Graphic Designer  
Freelance, 2017 - Present  
- Specialize in the design of print advertising materials.

Graphic Designer  
""Pyramida Technik"", June 2018 - February 2020  
- Assisted the marketing team in creating visual materials for social media campaigns, designing presentations, print materials, and redesigning websites.

Freelance Designer  
Camping Trade, September 2019 - March 2020  
- Developed the website for the GioStyle brand and created visual materials for social media.

UX/UI Designer  
AltRecipe, February 2021 - April 2022  
- Developed websites for desktop and mobile platforms, analyzed and improved existing interfaces, collaborated with the product team, and designed animations for interfaces.

Graphic Designer  
April 2022 - May 2023  
- Worked with French and Ukrainian companies such as Gr8Tech, Bourgogne en Douce, and O4Dance."
132,"Graphic & Web Design Professional

**Summary**
Innovative graphic and web designer with over three years of experience in creating engaging design templates for websites. Specializing in enhancing user experience and user interface, with a comprehensive understanding of graphic design principles, typography, and color theory. Adept at designing responsive landing pages and multi-page sites optimized for various devices.

**Professional Experience**

**Project Manager**
Ukrainian Book Publishing House, 2022
- Conducted thorough market research to guide project development.
- Led the creation of templates and prototypes for web design.
- Managed website development and hosting arrangements.
- Recruited and coordinated a team of programmers for project execution.

**3D Designer**
Hover, September 2020 - July 2022
- Expertly reproduced and modeled architectural structures.
- Transformed photographic visualizations into detailed 3D objects.
- Leveraged skills in high polygonal 3D modeling and character design.

**Skills**

- **Graphic & Web Design:** Proficient in Figma, Photoshop, Illustrator, Adobe XD, Adobe After Effects, and Premier Pro.
- **3D Design:** Skilled in using SketchUp, Blender, and Zbrush for 3D design projects.
- **Project Management:** Experience in overseeing design projects from concept to completion, ensuring market needs and technical requirements are met.

**Career Aspirations**
- Eager to expand expertise in graphic design to include book covers, advertising banners, posters, and invitations.
- Actively seeking opportunities to enhance design skills and acquire new knowledge in design development."
133,"Graphic Designer with over 5 years of experience in leadership roles across various industries, including jewelry, household chemicals, restaurants, children's products, and IT. Expertise in advising clients on advertising strategies, focusing on user needs and requirements. Proficient in UI/UX design, prototype development, graphic design, vector and 2D illustration, 2D animation, with a solid grasp of mobile guidelines and user psychology. Skilled in creating flat illustrations and animations, with a strong foundation in advertising. Proficient in Figma, Adobe Photoshop, Illustrator, After Effects, Lightroom, Corel Painter, Krita, Zeplin, Blender, and Unity. Fluent in English and native Ukrainian speaker, with basic proficiency in Czech and Mandarin. Passionate about mobile app development and eager to learn and grow in new environments. Open to international relocation."
134,"Daria

**Summary**  
Experienced Chief Business Officer with expertise in communications, marketing, management, and design. Proven ability in leading teams, developing client relationships, and managing projects in cutting-edge visual technologies including 3D, 360photo, 360 video, aerial shooting, virtual reality (VR), and augmented reality (AR). Passionate about art and digital tools, with a focus on integrating functionality and aesthetics to engage audiences.

**Experience**  
**Chief Business Officer**, 3DTOUR AGENCY  
- Led website development projects by analyzing user behavior, optimizing process logic, and designing functions and visuals.  
- Created brand identity for educational and sports events, both private and public.  
- Developed marketing materials—logos, brochures, newsletters, infographics, presentations, and ads—to enhance client transactions.  
- Managed up to five projects concurrently, consistently meeting tight weekly deadlines with strong time management.

**Skills**  
- Proficient in Adobe Creative Suite  
- Strong project management capabilities  
- Excellent in communication and relationship-building  
- Creative problem-solving and innovative thinking  
- Committed to continuous learning and development in design  

**Motivation**  
Dedicated to professional self-actualization, achieving financial independence, and pursuing continuous learning and growth in the design industry."
135,"Ann [Your Last Name]  
[Your Address]  
[City, State, Zip Code]  
[Your Phone Number]  
[Your Email Address]  
[Portfolio URL, if applicable]  

---

**Professional Summary**  

Dynamic and detail-oriented Graphic Designer with over 4 years of experience specializing in brand communication. Demonstrated expertise in developing compelling visual content for diverse clientele, including bloggers, musicians, and creative agencies. Proficient in designing press media kits, logos, websites, presentations, stickers, and postcards. Passionate about enhancing brand identity through innovative and empathetic design solutions.  

---

**Key Skills**  

- Brand Identity Design  
- Logo Design  
- Presentation and Infographic Creation  
- Print Material Development  
- Web Marketing  
- UI/UX Design  
  - Landing Pages  
  - Multi-Page Websites  
  - Email Newsletters  
- Client-Centric Approach  
- Innovative Idea Generation  

---

**Professional Experience**  

**Graphic Designer**  
- Developed brand communication strategies and visual assets for a diverse range of clients, enhancing their brand presence and engagement.  
- Created and delivered high-quality press media kits, logos, websites, presentations, stickers, and postcards tailored to clients' specific needs.  
- Collaborated with clients to understand their vision and objectives, providing empathetic and creative solutions that exceeded expectations.  
- Executed UI/UX design projects, including landing pages, multi-page websites, and email newsletters, to improve user interaction and experience.   

---

**Education**  

[Your Degree] in [Your Field]  
[Your University/College], [Location]  
[Year of Graduation]  

---

Thank you for considering my application. I am enthusiastic about the opportunity to contribute my creativity and collaborative spirit to your company.  

---

[Additional sections like Certifications, Awards, or Languages can be added if applicable.]  "
136,"Experience:

- Graphic and UI/UX Designer at Plarium
  - Produced competitive design advertisements
  - Created 2D banners and animations for social media resources of company products

- Graphic Designer at Grls Gang
  - Created branding identity and advertisements
  - Developed connections between the company and users

Skills:

- Proficient in designing social media materials, advertisements, and printing materials
- Strong understanding of color, shape, and composition
- Experienced in working with layouts, typography, and illustrations
- Ability to research and implement the best design solutions while respecting deadlines
- Continuously learning and staying updated on industry-related trends"
137,"---

**[Your Name]**

**[Your Address]**  
**[City, State, Zip Code]**  
**[Email Address]**  
**[Phone Number]**  
**[LinkedIn Profile or Portfolio Website]**

---

**Objective**  
A dedicated and experienced graphic and UI/UX designer seeking a stable position in an outsource or product company. Open to remote and office-based opportunities in Kharkiv, as well as freelance, part-time, and project-based work. Enthusiastic about combining both graphic and UX/UI design responsibilities in future roles.

---

**Education**  
**Beetroot Academy**  
Online UX/UI Design Course  
- Completed a 6-month intensive course in December 2020.  
- Diploma Project: Developed an online shop for car lights, including research, technical requirements, mind mapping, user portraits, user flows, wireframes, and design.

**American English Center, Kharkiv**  
- Achieved a B2 level of proficiency in English and fluent communication skills.

---

**Professional Experience**

**Freelance UI Designer**  
Beetroot Academy Collaboration  
- Collaborated on a B2B sales project as a freelance UI designer.  
- Designed 6 pages with 30 blocks, 11 pages of registration forms, and a UI Kit.  
- Developed desktop version, adaptive design, and 40 mail templates.  
- Project is currently active.

**Graphic Designer**  
- Over 5 years of experience in graphic design.  
- Created POS materials, magazine and newspaper layouts, identity and branding, as well as music posters.  
- Produced approximately 6 kilograms of printed materials.

---

**Skills**  
- UI/UX Design  
- Graphic Design  
- Adaptive and Desktop Design  
- Branding and Identity  
- POS Material Development  
- English Proficiency (B2 Level)  

---

**References**  
Available upon request.

---"
138,"Marketing, UI/UX, and Graphic Design Professional with 7+ Years of Experience

**Middle Graphic Design Specialist**  
SupportYourApp | Full-time  
Feb 2022 - Feb 2023 (1 yr 1 month)  
- Designed branding for SupportYourApp's social media platforms and developed overall brand identity, enhancing visual presence.
- Collaborated with cross-functional teams, ensuring designs aligned with business objectives.
- Adapted design concepts across various media formats, including web, social media, print, and video.

**UI/UX Middle Designer**  
TEMABIT Software Development | Full-time  
Mar 2020 - Feb 2022 (2 yrs)  
- Developed user-friendly UI/UX for mobile apps for major Ukrainian hypermarkets like FOZZY Group, Fora, and Justin.
- Led successful photo shoots and created comprehensive style guides to standardize design and branding efforts.

**UI/UX Junior Designer, Middle Graphic Designer**  
Skywell Software  
Jun 2018 - Mar 2020 (1 yr 10 months)  
- Prototyped websites and created adaptive design solutions.
- Developed a company brand book and marketing materials, leading to enhanced customer engagement.
- Analyzed market trends and competitor strategies to optimize marketing initiatives.

Proficient in creating user-friendly interfaces and visual communications with tools such as Adobe XD, Figma, Sketch, Adobe Illustrator, and Adobe Photoshop. Thrives in fast-paced environments and excels at building strong working relationships through a positive attitude."
139,"UI/UX Designer Resume

**Summary**  
Creative UI/UX Designer experienced in developing intuitive and visually appealing interfaces that enhance user experience. Skilled in user research and graphic design, with a strong portfolio of successful projects in web and mobile applications. Actively seeking a challenging position in UI/UX design to contribute to impactful projects and grow professionally.

**Professional Experience**  

**Freelance UI/UX Designer**  
- Conducted user research, including observations and analysis of user behavior, to gather insights for design improvements and enhanced user satisfaction.  
- Participated in a team project where I played a crucial role in designing the service interface, leveraging my graphic design skills.  
- Developed a comprehensive design system for team projects.  
- Led the redesign of a website for a tattoo studio in Destin, Florida, focusing on a visually appealing and user-friendly interface.  
- Contributed to the ""LifeLandscape"" web service project, focusing on user-centric design, responsive design principles, and collaborative teamwork.  

**Graphic Designer**  
2016 - 2022  
- Specialized in the development and execution of visual design projects.  
- Created logos, corporate identities, advertising materials, and other graphic solutions.  

**UI/UX Design Practice**  
- Half a year of practice in UI/UX design, with experience in creating landing pages, redesigns, team projects for web services, and mobile app design.  

**Education & Skills**  
- User Research  
- Responsive and User-Centric Design  
- Graphic Design  
- Team Collaboration  
- Design Systems Development  

**Objective**  
Seeking a position in UI/UX design that offers opportunities for professional growth, exciting projects, collaborative teamwork, impact on product quality, professional prestige, a flexible work schedule, and career development."
140,"Graphic Designer and UI/UX Designer

Summary:
A highly motivated and creative graphic designer with 4 years of experience in both freelance and collaborative team environments. Proficient in creating compelling visual designs and developing comprehensive brand identities. Possesses strong communication skills, attention to detail, and a passion for creativity, bringing positive energy to agile development settings.

Skills:
- Demonstrable graphic design skills with a strong portfolio
- Expertise in designing polished presentations
- Strong attention to detail and excellent documentation capabilities
- In-depth understanding of web design principles, typography, color theory, and page layout
- Proven analytical skills for application performance analysis and trend identification
- Professional-level proficiency in design software: Photoshop, Illustrator, Adobe XD, Figma, and more
- Excellent people skills with exceptional verbal and written communication
- Creativity paired with strong logic skills for dynamic, challenging environments

Experience:
Graphic Designer and UI/UX Designer
- Developed visually appealing graphics and user interfaces that meet client requirements
- Created logos, social media posts, and landing pages through freelance work
- Specialized in typography for printing preparation and brand merchandise design
- Worked with branding agency “onO” Nova Market to develop brand identities and strategies
- Led design processes including gathering requirements, user stories, and user research to create intuitive visual designs
- Efficiently managed deadlines to ensure timely project completion

Passion:
- Dedicated to crafting brand identities and websites that enhance business visibility
- Committed to continued growth and creativity in all facets of design work"
141,"Svitlana

Graphic & Web Designer with over 8 years of experience in Graphic Design and over 2 years in UI/UX design. Currently employed at Libertex Group, specializing in online trading and investment.

Skills:
- Designing advertising materials (web banners, social media creatives)
- Creating UI interfaces, style guides, icons
- Presentation design (digital, print)
- Developing design drafts and mock-ups
- Designing for offline exhibitions
- Crafting illustrations and educational materials
- Creating brand books and pitch decks
- Infographic and print design
- Logo design

Tools:
- Figma, Adobe Photoshop, Illustrator, XD, InDesign, Sketch, Principle
- Jira, Trello, Asana

Project Areas:
- FinTech, Trading, Investing, Marketing
- Cryptocurrencies, Blockchain

Dedicated to design, committed to personal development, and driven by deadlines. Demonstrates strong self-management, analytical skills, collaboration abilities, and capability to understand user and client needs. Actively seeking a full-time remote position."
142,"Graphic Design Specialist and Social Media Manager  
LG Electronics

**Achievements**  
- Awarded Most Innovative Employee of the Year (2019)

**Advertising Campaigns**  
- Developed visual concepts for advertising campaigns across multiple platforms  
- Collaborated with sales and product marketing teams  
- Produced campaign visuals  
- Executed approximately 170 resizing tasks

**Production of Printed Materials**  
- Created and adapted printed materials for all product categories  
- Designed POSM items such as toppers, stickers, banners, and posters  
- Prepared materials for printing

**LG Website**  
- Produced and adapted banners for all product categories  
- Supported the transition to a new visual concept for the website in 2020  
- Produced and adapted product card materials

**Social Media Management**  
- Guided annual strategy, securing approvals and maintaining control throughout the year  
- Prepared monthly content plans with situational adjustments  
- Produced publication materials  
- Curated and collaborated with a digital agency  
- Approved visuals and copyrights  
- Facilitated communication between the agency and product managers  
- Generated weekly reports on key indicators, competitor analysis, and activity results  
- Designed social network elements  
- Curated competitions on social platforms  "
143,"Anastasia  
Graphic Designer  

**Experience:**  
- Developed branding for diverse industries including fashion, architecture, education, HoReCa, financial, and industrial sectors.  
- Created and evolved visual design styles for personal, product, and corporate brands.  
- Focused on business-targeted and user-centric interface design for website development.  
- Offered design recommendations and consultations aligned with marketing objectives.  
- Designed various marketing materials: postcards, flyers, posters, infographics, brochures, vehicle wraps, email templates, social media ads, banners, etc.  
- Led the design, development, and implementation of graphic communication materials.  
- Managed a design team and oversaw all project facets.  
- Supervised printed products' production from layout to client delivery.  
- Developed engaging presentations to effectively convey clients' messages.  
- Produced unique illustrations through photo and video production for business promotion.  

My work is available on Behance – besdna.  

**Skills:**  
- Branding  
- Web Development  
- Creative Problem-Solving  
- Project Management  
- Communication  
- Team Leadership  

Seeking opportunities to collaborate with open-minded individuals on meaningful projects.  "
144,"Winner of the ""Nanoscience as Art"" contest at the IEEE NAP-2021 conference with the work ""Invisible Orchid,"" featuring a scanning electron microscope image of calcium carbonate powder. Conducted SEM investigations as part of the PROM Program ""International Scholarship Exchange of PhD Candidates and Academic Staff"" at Lodz University of Technology.

Graphic Designer with over four years of experience in creating graphic support for university information campaigns. Expertise in designing banners, flyers, advertising and greeting cards, presentations, posters, and infographics for electronic and print use.

Key projects include contributing to the 100th anniversary celebration of the university, leading annual admissions campaigns, and supporting the establishment of international partnerships through conference presentations. Collaborated on social media content, packaging, and educational materials for an international beauty school. Proficient in logo and brand design, presentation design, print materials, mockups, technical design, and photo editing."
145,"**[Your Name]**

**[Your Address]**  
**[City, State, ZIP Code]**  
**[Email Address]**  
**[Phone Number]**

---

**Professional Summary**

Dynamic and creative Graphic Designer with 2 years of experience in developing innovative visual solutions. Recognized for exceptional attention to detail and creativity in executing marketing campaigns and managing projects efficiently.

---

**Experience**

**Graphic Designer**  
[Company Name], [Location]  
[Year] - Present

- Spearheaded the development of a captivating brand identity for a startup, enhancing its market presence.
- Designed and executed successful marketing campaigns with compelling and engaging visuals.
- Efficiently managed multiple design projects simultaneously, consistently meeting deadlines and surpassing expectations.
- Earned recognition for exceptional attention to detail and creative approach in developing visual content.

---

**Skills**

- Brand Identity Development
- Visual Communication
- Project Management
- Marketing Campaign Design
- Creative Problem Solving
- Attention to Detail

---

**Education**

**[Your Degree]**  
[Your University], [Location]  
[Year of Graduation]

---

**Certifications**

- [Certification Name], [Issuing Organization] (if applicable)

---

**Portfolio**

Available upon request or at [Portfolio Website URL] (if applicable)

---

**References**

Available upon request."
146,"**[Your Name]**

[Your Address]  
[City, State, ZIP Code]  
[Your Phone Number]  
[Your Email Address]  
[LinkedIn Profile URL]

---

**Professional Summary**

Creative and versatile designer with extensive experience in branding, web design, and print media. Demonstrated ability to adapt design approaches to meet unique client needs and objectives across diverse industries. Expert in delivering visually captivating and effective design solutions through a combination of technical skills and a deep understanding of visual aesthetics.

**Experience**

- Managed multiple design projects from concept to completion, ensuring high-quality outcomes within strict deadlines.
- Collaborated closely with clients and cross-functional teams, effectively communicating and presenting design concepts.
- Fostered strong client relationships, leading to repeat business and positive feedback.

**Technical Skills**

- Proficient in Adobe Creative Suite, Blender, and Figma.
- Up to date with the latest design trends and techniques, continuously seeking new inspirations to enhance design work.

**Education**

[Your Degree]  
[Your Major]  
[Your University], [Year of Graduation]

**Certifications**

[Certification Name] (if applicable)

**Portfolio**

Available upon request or at [Portfolio URL] 

---

**References**

Available upon request."
147,"ArtCraft Education LLP  
- Online Course: Game Graphics (2021)  
- Online Course: Anatomy (2020)  
- Online Course: Digital Drawing (2019)  

IT School  
- Advanced Graphic Design Course: Adobe Photoshop, Adobe Illustrator (2017)  

**Professional Experience**  

UI/UX Designer | 2D Graphic Designer  
Over 4 years of experience in digital design  

**Key Responsibilities**  
- Created icons, logos, and layouts of varying complexity  
- Designed marketing materials, including press-wall illustrations, banners, notebooks, and social media posts  
- Developed UI/UX designs for websites and iOS/Android mobile applications  
- Created workflow diagrams  
- Prepared templates for presentations, portfolios, and mobile game backgrounds  

**Skills**  
- Proficient in Adobe Photoshop and Adobe Illustrator  
- Solid understanding of drawing and painting principles in CG, including light, shadow, tone, color, perspective, and anatomy  
- Skilled at hand drawing using a Wacom Intuos 4 Digital Tablet  
- Knowledgeable in Sketch, Figma, InVision, Abstract, and Craft plugin  
- Experienced in collaborating with international clients via email and calls  "
